Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
186238,J. Kean,Norwich City,England,GK,24,62,68,325000,4000,Right,Medium/Medium,Normal (185+),12,14,15,30,13,11,20,14,23,16,50,40,26,66,39,36,57,24,55,11,42,17,14,13,14,,18,13,13,63,55,46,64,66
139691,M. Pugliesi,Empoli,Italy,GK,38,62,62,50000,2000,Right,Medium/Medium,Normal (185+),12,17,10,26,24,21,24,11,13,21,45,27,38,58,43,21,66,34,62,21,14,25,12,15,17,,15,16,19,66,48,70,66,67
199812,R. Allsop,AFC Bournemouth,England,GK,23,63,70,400000,4000,Right,Medium/Medium,Normal (185+),15,11,13,35,15,12,14,12,34,26,42,42,48,65,44,22,48,40,58,15,28,28,13,19,27,,20,11,11,64,58,65,60,67
201439,M. Mangiapelo,Frosinone,Italy,GK,29,63,63,275000,4000,Right,Medium/Medium,Normal (185+),16,11,13,24,15,13,12,13,33,21,50,50,53,63,30,18,76,20,68,10,26,22,16,24,24,,12,19,18,60,60,55,65,70
206075,S. Johnstone,Manchester United,England,GK,22,63,73,475000,6000,Right,Medium/Medium,Normal (185+),17,11,17,27,15,16,16,17,35,18,33,36,37,54,27,24,45,21,60,16,24,17,11,11,42,,13,17,20,69,56,53,60,72
211348,S. Dimitrievski,Granada CF,North Macedonia,GK,21,63,73,475000,4000,Right,Medium/Medium,Normal (185+),11,20,14,23,15,18,17,17,27,19,45,47,41,55,44,20,56,40,72,17,17,21,15,28,21,,20,19,17,64,68,58,64,63
183965,J. Goda,GFC Ajaccio,Cameroon,GK,26,61,65,240000,5000,Right,Medium/Medium,Normal (185+),12,11,16,29,18,10,10,13,28,22,52,53,42,55,37,20,66,33,70,10,11,16,13,15,15,,10,10,12,59,65,61,64,60
216470,G. Zabret,Swansea City,Slovenia,GK,19,61,73,325000,3000,Right,Medium/Medium,Normal (185+),13,11,12,23,15,11,11,11,29,18,48,42,35,53,52,22,57,33,59,17,31,13,11,11,22,,11,10,13,68,57,55,58,66
202886,B. Siegrist,Aston Villa,Switzerland,GK,23,62,67,325000,4000,Right,Medium/Medium,Normal (185+),11,11,12,14,12,11,16,14,15,20,40,33,39,55,30,11,49,40,62,13,38,27,13,42,42,,12,12,12,66,64,70,62,56
209770,Néstor,RC Celta de Vigo,Spain,GK,23,62,70,350000,4000,Right,Medium/Medium,Normal (185+),15,16,14,21,15,19,15,14,25,20,44,49,38,61,51,23,77,45,62,19,18,18,13,17,24,,13,13,15,71,57,60,53,67
219584,L. Lezzerini,Fiorentina,Italy,GK,20,62,74,450000,4000,Right,Medium/Medium,Normal (185+),13,13,12,31,17,14,15,14,22,24,46,44,39,60,38,18,55,32,79,19,24,18,15,25,25,,13,19,14,67,60,64,55,66
220346,Pedro,Real Betis Balompié,Spain,GK,20,62,75,475000,3000,Right,Medium/Medium,Normal (185+),20,12,24,27,13,12,23,22,31,16,48,48,63,58,55,22,56,43,65,24,20,23,16,22,21,,11,14,12,59,64,54,67,62
183597,A. Stolz,TSG Hoffenheim,Germany,GK,31,65,65,425000,5000,Right,Medium/Medium,Normal (185+),12,15,11,23,14,14,9,14,38,22,48,46,50,58,32,23,67,41,64,14,40,22,12,17,21,,9,19,10,70,68,66,64,63
178452,A. Pelagotti,Empoli,Italy,GK,26,65,68,550000,7000,Right,Medium/Medium,Normal (185+),12,11,10,20,13,12,19,11,13,11,37,42,47,63,30,21,75,34,65,14,31,20,11,25,22,,11,15,20,63,64,61,65,69
184084,M. Dreyer,ESTAC Troyes,France,GK,26,65,66,500000,7000,Right,Medium/Medium,Normal (185+),10,10,14,31,16,16,10,13,13,21,49,55,45,59,40,16,75,27,69,14,11,24,10,15,11,,10,14,10,66,70,60,59,69
188017,A. Pomini,U.S. Sassuolo Calcio,Italy,GK,34,65,65,350000,3000,Right,Medium/Medium,Normal (185+),14,10,13,28,11,12,10,12,36,21,44,44,49,66,33,21,66,34,65,11,38,19,10,31,23,,18,11,13,64,61,57,70,67
162927,D. Yelldell,Bayer 04 Leverkusen,United States,GK,33,65,65,375000,5000,Right,Medium/Medium,Normal (185+),13,13,14,31,16,13,17,12,34,19,28,36,39,63,40,21,58,32,69,17,30,14,12,5,18,,12,14,12,66,59,55,69,70
201179,A. Donnarumma,Genoa,Italy,GK,24,65,70,600000,7000,Right,Medium/Medium,Normal (185+),13,10,10,11,11,19,16,12,11,23,13,22,30,62,35,22,54,19,75,13,17,10,10,33,21,,12,19,11,70,62,51,59,74
205186,P. Gazzaniga,Southampton,Argentina,GK,23,65,72,650000,5000,Right,Medium/Medium,Normal (185+),11,12,14,33,14,18,11,20,38,22,56,62,58,59,34,40,75,43,67,14,32,24,13,19,41,,18,20,11,69,59,84,57,72
54037,T. Berni,Inter,Italy,GK,32,63,63,250000,6000,Right,Medium/Medium,Normal (185+),11,15,10,28,13,11,14,13,27,21,29,29,37,59,35,16,43,26,43,16,25,13,10,28,20,,12,12,12,64,60,59,67,66
199574,A. Letellier,Angers SCO,France,GK,24,64,68,475000,5000,Right,Medium/Medium,Normal (185+),12,10,11,26,13,10,18,13,21,16,40,38,32,66,17,22,57,34,72,14,24,23,14,12,20,,14,11,11,62,64,57,62,68
223952,David Soria,Sevilla FC,Spain,GK,22,61,68,275000,5000,Right,Medium/Medium,Normal (185+),15,19,24,24,24,16,23,11,33,19,49,34,45,52,42,24,50,43,76,18,24,25,17,25,23,,13,13,13,60,65,54,62,63
210347,I. Lucic,FC Bayern München,Austria,GK,20,55,67,140000,2000,Right,Medium/Medium,Normal (185+),13,8,14,25,18,10,15,22,24,22,40,43,33,63,42,22,51,21,77,14,19,18,5,32,24,,13,13,19,57,44,50,59,57
230674,F. Alastra,Palermo,Italy,GK,17,56,78,200000,2000,Right,Medium/Medium,Normal (185+),11,14,15,30,19,14,16,15,22,22,49,46,38,57,61,22,56,56,50,17,25,22,17,12,21,,19,15,18,59,52,56,51,63
213677,B. Killip,Norwich City,England,GK,19,54,65,100000,2000,Right,Medium/Medium,Normal (185+),14,17,19,31,13,19,24,15,39,20,42,44,37,54,57,16,66,27,53,15,22,23,19,28,23,,11,17,19,55,52,54,52,57
194040,F. Lombardi,Bologna,Italy,GK,25,54,60,80000,2000,Right,Medium/Medium,Normal (185+),12,12,12,32,13,13,12,10,36,22,35,33,39,55,40,21,45,33,52,16,32,16,10,12,21,,18,11,12,55,45,50,50,65
220391,E. Balayev,Eintracht Frankfurt,Azerbaijan,GK,21,55,63,110000,2000,Right,Medium/Medium,Normal (185+),7,6,12,18,7,9,9,11,10,17,38,48,34,53,51,17,67,32,67,7,23,16,8,11,22,,8,9,13,58,51,49,55,59
222255,R. Huddart,Arsenal,England,GK,18,57,66,130000,2000,Right,Medium/Medium,Normal (185+),13,19,14,23,12,17,21,15,18,27,39,40,32,58,46,21,52,32,59,20,19,24,12,12,32,,21,16,13,63,55,55,49,60
225432,D. Sommariva,Genoa,Italy,GK,17,57,74,200000,2000,Right,Medium/Medium,Normal (185+),15,18,19,31,21,13,20,20,23,18,40,44,37,57,58,18,55,31,57,17,27,19,15,21,21,,19,17,19,64,49,51,52,64
228607,D. Reimann,Borussia Dortmund,Germany,GK,18,50,67,60000,2000,Right,Medium/Medium,Normal (185+),9,6,8,19,7,7,11,12,17,14,34,40,42,48,50,16,65,31,53,8,18,10,6,30,17,,7,10,9,54,46,60,42,59
223885,A. Nübel,FC Schalke 04,Germany,GK,18,54,72,130000,2000,Right,Medium/Medium,Normal (185+),15,18,13,29,13,18,20,20,18,20,49,42,34,61,58,18,51,39,57,18,23,20,9,22,16,,20,14,13,54,53,51,53,55
226288,Samu Casado,Málaga CF,Spain,GK,18,53,63,70000,2000,Right,Medium/Medium,Normal (185+),22,14,23,28,24,19,24,14,38,18,44,45,36,47,55,24,53,45,65,20,16,21,13,18,25,,12,18,17,59,47,44,47,65
226656,E. Gertmonas,Stade Rennais FC,Lithuania,GK,19,60,75,350000,2000,Right,Medium/Medium,Normal (185+),12,17,18,29,17,15,14,14,27,23,49,53,34,55,48,19,59,36,77,17,23,22,20,14,23,,20,13,21,65,55,55,55,70
215698,M. Maignan,LOSC Lille,France,GK,19,60,73,300000,2000,Right,Medium/Medium,Normal (185+),18,13,17,33,16,22,14,16,19,24,44,43,33,58,55,19,58,24,72,20,17,24,14,33,15,,17,12,19,65,58,56,59,61
222484,D. Mesenhöler,1. FC Köln,Germany,GK,19,60,73,300000,2000,Right,Medium/Medium,Normal (185+),18,15,14,32,17,12,20,15,25,21,50,48,34,59,50,19,70,31,63,18,21,21,17,15,23,,16,20,12,65,58,53,55,62
211132,Andrés Prieto,RCD Espanyol de Barcelona,Spain,GK,21,59,69,220000,2000,Right,Medium/Medium,Normal (185+),19,19,13,31,15,18,17,20,20,16,37,42,33,52,30,22,52,34,76,18,19,20,19,24,23,,16,14,13,54,63,53,65,59
211515,P. Gollini,Hellas Verona,Italy,GK,20,59,68,210000,2000,Right,Medium/Medium,Normal (185+),17,14,19,31,20,18,13,15,25,24,45,48,56,53,52,23,51,41,68,17,19,18,12,25,21,,15,12,19,66,54,46,50,70
230869,Unai Simón,Athletic Club de Bilbao,Spain,GK,18,60,75,325000,2000,Right,Medium/Medium,Normal (185+),16,14,18,29,17,12,20,14,21,16,46,48,32,56,47,17,58,45,73,13,27,26,14,14,24,,11,18,12,65,60,58,51,68
228221,Bernabé,Atlético de Madrid,Spain,GK,22,61,71,325000,6000,Right,Medium/Medium,Normal (185+),12,19,18,23,17,14,16,19,22,20,45,46,30,57,52,18,63,45,60,14,21,20,13,23,23,,19,14,20,62,67,54,59,62
227370,M. Zetterer,SV Werder Bremen,Germany,GK,19,61,74,350000,3000,Right,Medium/Medium,Normal (185+),17,16,18,23,16,17,14,14,18,23,39,44,32,58,40,22,54,38,67,14,27,19,13,21,15,,16,16,12,60,66,58,59,63
225361,L. McGee,Tottenham Hotspur,England,GK,19,58,67,160000,3000,Right,Medium/Medium,Normal (185+),15,15,14,25,14,15,12,13,21,25,46,47,31,58,51,24,50,26,51,13,19,25,20,21,31,,13,16,21,67,51,56,50,65
229692,J. Huth,1. FSV Mainz 05,Germany,GK,21,58,67,180000,2000,Right,Medium/Medium,Normal (185+),9,16,10,26,15,20,22,8,21,21,54,55,50,50,44,25,74,28,60,14,37,25,12,49,24,,12,14,11,60,58,64,52,66
229168,T. Guivarc'h,En Avant de Guingamp,France,GK,19,58,70,190000,2000,Right,Medium/Medium,Normal (185+),14,12,10,20,18,14,19,14,39,14,50,47,68,57,57,15,57,33,60,16,34,15,15,25,19,,12,10,11,65,54,56,52,60
175603,R. Gilmartin,Watford,Republic of Ireland,GK,28,57,57,100000,3000,Right,Medium/Medium,Normal (185+),17,15,14,26,12,13,11,11,23,22,52,54,55,51,28,25,58,17,70,16,37,10,16,33,21,,14,14,11,67,51,54,52,61
228514,S. Massolo,U.C. Sampdoria,Italy,GK,19,59,72,250000,2000,Right,Medium/Medium,Normal (185+),16,15,20,27,17,19,18,18,22,22,45,48,37,55,57,22,58,38,58,12,28,28,14,18,21,,12,12,13,59,57,55,57,66
230038,A. Maisonnial,AS Saint-Étienne,France,GK,17,59,78,275000,2000,Right,Medium/Medium,Normal (185+),15,16,20,24,18,18,19,16,20,17,59,55,32,52,62,18,58,41,65,16,22,19,19,29,12,,12,18,20,66,55,55,55,66
169697,D. Randolph,West Ham United,Republic of Ireland,GK,28,72,72,1800000,25000,Right,Medium/Medium,Normal (185+),11,14,16,33,16,14,15,14,34,33,41,44,50,66,43,36,58,31,60,14,29,18,11,11,30,,13,14,14,75,70,75,69,75
