Id,Name,Position,Overall,Potential,Value,Wage,Age,Team,league_name,Nationality,preferred_foot,Work Rate,Body type,Release cause,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
167495,M. Neuer,GK,92,92,61000000,225000,31,FC Bayern München,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),100700000,15,13,25,55,11,30,14,11,59,48,58,61,52,85,35,25,78,44,83,16,29,30,12,70,47,70,10,10,11,91,90,95,91,89
200389,J. Oblak,GK,88,93,57000000,80000,24,Atlético de Madrid,Spain Primera Division,Slovenia,Right,Medium/Medium,Normal (185+),121100000,13,11,15,29,13,12,13,14,26,16,43,60,67,84,49,22,76,41,78,12,34,19,11,55,11,55,14,12,18,84,90,77,87,84
162835,S. Handanovi?,GK,87,87,29000000,90000,32,Inter,Italian Serie A,Slovenia,Right,Medium/Medium,Normal (185+),49300000,12,10,10,36,12,18,12,14,34,24,54,57,42,83,36,22,78,41,71,19,25,22,12,41,23,62,17,10,13,87,86,69,87,87
192448,M. ter Stegen,GK,85,89,35500000,150000,25,FC Barcelona,Spain Primera Division,Germany,Right,Medium/Medium,Normal (185+),75400000,15,14,11,30,14,17,18,12,38,18,38,50,37,82,43,22,79,35,79,10,43,22,11,57,25,62,10,13,10,84,83,87,81,86
192563,B. Leno,GK,85,88,34000000,60000,25,Bayer 04 Leverkusen,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),60400000,9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,84,74,85,83
193041,K. Navas,GK,85,85,24500000,160000,30,Real Madrid CF,Spain Primera Division,Costa Rica,Right,Medium/Medium,Normal (185+),50200000,11,15,11,30,11,16,11,15,37,19,54,53,60,82,61,21,74,39,75,13,32,20,16,54,25,49,12,14,14,87,82,72,80,85
179783,R. Fährmann,GK,84,85,25000000,50000,28,FC Schalke 04,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),44400000,14,11,15,25,11,15,18,11,26,24,38,47,39,84,36,24,72,32,79,9,36,23,11,42,21,61,12,12,10,83,86,52,85,87
189117,R. Bürki,GK,84,86,26000000,70000,26,Borussia Dortmund,German 1. Bundesliga,Switzerland,Right,Medium/Medium,Normal (185+),46200000,15,8,17,37,13,16,13,12,24,23,44,52,51,80,52,22,74,36,74,14,35,18,10,50,20,58,14,13,16,84,82,73,80,85
24630,José Reina,GK,83,83,10500000,60000,34,Napoli,Italian Serie A,Spain,Right,Medium/Medium,Normal (185+),17900000,11,14,13,19,11,10,11,11,22,23,50,63,50,82,60,24,73,34,72,15,32,22,13,65,24,60,12,22,24,80,83,82,82,82
163587,K. Schmeichel,GK,83,84,19000000,70000,30,Leicester City,English Premier League,Denmark,Right,Medium/Medium,Normal (185+),37500000,18,12,16,44,15,12,13,15,46,40,62,60,62,80,47,36,60,35,62,14,33,20,14,59,26,52,14,14,13,83,82,82,80,86
215316,G. Rulli,GK,83,89,25500000,30000,25,Real Sociedad,Spain Primera Division,Argentina,Right,Medium/Medium,Normal (185+),58700000,12,15,12,32,16,15,19,20,23,15,54,48,58,77,50,24,68,42,73,17,26,21,12,58,24,30,16,13,17,85,79,75,82,86
104389,R. Jarstein,GK,82,82,12500000,30000,32,Hertha BSC,German 1. Bundesliga,Norway,Right,Medium/Medium,Normal (185+),21300000,18,13,16,34,16,11,10,14,34,23,40,46,35,73,45,21,59,31,70,18,34,19,15,37,13,55,13,11,13,78,81,72,87,85
150724,J. Hart,GK,82,82,14000000,90000,30,West Ham United,English Premier League,England,Right,Medium/Medium,Normal (185+),,14,14,10,32,19,23,17,13,35,20,59,60,50,77,32,65,72,28,61,19,28,25,14,42,48,68,14,14,13,83,78,75,81,83
158121,B. Costil,GK,82,82,15000000,50000,29,FC Girondins de Bordeaux,French Ligue 1,France,Right,Medium/Medium,Normal (185+),28500000,11,14,15,35,12,13,12,11,33,12,49,53,38,77,45,22,49,28,65,15,22,22,12,44,15,53,16,11,14,82,80,78,82,84
163705,S. Mandanda,GK,82,82,12500000,30000,32,Olympique de Marseille,French Ligue 1,France,Right,Medium/Medium,Normal (185+),23800000,14,13,13,37,13,15,13,12,28,17,53,43,52,79,36,24,74,31,61,11,37,23,11,55,11,63,10,15,13,86,78,77,77,85
183497,O. Karnezis,GK,82,82,13500000,60000,31,Watford,English Premier League,Greece,Right,Medium/Medium,Normal (185+),,19,16,24,22,14,15,11,11,36,23,44,34,45,78,49,22,64,33,66,18,18,23,10,47,21,22,13,15,24,80,83,70,80,84
188943,K. Trapp,GK,82,84,18500000,70000,26,Paris Saint-Germain,French Ligue 1,Germany,Right,Medium/Medium,Normal (185+),35600000,13,13,11,25,12,10,14,12,12,24,45,52,42,79,37,22,75,45,73,13,30,22,12,45,17,48,10,14,10,80,78,79,84,84
193698,O. Baumann,GK,82,84,18000000,40000,27,TSG Hoffenheim,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),32000000,14,11,16,30,11,19,12,11,25,17,47,51,45,81,43,21,73,39,69,13,32,21,10,41,22,52,10,18,14,82,82,64,81,84
230621,G. Donnarumma,GK,82,94,28500000,30000,18,AC Milan,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),54200000,12,12,12,34,8,24,12,14,24,28,46,54,64,74,38,24,72,34,72,18,30,26,14,50,24,68,12,14,16,88,78,72,78,88
110677,Moyá,GK,81,81,9000000,50000,33,Atlético de Madrid,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),18500000,11,11,12,31,13,13,16,12,35,24,46,34,54,75,49,21,62,30,57,16,22,11,10,62,11,39,13,14,14,85,78,82,81,79
163264,T. Heaton,GK,81,81,11000000,50000,31,Burnley,English Premier League,England,Right,Medium/Medium,Normal (185+),20900000,17,12,16,32,12,17,15,13,37,28,56,53,54,74,52,14,73,40,66,12,31,24,12,46,24,56,15,15,13,80,79,76,80,83
173426,S. Mignolet,GK,81,81,12000000,90000,29,Liverpool,English Premier League,Belgium,Right,Medium/Medium,Normal (185+),22800000,11,11,16,37,16,14,16,12,34,24,55,56,34,77,42,45,69,31,72,16,34,21,16,40,41,66,13,14,16,80,76,65,78,84
199987,J. Cillessen,GK,81,83,15000000,120000,28,FC Barcelona,Spain Primera Division,Netherlands,Right,Medium/Medium,Normal (185+),31900000,17,10,12,47,19,12,10,10,33,32,54,50,48,78,50,35,71,40,67,15,25,25,11,60,21,56,18,12,11,79,83,74,81,77
203042,J. Butland,GK,81,87,18000000,50000,24,Stoke City,English Premier League,England,Right,Medium/Medium,Normal (185+),37800000,11,16,12,36,12,21,12,14,40,26,38,43,48,73,35,29,61,35,63,13,32,27,16,31,42,59,16,13,11,81,83,72,78,85
135451,Gomes,GK,80,80,2000000,30000,36,Watford,English Premier League,Brazil,Right,Medium/Medium,Normal (185+),3800000,15,15,14,23,13,15,12,13,19,25,50,52,56,74,53,30,76,27,64,14,40,20,12,59,41,63,14,14,15,83,75,60,77,86
164835,?. Fabia?ski,GK,80,80,8500000,60000,32,Swansea City,English Premier League,Poland,Right,Medium/Medium,Normal (185+),16200000,14,13,11,20,17,14,18,12,32,22,50,47,52,71,44,14,68,25,65,20,43,16,15,52,22,63,11,12,13,77,84,70,78,84
173373,S. Romero,GK,80,80,9500000,100000,30,Manchester United,English Premier League,Argentina,Right,Medium/Medium,Normal (185+),17600000,11,14,12,39,17,12,12,13,48,40,47,44,52,77,44,14,63,35,75,11,33,21,11,55,16,63,14,11,15,78,76,81,78,82
177644,Kiko Casilla,GK,80,80,9500000,120000,30,Real Madrid CF,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),19500000,24,14,13,30,23,12,25,25,24,20,32,49,43,74,58,24,69,43,79,13,45,20,12,52,23,51,12,15,11,75,83,80,82,77
203775,L. Karius,GK,80,84,14000000,70000,24,Liverpool,English Premier League,Germany,Right,Medium/Medium,Normal (185+),27700000,14,18,14,35,14,16,12,14,36,23,51,50,51,78,43,20,74,36,55,16,18,13,8,45,19,34,13,11,13,84,74,74,76,85
212831,Alisson,GK,80,84,14000000,40000,24,Roma,Italian Serie A,Brazil,Right,Medium/Medium,Normal (185+),24900000,17,13,19,27,20,16,19,18,20,21,44,35,30,82,37,21,52,32,78,14,27,11,13,65,23,62,20,19,16,75,76,70,78,86
49031,S. Sorrentino,GK,79,79,850000,10000,38,Chievo Verona,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),1400000,11,10,10,36,18,12,14,11,34,20,34,40,52,68,48,21,74,28,74,13,22,25,10,34,20,66,11,10,13,80,80,65,82,80
121933,R. Adler,GK,79,79,7000000,30000,32,1. FSV Mainz 05,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),11900000,13,14,10,39,18,13,12,13,36,20,46,37,49,80,43,23,69,22,66,14,25,17,7,38,21,49,12,12,13,78,77,70,80,80
139062,W. Caballero,GK,79,79,3000000,60000,35,Chelsea,English Premier League,Argentina,Right,Medium/Medium,Normal (185+),5500000,12,11,22,33,13,12,23,11,48,30,44,47,39,75,55,23,70,44,70,14,30,19,7,47,16,56,15,11,12,80,76,73,78,81
168435,S. Sirigu,GK,79,79,8000000,40000,30,Torino F.C.,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),13600000,13,10,11,23,12,15,11,11,28,18,50,51,52,75,55,20,68,34,66,14,34,20,10,46,19,55,16,11,13,79,76,73,77,80
183666,Roberto,GK,79,79,7500000,20000,31,Málaga CF,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),,15,14,19,39,13,12,14,14,38,31,45,48,68,81,40,36,74,32,80,11,29,24,17,45,19,54,15,15,18,80,72,74,78,82
186148,R. Zieler,GK,79,80,10000000,30000,28,VfB Stuttgart,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),18800000,15,10,13,25,12,12,11,10,22,22,46,50,43,80,41,21,69,32,55,14,32,21,15,39,24,61,11,12,13,79,80,70,77,79
190243,M. Hitz,GK,79,79,8500000,30000,29,FC Augsburg,German 1. Bundesliga,Switzerland,Right,Medium/Medium,Normal (185+),15300000,12,27,18,29,26,13,15,17,25,17,41,46,45,71,31,38,67,39,78,12,25,23,8,15,22,42,15,15,14,82,75,73,79,82
193105,A. Areola,GK,79,86,13000000,50000,24,Paris Saint-Germain,French Ligue 1,France,Right,Medium/Medium,Normal (185+),26700000,20,19,14,41,16,12,16,16,32,22,54,52,53,76,58,25,59,28,80,14,26,23,17,34,25,35,19,18,12,81,77,70,74,83
194911,Adrián,GK,79,79,8000000,80000,30,West Ham United,English Premier League,Spain,Right,Medium/Medium,Normal (185+),15200000,12,16,15,21,12,15,12,17,32,23,46,44,53,72,48,40,69,38,59,20,38,25,12,32,44,36,14,19,14,81,76,69,75,84
216065,M. Sportiello,GK,78,82,9500000,40000,25,Fiorentina,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),,13,18,18,32,12,19,14,21,19,22,48,38,55,74,58,19,68,37,66,17,23,29,18,44,21,49,19,17,13,80,76,68,77,81
105846,A. Boruc,GK,77,77,600000,30000,37,AFC Bournemouth,English Premier League,Poland,Right,Medium/Medium,Normal (185+),1100000,12,11,11,25,13,14,13,19,34,18,37,39,40,72,40,21,73,31,69,15,38,25,17,40,21,65,13,20,20,77,73,62,77,82
114764,Iraizoz,GK,77,77,1200000,15000,36,Girona FC,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),2600000,11,12,13,29,16,11,12,13,20,15,32,33,28,73,52,20,47,33,83,14,38,23,16,53,13,52,13,11,12,69,79,80,85,70
172203,F. Forster,GK,77,78,7000000,60000,29,Southampton,English Premier League,England,Right,Medium/Medium,Normal (185+),13800000,19,13,13,27,19,20,10,19,19,33,32,35,32,70,42,36,59,29,80,12,43,22,13,44,22,34,13,13,12,74,78,69,76,80
185181,Yoel,GK,77,77,6000000,20000,28,SD Eibar,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),12600000,24,14,10,31,19,13,25,15,35,14,35,43,40,70,47,23,65,34,70,11,35,19,13,45,25,48,10,15,11,76,78,77,75,78
179954,T. Kraft,GK,76,76,5500000,20000,28,Hertha BSC,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),9400000,14,14,13,35,13,13,11,12,28,21,49,52,45,74,39,23,73,35,68,16,40,20,13,25,18,48,13,19,20,80,75,54,65,84
185122,P. Gulácsi,GK,76,77,6000000,40000,27,RB Leipzig,German 1. Bundesliga,Hungary,Right,Medium/Medium,Normal (185+),10700000,16,10,23,22,10,19,18,11,17,23,41,39,42,70,50,19,66,35,68,12,34,23,11,35,24,43,22,16,20,74,78,75,70,79
189908,?. Skorupski,GK,76,79,6500000,50000,26,Roma,Italian Serie A,Poland,Right,Medium/Medium,Normal (185+),11500000,19,11,10,29,17,18,12,19,26,22,51,51,48,68,38,23,58,31,58,15,33,17,13,32,22,58,10,12,12,80,75,54,75,81
193152,Herrerín,GK,76,76,5000000,20000,29,Athletic Club de Bilbao,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),10500000,14,13,14,16,15,19,15,12,29,12,45,34,54,68,55,22,62,42,80,16,37,23,16,40,25,15,15,16,12,76,83,66,75,73
14907,A. Bizzarri,GK,75,75,450000,10000,39,Udinese Calcio,Italian Serie A,Argentina,Right,Medium/Medium,Normal (185+),810000,11,17,10,27,19,18,19,18,26,23,55,45,53,68,51,19,68,31,55,19,40,19,10,49,20,60,12,12,11,74,76,67,79,72
107298,Y. Pelé,GK,75,75,2700000,20000,34,Olympique de Marseille,French Ligue 1,France,Right,Medium/Medium,Normal (185+),5100000,15,14,16,34,11,13,14,15,33,18,51,47,42,70,54,17,67,32,78,13,33,24,15,14,13,64,12,13,12,75,74,70,72,76
163873,Eduardo,GK,75,75,2700000,60000,34,Chelsea,English Premier League,Portugal,Right,Medium/Medium,Normal (185+),5000000,13,20,12,22,11,11,11,14,32,32,46,44,60,68,58,38,75,20,72,18,28,24,11,42,37,53,13,20,20,75,74,71,78,75
172553,J. Lössl,GK,75,76,5500000,30000,28,Huddersfield Town,English Premier League,Denmark,Right,Medium/Medium,Normal (185+),,14,12,17,30,11,15,14,13,34,19,29,34,32,72,30,22,51,25,67,15,17,20,10,49,12,30,12,13,15,74,77,67,71,77
190120,K. Johnsson,GK,75,77,5500000,15000,27,En Avant de Guingamp,French Ligue 1,Sweden,Right,Medium/Medium,Normal (185+),11400000,11,13,19,26,19,16,12,11,38,22,50,49,45,64,32,21,72,45,69,13,35,20,16,49,17,44,11,14,12,75,70,77,75,79
200212,M. Esser,GK,75,75,4500000,30000,29,Hannover 96,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),8100000,10,8,25,39,9,15,14,17,35,17,32,48,30,72,28,21,67,37,82,19,40,30,6,48,23,53,14,15,16,75,73,69,71,78
202789,A. Schwolow,GK,75,78,6000000,15000,25,Sport-Club Freiburg,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),11300000,9,12,12,26,11,15,13,16,23,22,36,38,40,73,42,21,73,31,68,15,26,13,10,34,22,28,11,17,9,75,74,71,69,77
206003,Y. Mvogo,GK,75,82,7000000,30000,23,RB Leipzig,German 1. Bundesliga,Switzerland,Right,Medium/Medium,Normal (185+),13300000,13,10,18,25,19,18,14,20,22,24,43,41,60,71,57,22,71,24,73,14,30,13,13,65,20,30,11,18,12,79,73,68,71,78
215417,C. Mathenia,GK,75,79,6000000,20000,25,Hamburger SV,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),10700000,15,12,14,31,16,15,15,15,25,23,47,44,35,70,39,20,68,45,69,15,30,19,15,35,23,54,13,12,12,74,69,66,76,79
220604,Jaume,GK,75,79,6000000,20000,26,Valencia CF,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),13100000,30,11,16,32,18,13,25,13,32,32,58,58,60,69,59,42,72,45,68,12,21,25,16,43,25,22,11,12,22,74,73,70,72,79
150278,J. Drobný,GK,74,74,375000,15000,37,SV Werder Bremen,German 1. Bundesliga,Czech Republic,Right,Medium/Medium,Normal (185+),638000,13,14,12,35,19,15,12,12,33,22,35,36,37,74,35,22,52,26,66,15,26,14,8,23,24,42,14,13,13,73,77,45,76,74
186680,Raúl Fernández,GK,74,76,4600000,20000,29,Levante Unión Deportiva,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),10400000,23,13,13,29,22,16,24,14,26,14,36,47,40,70,49,24,65,32,79,24,21,21,11,21,24,19,11,11,11,75,76,60,75,73
189707,Da Costa,GK,74,74,2800000,30000,33,Bologna,Italian Serie A,Brazil,Right,Medium/Medium,Normal (185+),4800000,12,13,12,28,11,11,13,11,30,20,42,37,43,72,40,24,54,30,63,11,30,17,10,34,23,43,16,19,18,75,72,64,75,75
192397,Rafael,GK,74,77,4700000,40000,27,Napoli,Italian Serie A,Brazil,Right,Medium/Medium,Normal (185+),8400000,18,10,13,33,18,17,12,11,31,24,52,56,52,68,42,24,62,32,68,18,29,29,10,43,23,62,19,11,17,75,73,71,73,74
51261,B. Myhill,GK,73,73,1600000,40000,34,West Bromwich Albion,English Premier League,Wales,Right,Medium/Medium,Normal (185+),3100000,11,11,13,39,11,15,13,12,32,35,41,46,51,66,48,27,72,29,63,12,21,25,13,40,42,46,13,11,16,74,71,69,70,78
53739,L. Grant,GK,73,73,1600000,40000,34,Stoke City,English Premier League,England,Right,Medium/Medium,Normal (185+),3100000,19,17,14,26,15,11,17,19,24,20,47,40,49,67,45,24,63,34,58,19,42,23,14,56,20,59,12,13,19,74,70,69,72,75
101880,R. Green,GK,73,73,275000,20000,37,Huddersfield Town,English Premier League,England,Right,Medium/Medium,Normal (185+),540000,19,12,15,26,12,14,16,13,14,15,50,34,48,71,40,22,68,26,59,11,26,20,13,58,21,49,12,12,11,74,70,61,73,76
189690,Guaita,GK,73,73,2600000,15000,30,Getafe CF,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),5600000,35,11,20,39,13,16,32,20,33,24,51,52,63,68,48,45,68,41,62,15,24,27,13,45,29,30,10,15,17,72,74,73,71,75
191628,L. Chichizola,GK,73,75,3200000,15000,27,Unión Deportiva Las Palmas,Spain Primera Division,Argentina,Right,Medium/Medium,Normal (185+),7000000,11,16,17,14,14,17,15,14,13,15,49,54,66,66,44,17,75,31,52,17,15,16,14,31,25,43,12,12,11,73,73,62,72,75
192129,K. Nordfeldt,GK,73,75,3300000,40000,28,Swansea City,English Premier League,Sweden,Right,Medium/Medium,Normal (185+),6600000,11,13,13,41,11,14,20,11,26,24,55,52,58,70,46,19,83,33,74,12,24,23,15,30,13,18,13,13,15,73,66,66,74,78
193336,V. Belec,GK,73,75,3200000,20000,27,Benevento,Italian Serie A,Slovenia,Right,Medium/Medium,Normal (185+),6100000,11,10,13,24,10,13,11,13,28,21,53,43,55,67,31,23,75,20,59,16,25,21,11,23,23,40,14,10,11,73,74,60,73,74
209423,M. Michel,GK,73,77,3700000,15000,25,Angers SCO,French Ligue 1,France,Right,Medium/Medium,Normal (185+),7600000,15,12,19,24,18,12,20,12,26,14,50,48,30,71,60,18,64,35,64,14,17,17,17,20,14,27,13,12,16,74,71,67,72,75
223952,David Soria,GK,73,81,4400000,10000,24,Sevilla FC,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),10100000,15,19,24,24,19,16,23,11,33,19,49,34,45,69,42,54,60,43,76,18,24,18,12,45,23,21,13,13,13,76,67,58,78,71
52326,E. Jakupovi?,GK,72,72,1800000,30000,32,Leicester City,English Premier League,Switzerland,Right,Medium/Medium,Normal (185+),3400000,11,12,12,39,22,11,11,14,34,22,46,47,38,59,45,25,66,31,62,11,45,24,11,52,22,67,13,12,11,73,70,69,71,77
146996,Rubén,GK,72,72,1600000,10000,33,Deportivo de La Coruña,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),3300000,12,14,12,31,11,15,11,28,32,20,38,41,51,67,52,31,73,33,60,20,33,18,14,45,25,51,11,13,12,77,72,71,68,70
149258,A. Cordaz,GK,72,72,1300000,8000,34,Crotone,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),2300000,12,10,16,12,10,18,10,15,17,20,25,27,28,72,29,15,32,16,54,15,22,7,8,34,16,33,17,10,10,68,70,62,72,74
158777,P. Tschauner,GK,72,72,1900000,20000,31,Hannover 96,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),3400000,7,9,47,24,7,7,15,15,25,22,38,46,36,67,37,23,60,23,72,15,27,9,14,39,22,38,12,12,15,72,69,66,70,75
183567,E. Mulder,GK,72,73,2500000,30000,28,Swansea City,English Premier League,Netherlands,Right,Medium/Medium,Normal (185+),4900000,15,20,19,33,14,14,14,12,34,30,35,40,36,71,38,39,75,36,69,15,31,18,11,41,25,32,16,15,13,72,70,80,68,74
190769,E. Lamanna,GK,72,74,2500000,15000,27,Genoa,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),4500000,19,19,17,35,19,18,12,17,37,24,29,33,39,69,38,23,61,26,52,16,30,14,11,31,24,37,15,14,13,70,72,66,71,74
193222,F. Giefer,GK,72,74,2500000,15000,27,FC Augsburg,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),4700000,11,11,23,32,14,12,16,14,22,22,38,37,43,72,35,24,69,33,75,15,44,18,19,33,21,37,13,12,15,75,66,58,72,75
194333,R. Gikiewicz,GK,72,72,2100000,15000,29,Sport-Club Freiburg,German 1. Bundesliga,Poland,Right,Medium/Medium,Normal (185+),3800000,18,13,12,24,15,18,19,12,20,19,27,29,38,67,40,15,56,20,68,13,22,12,12,48,19,31,13,14,13,72,70,75,71,74
204513,M. Dupé,GK,72,76,2900000,10000,24,FC Nantes,French Ligue 1,France,Right,Medium/Medium,Normal (185+),6000000,10,10,13,35,10,11,12,11,29,22,48,42,35,68,39,21,54,21,71,11,35,23,11,32,18,16,12,11,11,74,74,62,66,75
215698,M. Maignan,GK,72,80,3400000,15000,21,LOSC Lille,French Ligue 1,France,Right,Medium/Medium,Normal (185+),7600000,18,13,17,33,16,22,14,16,19,24,44,43,39,70,55,19,70,24,72,20,17,24,14,42,15,27,17,12,19,72,68,68,72,73
222411,J. Prior,GK,72,80,3400000,15000,21,FC Girondins de Bordeaux,French Ligue 1,France,Right,Medium/Medium,Normal (185+),7300000,13,16,14,35,17,18,16,16,37,22,48,55,35,67,51,20,61,30,78,17,40,25,15,40,14,46,19,13,12,74,70,75,69,74
49212,J. Speroni,GK,71,71,160000,15000,38,Crystal Palace,English Premier League,Argentina,Right,Medium/Medium,Normal (185+),304000,13,13,11,24,12,12,15,12,23,14,42,43,48,68,55,20,74,33,43,12,21,17,8,34,22,35,12,12,15,74,70,67,67,73
120718,F. Coltorti,GK,71,71,325000,15000,36,RB Leipzig,German 1. Bundesliga,Switzerland,Right,Medium/Medium,Normal (185+),553000,13,19,12,28,9,12,15,15,25,24,28,34,31,64,39,22,64,31,79,13,37,22,15,38,14,58,11,12,13,67,72,67,73,72
158657,T. Kessler,GK,71,71,1400000,15000,31,1. FC Köln,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),2400000,14,13,15,23,11,14,15,14,33,21,45,49,45,68,40,21,63,38,69,14,39,25,15,22,16,51,13,14,15,72,69,67,70,71
159265,C. Puggioni,GK,71,71,325000,10000,36,U.C. Sampdoria,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),553000,14,18,15,35,15,20,13,25,23,20,44,34,68,64,42,19,74,34,66,15,29,20,11,36,21,55,15,14,12,73,71,59,68,74
163056,N. Champagne,GK,71,71,1400000,10000,32,CD Leganés,Spain Primera Division,Argentina,Right,Medium/Medium,Normal (185+),,13,17,20,18,16,12,15,18,25,15,40,36,56,67,32,25,62,31,62,15,30,23,10,50,20,44,20,14,13,70,68,66,72,71
