Id,Name,Team,Nationality,Position,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work Rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
167495,M. Neuer,FC Bayern München,Germany,GK,90,90,44000000,130000,32,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),72600000,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,91,88,91,88,88
200389,J. Oblak,Atlético de Madrid,Slovenia,GK,90,93,68000000,90000,25,Spain Primera Division,Right,Medium/Medium,Normal (185+),144500000,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89
192448,M. ter Stegen,FC Barcelona,Germany,GK,89,92,58000000,250000,26,Spain Primera Division,Right,Medium/Medium,Normal (185+),123300000,15,14,11,30,14,17,18,12,38,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90
1179,G. Buffon,Paris Saint-Germain,Italy,GK,88,88,4000000,80000,40,French Ligue 1,Right,Medium/Medium,Normal (185+),7400000,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,88,87,74,90,83
162835,S. Handanovi?,Inter,Slovenia,GK,88,88,30000000,110000,33,Italian Serie A,Right,Medium/Medium,Normal (185+),51000000,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,87,86,69,89,89
193041,K. Navas,Real Madrid CF,Costa Rica,GK,87,87,30500000,190000,31,Spain Primera Division,Right,Medium/Medium,Normal (185+),62500000,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
212831,Alisson,Liverpool,Brazil,GK,85,90,36500000,110000,25,English Premier League,Right,Medium/Medium,Normal (185+),70300000,17,13,19,45,20,27,19,18,44,30,54,45,40,83,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,82,81,85,83,88
192563,B. Leno,Arsenal,Germany,GK,84,87,27000000,110000,26,English Premier League,Right,Medium/Medium,Normal (185+),53300000,9,9,13,37,10,16,9,8,33,22,46,52,52,80,44,23,73,43,68,14,28,22,7,53,23,65,27,15,18,84,82,73,85,82
24630,Pepe Reina,AC Milan,Spain,GK,83,83,6000000,60000,35,Italian Serie A,Right,Medium/Medium,Normal (185+),10200000,11,14,13,19,11,10,11,11,22,23,50,63,50,82,60,24,73,34,72,15,32,22,13,65,24,64,20,22,24,80,83,82,82,82
163705,S. Mandanda,Olympique de Marseille,France,GK,83,83,13000000,50000,33,French Ligue 1,Right,Medium/Medium,Normal (185+),24700000,14,13,13,37,13,15,13,12,28,17,53,43,52,80,36,24,74,31,61,11,37,23,11,55,11,64,13,15,13,86,81,70,79,84
179783,R. Fährmann,FC Schalke 04,Germany,GK,83,84,20000000,40000,29,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),35500000,14,11,15,25,11,15,18,11,26,24,38,47,39,83,36,24,72,32,79,9,36,23,11,42,21,61,10,12,10,83,81,52,82,87
192593,D. Subaši?,AS Monaco,Croatia,GK,83,83,13000000,70000,33,French Ligue 1,Right,Medium/Medium,Normal (185+),24700000,11,10,13,24,13,11,24,57,26,19,51,54,42,78,37,24,75,32,80,14,31,20,15,52,23,65,14,14,13,82,80,79,82,84
193698,O. Baumann,TSG Hoffenheim,Germany,GK,83,84,21000000,40000,28,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),37300000,14,11,16,30,11,19,12,11,25,17,47,51,45,81,43,21,73,39,69,13,32,21,10,41,22,52,15,18,14,82,82,70,82,85
104389,R. Jarstein,Hertha BSC,Norway,GK,82,82,11000000,30000,33,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),18700000,18,13,16,34,16,11,10,14,34,23,40,46,35,76,45,21,59,31,70,18,34,19,15,37,13,55,12,11,13,79,80,76,86,83
168435,S. Sirigu,Torino F.C.,Italy,GK,82,82,13500000,40000,31,Italian Serie A,Right,Medium/Medium,Normal (185+),23000000,13,10,11,23,12,15,11,11,28,18,50,51,52,75,55,20,68,34,66,14,34,20,10,55,19,62,14,11,13,84,76,76,83,81
230621,G. Donnarumma,AC Milan,Italy,GK,82,93,29000000,20000,19,Italian Serie A,Right,Medium/Medium,Normal (185+),55100000,12,12,12,34,8,28,12,14,24,28,46,54,64,74,38,24,72,34,72,18,30,26,14,50,24,68,20,14,16,88,78,72,78,88
189117,R. Bürki,Borussia Dortmund,Switzerland,GK,81,84,15000000,50000,27,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),26600000,15,8,17,37,13,12,13,12,24,23,44,54,49,78,52,22,74,36,74,14,35,18,10,50,20,58,11,13,16,86,78,72,76,85
189690,Guaita,Crystal Palace,Spain,GK,81,81,11000000,50000,31,English Premier League,Right,Medium/Medium,Normal (185+),20900000,35,11,20,39,13,16,32,20,33,24,51,52,63,72,48,45,68,41,62,15,24,27,13,52,29,62,23,15,17,82,81,80,79,82
193105,A. Areola,Paris Saint-Germain,France,GK,81,85,16500000,60000,25,French Ligue 1,Right,Medium/Medium,Normal (185+),31800000,20,19,14,41,16,12,16,16,32,22,54,52,53,77,58,25,59,28,80,14,26,23,17,34,25,64,11,18,12,83,78,70,77,84
199987,J. Cillessen,FC Barcelona,Netherlands,GK,81,83,14500000,120000,29,Spain Primera Division,Right,Medium/Medium,Normal (185+),30800000,17,10,12,47,19,12,10,10,33,32,54,50,48,77,50,35,71,40,67,15,25,25,11,60,21,61,18,12,11,79,83,74,81,77
49031,S. Sorrentino,Chievo Verona,Italy,GK,80,80,1000000,10000,39,Italian Serie A,Right,Medium/Medium,Normal (185+),1700000,11,10,10,36,18,14,14,11,34,20,34,40,52,67,48,21,74,28,74,13,22,25,10,34,20,66,25,10,13,81,82,66,82,79
