Name,Team,Position,Nationality,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Bofy type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
K. Navas,Paris Saint-Germain,GK,Costa Rica,87,87,26000000,110000,33,French Ligue 1,Right,Medium/Medium,Normal (185+),50000000,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
P. Gulácsi,RB Leipzig,GK,Hungary,85,85,36000000,65000,30,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),44200000,16,10,23,35,10,19,18,11,31,25,42,44,41,82,42,62,67,35,74,12,34,23,11,42,24,45,25,16,20,84,85,82,84,86
B. Leno,Arsenal,GK,Germany,85,87,46000000,105000,28,English Premier League,Right,Medium/Medium,Normal (185+),66200000,9,9,13,50,10,16,9,8,48,35,55,56,52,81,44,60,73,43,70,14,28,25,7,56,23,66,27,15,18,85,83,80,84,86
S. Sirigu,Torino F.C.,GK,Italy,84,84,13500000,54000,33,Italian Serie A,Right,Medium/Medium,Normal (185+),28900000,13,10,11,23,12,15,11,11,28,18,50,51,52,79,55,57,68,34,66,14,34,20,10,55,19,62,14,11,13,84,80,76,84,82
R. Bürki,Borussia Dortmund,GK,Switzerland,84,85,32500000,68000,29,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),44400000,15,8,17,37,13,12,13,12,24,23,44,50,49,82,52,54,74,36,75,14,35,18,10,50,20,58,11,13,16,85,82,72,82,88
S. Mandanda,Olympique de Marseille,GK,France,83,83,4000000,28000,35,French Ligue 1,Right,Medium/Medium,Normal (185+),13300000,14,13,13,46,13,19,13,12,36,27,53,43,52,82,36,59,74,31,61,7,37,23,11,55,11,64,13,15,13,81,81,78,81,84
K. Trapp,Eintracht Frankfurt,GK,Germany,83,83,25000000,35000,29,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),31500000,13,13,11,25,12,10,14,12,12,24,45,52,42,82,37,59,75,45,73,13,30,22,12,46,17,62,15,14,10,82,78,79,83,85
G. Buffon,Juventus,GK,Italy,82,82,3400000,41000,42,Italian Serie A,Right,Medium/Medium,Normal (185+),3600000,13,15,13,37,17,26,20,13,35,28,37,30,55,80,49,56,71,34,69,13,38,28,12,50,22,70,13,11,11,77,76,74,91,78
O. Baumann,TSG Hoffenheim,GK,Germany,82,82,20500000,37000,30,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),25500000,14,11,16,30,11,19,12,11,25,17,47,51,45,82,43,59,73,39,69,13,32,21,10,41,22,52,15,18,14,81,80,79,79,82
T. Vaclík,Sevilla FC,GK,Czech Republic,82,82,16000000,29000,31,Spain Primera Division,Right,Medium/Medium,Normal (185+),29400000,15,14,19,17,13,14,17,16,38,20,36,37,36,79,56,57,73,38,73,16,29,23,15,68,13,60,20,18,18,82,76,76,81,85
G. Rulli,Villarreal CF,GK,Argentina,82,85,28000000,35000,28,Spain Primera Division,Right,Medium/Medium,Normal (185+),43500000,12,15,12,32,16,14,19,20,23,15,56,52,58,76,50,58,65,42,73,17,26,21,12,58,24,61,15,13,17,85,78,77,78,88
M. Maignan,LOSC Lille,GK,France,82,86,34500000,31000,24,French Ligue 1,Right,Medium/Medium,Normal (185+),42500000,18,13,17,36,16,22,14,16,27,24,47,46,39,80,55,62,72,39,78,20,17,24,14,50,15,55,14,12,19,80,80,82,82,83
J. Pavlenka,SV Werder Bremen,GK,Czech Republic,82,83,24000000,32000,28,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),32800000,11,16,14,28,19,12,10,14,17,19,35,37,39,80,27,51,36,20,68,17,22,13,14,25,18,39,12,10,14,84,76,68,76,87
?. Fabia?ski,West Ham United,GK,Poland,81,81,2900000,26000,35,English Premier League,Right,Medium/Medium,Normal (185+),9100000,14,13,11,20,17,14,18,12,32,22,50,47,53,75,44,53,69,25,65,20,43,16,15,52,22,63,14,12,13,80,82,70,81,82
S. Romero,Manchester United,GK,Argentina,80,80,7000000,86000,33,English Premier League,Right,Medium/Medium,Normal (185+),15200000,11,14,12,45,17,12,12,13,48,40,47,44,55,81,44,61,63,35,75,11,33,21,11,55,16,62,14,11,15,78,76,81,79,83
Guaita,Crystal Palace,GK,Spain,80,80,7000000,48000,33,English Premier League,Right,Medium/Medium,Normal (185+),15200000,35,11,20,39,13,16,32,20,33,24,51,52,63,74,48,58,68,41,62,15,24,27,13,52,29,62,23,15,17,81,80,77,78,82
J. Musso,Udinese Calcio,GK,Argentina,80,83,21000000,17000,26,Italian Serie A,Right,Medium/Medium,Normal (185+),25300000,20,18,15,31,15,16,16,12,24,20,46,42,32,68,39,56,51,35,70,14,27,18,19,48,25,67,12,14,16,82,77,74,80,84
Unai Simón,Athletic Club de Bilbao,GK,Spain,80,86,27000000,18000,23,Spain Primera Division,Right,Medium/Medium,Normal (185+),35700000,16,14,18,29,17,12,20,14,21,16,46,48,32,70,47,51,60,45,76,13,27,26,14,31,24,48,11,18,12,81,77,68,83,80
D. Henderson,Manchester United,GK,England,80,87,36000000,70000,23,English Premier League,Right,Medium/Medium,Normal (185+),33600000,14,9,13,32,5,13,13,10,40,32,51,48,61,79,56,53,63,34,60,6,21,11,8,33,16,56,17,14,14,80,80,70,77,83
B. Costil,FC Girondins de Bordeaux,GK,France,79,79,8500000,28000,32,French Ligue 1,Right,Medium/Medium,Normal (185+),14300000,11,14,15,35,12,13,12,11,33,12,47,51,38,76,45,58,49,28,65,15,22,22,12,48,15,58,16,11,14,78,77,77,78,80
M. Sels,RC Strasbourg Alsace,GK,Belgium,79,81,15000000,28000,28,French Ligue 1,Right,Medium/Medium,Normal (185+),22800000,16,16,14,38,19,19,17,17,32,33,37,35,36,75,34,57,70,30,67,18,29,17,18,49,22,62,14,15,14,81,76,76,79,80
A. Schwolow,Hertha BSC,GK,Germany,79,80,14000000,40000,28,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),18600000,9,12,12,26,11,15,13,16,23,22,36,38,40,79,42,53,72,31,67,15,26,13,10,34,22,32,16,17,9,78,76,71,78,81
Rui Silva,Granada CF,GK,Portugal,79,83,19000000,23000,26,Spain Primera Division,Right,Medium/Medium,Normal (185+),26100000,13,20,14,25,20,18,19,20,26,24,31,30,34,71,24,56,62,27,66,14,19,27,20,50,30,49,25,10,19,78,74,75,80,84
P. Rajkovi?,Stade de Reims,GK,Serbia,79,84,21500000,20000,24,French Ligue 1,Right,Medium/Medium,Normal (185+),25900000,13,9,13,26,8,8,14,10,25,18,30,18,32,75,29,56,35,26,66,10,25,10,4,42,20,32,11,10,10,78,77,74,79,81
Moyá,Real Sociedad,GK,Spain,78,78,1600000,15000,36,Spain Primera Division,Right,Medium/Medium,Normal (185+),3600000,11,11,12,31,13,13,16,12,35,24,46,34,54,74,49,60,62,30,57,16,22,11,10,68,11,60,15,14,14,82,72,80,79,78
Andrés Fernández,SD Huesca,GK,Spain,78,78,4600000,20000,33,Spain Primera Division,Right,Medium/Medium,Normal (185+),12100000,17,13,12,35,13,14,24,12,40,18,58,55,60,75,65,51,77,39,74,12,40,26,14,41,16,56,22,14,15,80,75,68,76,79
T. Heaton,Aston Villa,GK,England,78,78,2400000,43000,34,English Premier League,Right,Medium/Medium,Normal (185+),8600000,17,12,16,32,12,17,15,13,37,28,56,55,54,74,52,56,73,40,66,12,31,24,12,46,24,62,16,15,13,78,77,74,78,79
M. Hitz,Borussia Dortmund,GK,Switzerland,78,78,7000000,39000,32,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),11100000,12,27,18,29,26,13,15,17,33,17,41,46,41,72,31,47,67,38,78,12,25,23,8,25,22,44,13,15,14,79,77,63,79,80
L. Karius,Liverpool,GK,Germany,78,81,14000000,60000,27,English Premier League,Right,Medium/Medium,Normal (185+),17300000,14,18,14,38,14,16,12,14,41,23,55,54,51,74,43,59,74,36,64,16,21,13,8,50,19,60,9,11,13,82,72,78,76,81
R. Olsen,Roma,GK,Sweden,78,78,9500000,15000,30,Italian Serie A,Right,Medium/Medium,Normal (185+),11900000,20,11,16,32,16,11,18,16,37,18,31,40,32,73,33,57,40,37,75,14,27,20,13,55,26,45,22,12,16,78,77,76,78,78
R. Jarstein,Hertha BSC,GK,Norway,77,77,1200000,21000,35,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),4100000,18,13,16,30,16,17,10,14,30,25,40,46,35,70,45,53,59,31,70,18,34,19,15,49,13,50,12,11,13,80,73,71,80,77
R. Fährmann,FC Schalke 04,GK,Germany,77,77,5500000,21000,31,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),9400000,14,11,15,25,11,15,18,11,26,24,38,47,39,75,36,33,71,32,71,9,36,23,11,42,21,61,10,12,10,79,78,44,77,78
R. Gikiewicz,FC Augsburg,GK,Poland,77,77,5000000,21000,32,German 1. Bundesliga,Right,Medium/Medium,Normal (185+),9900000,18,13,39,24,15,18,19,12,20,19,27,29,38,75,40,48,66,20,68,13,22,12,12,48,19,31,13,14,13,78,73,64,74,80
P. Gazzaniga,Tottenham Hotspur,GK,Argentina,77,80,9500000,59000,28,English Premier League,Right,Medium/Medium,Normal (185+),15800000,23,12,14,49,8,20,33,21,54,32,63,65,64,59,52,63,66,45,67,19,40,19,13,63,41,61,23,21,14,80,76,84,77,80
E. Audero,U.C. Sampdoria,GK,Italy,77,87,20000000,13000,23,Italian Serie A,Right,Medium/Medium,Normal (185+),23000000,13,16,19,29,18,19,12,12,19,18,55,49,53,75,51,55,65,25,55,19,24,11,9,30,22,56,10,10,10,80,73,73,74,80
F. Forster,Southampton,GK,England,76,76,3700000,36000,32,English Premier League,Right,Medium/Medium,Normal (185+),8900000,19,13,13,27,19,20,10,19,19,33,26,35,44,78,42,49,69,29,80,12,50,22,13,48,22,54,11,13,12,76,72,65,75,80
O. Karnezis,LOSC Lille,GK,Greece,76,76,1300000,24000,34,French Ligue 1,Right,Medium/Medium,Normal (185+),6500000,19,16,24,22,14,15,11,11,36,23,44,34,45,72,49,53,64,33,66,18,18,23,10,47,21,60,20,15,24,76,75,71,76,77
?. Skorupski,Bologna,GK,Poland,76,78,6000000,24000,29,Italian Serie A,Right,Medium/Medium,Normal (185+),12200000,19,11,10,29,17,18,12,19,26,23,51,51,48,68,38,41,66,31,58,15,33,17,13,32,22,58,18,12,12,80,75,54,75,81
J. Zoet,Spezia,GK,Netherlands,76,77,6000000,14000,29,Italian Serie A,Right,Medium/Medium,Normal (185+),11300000,17,12,19,37,19,15,13,20,37,34,55,45,54,71,42,57,57,40,67,17,18,21,11,57,27,61,25,18,16,76,74,76,76,78
L. Chichizola,Getafe CF,GK,Argentina,76,76,5000000,20000,30,Spain Primera Division,Right,Medium/Medium,Normal (185+),10500000,11,16,17,14,14,17,15,14,13,15,49,54,64,69,44,52,74,31,52,17,15,16,14,42,25,57,15,12,11,76,75,69,74,78
Adrián,Liverpool,GK,Spain,76,76,2400000,52000,33,English Premier League,Right,Medium/Medium,Normal (185+),7800000,12,16,15,21,12,15,12,17,32,23,46,44,53,72,48,51,69,38,63,20,38,25,12,32,44,59,18,19,14,79,72,68,72,80
Joel Robles,Real Betis Balompié,GK,Spain,76,76,5000000,17000,30,Spain Primera Division,Right,Medium/Medium,Normal (185+),10500000,12,11,12,15,13,18,11,20,26,25,50,56,50,70,39,54,59,25,72,11,23,22,13,41,15,54,11,11,14,78,73,72,73,80
Z. Steffen,Manchester City,GK,United States,76,82,9500000,64000,25,English Premier League,Right,Medium/Medium,Normal (185+),16400000,14,9,13,51,8,15,13,11,52,31,54,52,58,72,49,55,71,39,69,12,31,19,9,57,37,56,13,12,12,77,72,73,71,83
W. Caballero,Chelsea,GK,Argentina,75,75,625000,32000,38,English Premier League,Right,Medium/Medium,Normal (185+),1300000,12,11,22,33,13,12,23,11,48,30,43,46,39,71,55,53,70,37,69,14,30,19,7,47,16,57,14,11,12,74,72,71,76,74
