Column1,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,short_name,Name,Team,Nationality,Position.1,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
0,Atlético de Madrid,Daniel Wass,32,Central Midfield,Valencia,€2.70m,in,Winter,2.7,Primera Division,2021,2021/2022,Spain,D. Wass,D. Wass,Valencia CF,Denmark,"RB, RM, CM",80,80,15500000,38000,Right,High/Medium,Normal (170-185),79,75,69,80,71,76,80,84,81,80,74,76,74,80,71,85,67,86,73,79,74,78,75,78,64,79,78,77,11,9,10,13,13
1,Valencia CF,Daniel Wass,32,Central Midfield,Atlético Madrid,€2.70m,out,Winter,2.7,Primera Division,2021,2021/2022,Spain,D. Wass,D. Wass,Valencia CF,Denmark,"RB, RM, CM",80,80,15500000,38000,Right,High/Medium,Normal (170-185),79,75,69,80,71,76,80,84,81,80,74,76,74,80,71,85,67,86,73,79,74,78,75,78,64,79,78,77,11,9,10,13,13
2,Atlético de Madrid,Kieran Trippier,31,Right-Back,Newcastle,€30.00m,out,Winter,30,Primera Division,2021,2021/2022,Spain,K. Trippier,K. Trippier,Atlético de Madrid,England,RB,83,83,32000000,71000,Right,High/Medium,Normal (170-185),86,48,74,80,58,74,86,82,79,83,74,72,73,81,77,75,76,88,64,70,70,79,73,80,66,77,83,81,11,14,8,11,10
3,Newcastle United,Kieran Trippier,31,Right-Back,Atlético Madrid,€30.00m,in,Winter,30,Premier League,2021,2021/2022,England,K. Trippier,K. Trippier,Atlético de Madrid,England,RB,83,83,32000000,71000,Right,High/Medium,Normal (170-185),86,48,74,80,58,74,86,82,79,83,74,72,73,81,77,75,76,88,64,70,70,79,73,80,66,77,83,81,11,14,8,11,10
4,FC Barcelona,Ferran Torres,21,Left Winger,Man City,€55.00m,in,Winter,55,Primera Division,2021,2021/2022,Spain,F. Torres,Ferran Torres,Manchester City,Spain,"RM, LM, CF",81,89,56500000,95000,Right,High/Medium,Lean (170-185),77,77,70,80,72,82,71,48,78,79,88,77,80,76,68,76,75,73,66,75,45,34,77,86,66,35,24,28,12,9,11,15,12
5,Manchester City,Ferran Torres,21,Left Winger,Barcelona,€55.00m,out,Winter,55,Premier League,2021,2021/2022,England,F. Torres,Ferran Torres,Manchester City,Spain,"RM, LM, CF",81,89,56500000,95000,Right,High/Medium,Lean (170-185),77,77,70,80,72,82,71,48,78,79,88,77,80,76,68,76,75,73,66,75,45,34,77,86,66,35,24,28,12,9,11,15,12
6,Cádiz CF,Lucas Pérez,33,Centre-Forward,Elche CF,€200Th.,in,Winter,0.2,Primera Division,2021,2021/2022,Spain,L. Perez,Luis Pérez,Real Valladolid CF,Spain,RB,72,76,3000000,13000,Right,High/Medium,Normal (170-185),57,42,55,60,29,67,53,45,46,65,83,90,82,63,77,51,79,86,66,45,64,76,52,63,44,62,70,72,9,10,6,7,13
8,Elche CF,Lucas Pérez,33,Centre-Forward,Cádiz CF,€200Th.,out,Winter,0.2,Primera Division,2021,2021/2022,Spain,L. Perez,Luis Pérez,Real Valladolid CF,Spain,RB,72,76,3000000,13000,Right,High/Medium,Normal (170-185),57,42,55,60,29,67,53,45,46,65,83,90,82,63,77,51,79,86,66,45,64,76,52,63,44,62,70,72,9,10,6,7,13
12,FC Barcelona,Jean-Clair Todibo,21,Centre-Back,OGC Nice,€8.50m,out,Summer,8.5,Primera Division,2021,2021/2022,Spain,J. Todibo,J. Todibo,FC Barcelona,France,CB,75,86,11500000,68000,Right,Medium/Medium,Normal (185+),46,40,69,75,35,62,47,41,67,71,67,78,54,70,56,52,76,64,79,41,72,75,41,56,46,74,80,71,7,13,11,8,13
13,OGC Nice,Jean-Clair Todibo,21,Centre-Back,Barcelona,€8.50m,in,Summer,8.5,Ligue 1,2021,2021/2022,France,J. Todibo,J. Todibo,FC Barcelona,France,CB,75,86,11500000,68000,Right,Medium/Medium,Normal (185+),46,40,69,75,35,62,47,41,67,71,67,78,54,70,56,52,76,64,79,41,72,75,41,56,46,74,80,71,7,13,11,8,13
16,Real Madrid,Raphaël Varane,28,Centre-Back,Man Utd,€40.00m,out,Summer,40,Primera Division,2021,2021/2022,Spain,R. Varane,R. Varane,Real Madrid CF,France,CB,86,88,72500000,220000,Right,Medium/High,Unique,42,46,85,78,42,55,46,52,77,79,79,85,62,86,39,52,81,75,86,53,80,87,52,59,43,89,87,86,11,11,9,5,14
17,Manchester United,Raphaël Varane,28,Centre-Back,Real Madrid,€40.00m,in,Summer,40,Premier League,2021,2021/2022,England,R. Varane,R. Varane,Real Madrid CF,France,CB,86,88,72500000,220000,Right,Medium/High,Unique,42,46,85,78,42,55,46,52,77,79,79,85,62,86,39,52,81,75,86,53,80,87,52,59,43,89,87,86,11,11,9,5,14
20,Villarreal CF,Juan Foyth,23,Right-Back,Spurs,€15.00m,in,Summer,15,Primera Division,2021,2021/2022,Spain,J. Foyth,J. Foyth,Tottenham Hotspur,Argentina,CB,75,83,12000000,53000,Right,Medium/High,Lean (185+),69,43,73,74,43,71,61,47,66,75,67,68,71,75,69,56,74,69,74,39,73,74,50,59,47,74,78,75,8,15,7,14,9
21,Tottenham Hotspur,Juan Foyth,23,Right-Back,Villarreal,€15.00m,out,Summer,15,Premier League,2021,2021/2022,England,J. Foyth,J. Foyth,Tottenham Hotspur,Argentina,CB,75,83,12000000,53000,Right,Medium/High,Lean (185+),69,43,73,74,43,71,61,47,66,75,67,68,71,75,69,56,74,69,74,39,73,74,50,59,47,74,78,75,8,15,7,14,9
23,Real Betis Balompié,Germán Pezzella,30,Centre-Back,Fiorentina,€3.50m,in,Summer,3.5,Primera Division,2021,2021/2022,Spain,G. Pezzella,G. Pezzella,Fiorentina,Argentina,CB,78,78,12000000,50000,Right,Medium/Medium,Normal (185+),40,48,82,64,40,54,46,25,56,66,55,53,33,77,48,54,82,57,78,50,82,80,47,22,35,78,82,78,7,9,13,10,15
