Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
227604,F. Platte,FC Schalke 04,Germany,ST,19,63,78,700000,6000,Right,Medium/Medium,Normal (185+),35,64,65,60,64,58,64,33,42,60,64,66,53,64,51,69,66,58,77,56,32,22,59,54,55,,18,21,17,11,13,14,14,15
226686,M. Christiansen,FC Ingolstadt 04,Germany,"CDM, CM",18,63,75,450000,2000,Right,Medium/Medium,Normal (185+),39,37,63,65,37,54,40,43,59,63,54,63,60,57,58,59,51,65,78,46,68,64,41,55,46,,54,66,63,15,7,11,14,9
225309,N. Amiri,TSG Hoffenheim,Germany,"CAM, CM, RM, LM",18,63,78,650000,2000,Right,Medium/Medium,Lean (170-185),54,52,39,67,49,67,55,50,63,67,67,66,73,61,75,57,66,52,51,51,38,57,55,62,52,,37,52,41,12,12,14,12,10
223271,S. Kurt,FC Bayern München,Germany,"LM, CAM, CF",18,63,78,650000,4000,Left,Medium/Medium,Lean (170-185),58,54,39,61,55,74,52,55,48,73,78,69,78,55,77,43,62,52,34,49,29,23,51,53,46,,23,19,22,9,12,14,13,14
204420,J. Sternberg,SV Werder Bremen,Germany,"LB, CB",22,63,72,450000,4000,Left,Medium/Medium,Lean (170-185),59,31,64,62,32,62,46,59,59,61,68,69,67,67,62,68,52,64,66,45,65,61,46,56,52,,65,67,60,15,8,13,11,9
212340,S. Wannenwetsch,FC Ingolstadt 04,Germany,"CDM, CM",23,63,69,400000,4000,Right,Medium/Medium,Normal (170-185),45,42,59,64,39,57,44,47,53,65,69,67,67,58,76,67,73,78,66,62,73,59,32,55,50,,59,66,62,14,10,15,7,13
212625,D. Kinsombi,Eintracht Frankfurt,Germany,"CB, LB",19,63,73,425000,3000,Right,Medium/Medium,Normal (170-185),52,28,57,54,26,53,33,29,49,57,67,66,64,56,65,42,79,64,71,32,60,70,36,35,33,,63,63,59,11,11,7,12,14
210004,B. Saller,1. FSV Mainz 05,Germany,"CM, RM",22,63,71,500000,4000,Right,Medium/Medium,Normal (170-185),58,47,59,67,48,62,47,40,66,64,67,67,67,64,67,65,68,66,64,55,64,63,52,65,46,,54,57,55,14,14,7,10,11
220085,G. Waldschmidt,Eintracht Frankfurt,Germany,"ST, LM",19,61,77,475000,4000,Left,Medium/Medium,Lean (170-185),43,65,49,59,53,60,47,42,49,64,76,69,76,54,74,64,63,55,48,55,38,16,63,52,49,,16,14,13,14,10,7,9,16
216518,H. Bonmann,Borussia Dortmund,Germany,GK,21,61,71,325000,6000,Right,Medium/Medium,Lean (185+),11,7,14,22,9,9,11,12,16,13,30,34,34,57,29,23,63,33,69,11,23,11,8,31,23,,9,14,13,63,55,58,65,62
223756,M. Schulz,Borussia Mönchengladbach,Germany,"CB, CDM",20,61,73,375000,4000,Right,Medium/Medium,Lean (185+),51,42,52,64,41,58,50,41,58,57,54,64,61,57,60,62,49,59,69,35,65,60,41,49,54,,60,62,63,13,11,13,13,13
221827,T. Dierßen,Hannover 96,Germany,"CAM, CM",19,61,76,475000,4000,Right,Medium/Medium,Lean (170-185),57,56,41,56,52,62,61,54,53,66,76,68,79,61,79,63,70,60,34,47,56,28,62,62,51,,41,37,44,12,12,11,15,15
210020,P. Weihrauch,FC Bayern München,Germany,"CF, ST",21,61,72,400000,6000,Right,Medium/Medium,Lean (170-185),38,65,59,53,62,66,46,47,42,67,65,67,67,57,65,64,63,33,54,63,30,15,56,48,54,,20,24,22,14,10,10,13,7
226229,T. Kehrer,FC Schalke 04,Germany,"CB, CDM, RB",18,62,77,500000,4000,Right,Medium/Medium,Lean (185+),37,33,65,62,32,55,31,38,60,53,64,65,55,54,64,50,75,55,65,40,61,60,33,56,46,,59,65,61,9,9,14,10,12
224253,D. Parker,1. FSV Mainz 05,Germany,"LM, RM",19,62,76,575000,3000,Right,Medium/Medium,Lean (170-185),56,50,53,59,62,68,57,43,53,64,78,77,78,58,78,65,69,59,46,61,65,21,56,53,56,,30,28,27,14,11,11,13,15
221885,P. Seguin,VfL Wolfsburg,Germany,CDM,20,62,72,400000,5000,Right,Medium/Medium,Lean (185+),50,34,58,68,48,58,41,43,62,60,54,54,54,59,59,58,66,55,74,47,62,60,44,48,45,,61,63,64,14,11,6,15,8
208945,A. Götz,Hamburger SV,Germany,"RB, RM",21,65,75,750000,5000,Right,Medium/Medium,Normal (170-185),55,26,54,59,24,62,32,28,49,64,75,76,67,64,74,37,58,65,73,29,58,59,49,46,33,,68,69,68,15,13,9,15,13
183597,A. Stolz,TSG Hoffenheim,Germany,GK,31,65,65,425000,5000,Right,Medium/Medium,Normal (185+),12,15,11,23,14,14,9,14,38,22,48,46,50,58,32,23,67,41,64,14,40,22,12,17,21,,9,19,10,70,68,66,64,63
159477,M. Stegmayer,SV Darmstadt 98,Germany,LB,30,65,65,375000,5000,Left,Medium/Medium,Normal (170-185),60,44,57,63,37,66,59,23,55,64,77,69,72,65,74,56,74,76,67,50,58,63,59,55,43,,70,59,63,15,8,6,11,15
222493,M. Friedrich,FC Schalke 04,Germany,"CB, RB, LB",19,64,77,675000,7000,Right,Medium/Medium,Lean (185+),42,29,65,62,34,35,38,25,64,54,54,66,54,62,52,45,68,62,72,26,51,63,29,52,37,,60,70,66,10,13,13,15,14
213573,M. Gersbeck,Hertha BSC,Germany,GK,20,64,73,575000,4000,Left,Medium/Medium,Normal (185+),18,17,15,35,21,20,14,13,32,23,40,43,37,67,52,20,56,33,57,16,36,22,15,28,24,,13,16,15,63,65,62,64,65
224980,M. Busch,SV Werder Bremen,Germany,"RB, RM",20,64,76,675000,4000,Right,Medium/Medium,Normal (170-185),67,37,53,58,34,58,42,37,51,61,79,86,60,64,64,69,57,64,69,39,77,57,51,40,36,,60,66,62,9,6,14,16,7
225348,M. Hirsch,Hannover 96,Germany,CDM,22,64,72,550000,5000,Right,Medium/Medium,Normal (170-185),57,32,67,70,31,51,32,42,59,62,63,58,66,65,76,48,60,65,65,35,49,69,28,35,57,,66,69,62,8,8,8,8,11
