Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
219836,Rubén Yáñez,Real Madrid CF,Spain,GK,21,63,71,425000,6000,Right,Medium/Medium,Lean (185+),15,13,20,27,19,16,20,15,22,14,44,43,51,56,28,25,61,38,68,17,20,19,18,30,25,,20,14,13,67,64,60,56,69
211497,Mendi,Real Sporting de Gijón,Spain,ST,22,63,70,475000,4000,Right,Medium/Medium,Normal (170-185),25,64,70,41,70,49,26,29,24,55,58,64,46,57,48,75,74,33,77,54,79,21,67,40,59,,17,18,17,12,11,12,8,7
213063,Róber,Deportivo de La Coruña,Spain,"CB, CDM",20,62,74,450000,3000,Right,Medium/Medium,Normal (170-185),56,48,49,63,47,49,42,42,42,53,65,67,57,57,64,36,72,67,64,39,62,64,49,46,33,,59,63,70,13,13,15,16,7
211533,Rubén Ramiro,RC Celta de Vigo,Spain,"LW, RW",22,62,72,450000,4000,Right,Medium/Medium,Lean (170-185),44,63,40,49,48,71,47,41,39,69,72,77,77,53,86,58,65,69,38,57,28,15,59,48,57,,16,12,11,9,11,14,7,9
205652,Álex Carmona,Granada CF,Spain,RB,25,62,63,275000,4000,Right,Medium/Medium,Normal (170-185),61,30,45,48,34,43,54,33,49,47,67,70,71,50,79,49,62,65,55,29,79,58,42,38,41,,67,70,75,15,9,10,9,7
209770,Néstor,RC Celta de Vigo,Spain,GK,23,62,70,350000,4000,Right,Medium/Medium,Normal (185+),15,16,14,21,15,19,15,14,25,20,44,49,38,61,51,23,77,45,62,19,18,18,13,17,24,,13,13,15,71,57,60,53,67
226208,Nacho Monsalve,Atlético de Madrid,Spain,"CB, RB, LB",21,62,68,325000,6000,Right,Medium/Medium,Lean (170-185),57,21,57,51,26,41,48,25,46,52,54,55,38,51,65,37,77,60,64,20,58,65,47,35,37,,68,63,70,9,15,16,9,6
230786,Pepelu,Levante Unión Deportiva,Spain,"CM, CDM",16,62,80,525000,2000,Right,Medium/Medium,Lean (185+),60,55,36,68,48,59,59,68,71,65,56,65,66,57,57,57,52,55,33,64,44,47,53,68,61,,34,51,45,12,13,6,9,6
228716,Kevin,RC Celta de Vigo,Spain,RB,22,62,70,350000,4000,Right,Medium/Medium,Normal (170-185),64,44,53,58,28,65,52,45,25,63,68,73,62,57,75,51,63,69,55,47,54,59,58,33,46,,57,58,61,11,15,9,15,14
221014,Carlos Fernández,Sevilla FC,Spain,ST,19,62,68,350000,5000,Right,Medium/Medium,Lean (185+),29,72,66,52,52,64,28,23,30,65,49,52,46,60,59,68,56,62,49,57,56,20,61,44,71,,18,22,21,12,13,8,9,12
