Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
225116,A. Meret,Udinese Calcio,Italy,GK,18,63,75,450000,2000,Right,Medium/Medium,Lean (185+),15,17,19,29,20,16,20,21,22,22,41,48,37,65,48,21,68,29,65,21,22,22,20,21,21,,14,21,12,67,55,51,59,73
139691,M. Pugliesi,Empoli,Italy,GK,38,62,62,50000,2000,Right,Medium/Medium,Normal (185+),12,17,10,26,24,21,24,11,13,21,45,27,38,58,43,21,66,34,62,21,14,25,12,15,17,,15,16,19,66,48,70,66,67
201439,M. Mangiapelo,Frosinone,Italy,GK,29,63,63,275000,4000,Right,Medium/Medium,Normal (185+),16,11,13,24,15,13,12,13,33,21,50,50,53,63,30,18,76,20,68,10,26,22,16,24,24,,12,19,18,60,60,55,65,70
219852,A. Ferrari,Bologna,Italy,"CB, RB",21,61,68,275000,4000,Right,Medium/Medium,Lean (170-185),19,12,60,34,21,32,17,20,30,43,55,61,57,54,65,37,73,55,60,14,52,52,15,15,27,,64,77,67,9,11,12,12,6
216139,L. Bittante,Empoli,Italy,"RM, LM, RB, LB",21,62,70,400000,4000,Right,Medium/Medium,Lean (170-185),66,38,57,66,39,62,50,43,62,64,64,74,60,68,55,54,55,75,60,40,68,56,48,50,45,,56,60,60,9,9,12,11,7
202793,A. Berardi,Lazio,Italy,GK,24,62,68,325000,5000,Right,Medium/Medium,Stocky (185+),14,10,11,29,19,11,16,15,32,21,55,51,35,60,45,23,62,45,55,19,23,21,11,13,22,,16,19,17,62,60,56,64,66
221332,G. Guerrieri,Lazio,Italy,GK,19,62,74,400000,4000,Right,Medium/Medium,Normal (170-185),12,13,19,27,13,16,18,16,19,20,41,49,35,51,48,23,54,35,67,14,18,23,16,28,23,,20,15,14,65,60,56,62,68
219584,L. Lezzerini,Fiorentina,Italy,GK,20,62,74,450000,4000,Right,Medium/Medium,Normal (185+),13,13,12,31,17,14,15,14,22,24,46,44,39,60,38,18,55,32,79,19,24,18,15,25,25,,13,19,14,67,60,64,55,66
223137,F. Bonazzoli,U.C. Sampdoria,Italy,ST,18,62,75,475000,2000,Left,Medium/Medium,Normal (185+),41,65,65,54,54,60,47,53,43,66,69,69,63,59,44,56,60,60,67,57,39,26,57,46,60,,25,22,29,8,13,10,8,7
210329,F. Falco,Bologna,Italy,"CF, CAM, RW",23,65,71,725000,6000,Left,Medium/Medium,Normal (170-185),59,59,49,63,59,67,63,60,57,67,86,80,86,61,85,65,65,65,55,63,51,31,61,57,57,,15,22,23,10,9,13,11,7
178452,A. Pelagotti,Empoli,Italy,GK,26,65,68,550000,7000,Right,Medium/Medium,Normal (185+),12,11,10,20,13,12,19,11,13,11,37,42,47,63,30,21,75,34,65,14,31,20,11,25,22,,11,15,20,63,64,61,65,69
188017,A. Pomini,U.S. Sassuolo Calcio,Italy,GK,34,65,65,350000,3000,Right,Medium/Medium,Normal (185+),14,10,13,28,11,12,10,12,36,21,44,44,49,66,33,21,66,34,65,11,38,19,10,31,23,,18,11,13,64,61,57,70,67
