Id,Name,Team,Positions,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
167495,M. Neuer,FC Bayern München,GK,92,92,69500000,225000,30,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),15,13,25,55,11,30,14,11,59,48,58,61,52,85,35,25,78,44,83,16,29,30,12,70,47,70,10,10,11,89,90,95,91,89
162835,S. Handanovi?,Inter,GK,87,87,35500000,90000,31,Italian Serie A,Slovenia,Right,Medium/Medium,Normal (185+),12,10,10,36,12,18,12,14,34,24,54,57,42,83,36,22,78,41,71,19,25,22,12,41,23,72,17,10,13,86,89,69,86,86
200389,J. Oblak,Atlético de Madrid,GK,87,91,50500000,60000,23,Spain Primera Division,Slovenia,Right,Medium/Medium,Normal (185+),13,11,15,29,13,12,13,14,26,16,43,60,67,84,49,22,76,41,78,12,44,19,11,55,11,55,14,12,18,83,90,77,87,82
192563,B. Leno,Bayer 04 Leverkusen,GK,86,89,42500000,60000,24,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,86,80,86,83
163705,S. Mandanda,Crystal Palace,GK,85,85,26000000,90000,31,English Premier League,France,Right,Medium/Medium,Normal (185+),14,13,13,31,13,11,13,12,28,12,53,43,52,81,36,24,74,31,61,11,37,23,11,51,11,63,10,12,13,86,80,79,81,85
193041,K. Navas,Real Madrid CF,GK,85,85,28500000,170000,29,Spain Primera Division,Costa Rica,Right,Medium/Medium,Normal (185+),11,15,11,30,11,16,11,15,37,19,61,52,70,82,60,21,84,41,65,13,32,20,16,54,25,49,12,14,14,87,82,72,80,85
24630,José Reina,Napoli,GK,84,84,21000000,80000,33,Italian Serie A,Spain,Right,Medium/Medium,Normal (185+),11,14,13,19,11,10,11,11,22,23,50,63,50,82,60,24,73,34,72,15,32,22,13,65,24,60,12,22,24,80,85,82,84,83
150724,J. Hart,Torino F.C.,GK,84,84,24500000,60000,29,Italian Serie A,England,Right,Medium/Medium,Normal (185+),14,14,10,32,19,23,17,13,35,20,59,60,50,77,32,65,72,28,61,19,28,25,14,42,68,66,14,14,13,84,81,75,82,87
179783,R. Fährmann,FC Schalke 04,GK,84,85,26500000,40000,27,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),14,11,14,25,11,15,18,11,26,24,38,47,39,84,36,24,72,32,79,9,36,23,11,42,21,61,12,12,10,83,86,51,85,87
188943,K. Trapp,Paris Saint-Germain,GK,83,86,24500000,70000,25,French Ligue 1,Germany,Right,Medium/Medium,Normal (185+),13,13,11,25,12,10,14,12,12,24,45,52,42,81,37,22,76,45,73,13,30,22,12,45,17,48,10,14,10,83,79,79,80,85
192448,M. ter Stegen,FC Barcelona,GK,83,88,27000000,100000,24,Spain Primera Division,Germany,Right,Medium/Medium,Normal (185+),15,14,10,30,14,17,18,12,38,18,38,50,37,80,43,22,82,35,79,10,43,22,11,57,25,66,10,13,10,84,81,83,78,85
158121,B. Costil,Stade Rennais FC,GK,82,82,17500000,50000,28,French Ligue 1,France,Right,Medium/Medium,Normal (185+),11,14,15,35,12,13,12,11,33,12,49,53,38,77,45,22,49,28,65,15,22,22,12,44,15,53,16,11,14,82,80,78,82,84
168435,S. Sirigu,Sevilla FC,GK,82,82,17000000,20000,29,Spain Primera Division,Italy,Right,Medium/Medium,Normal (185+),13,10,11,23,12,15,11,11,28,18,50,51,52,77,55,20,68,34,66,14,34,20,10,46,19,55,16,11,13,83,79,75,80,83
183497,O. Karnezis,Udinese Calcio,GK,82,82,16500000,30000,30,Italian Serie A,Greece,Right,Medium/Medium,Normal (185+),19,23,24,22,14,15,11,11,36,23,44,34,45,78,49,22,64,33,66,23,18,23,10,47,21,22,13,15,24,80,83,70,80,84
203042,J. Butland,Stoke City,GK,82,89,24500000,50000,23,English Premier League,England,Right,Medium/Medium,Normal (185+),11,16,12,36,12,21,12,14,40,26,51,48,58,73,55,29,61,42,59,13,32,27,16,34,42,59,16,13,11,81,83,73,79,85
203775,L. Karius,Liverpool,GK,82,87,23000000,80000,23,English Premier League,Germany,Right,Medium/Medium,Normal (185+),14,18,14,35,14,16,12,14,37,23,48,50,51,83,43,20,74,36,55,16,18,13,8,45,19,37,13,11,13,84,76,80,80,85
215316,G. Rulli,Real Sociedad,GK,82,89,24500000,20000,24,Spain Primera Division,Argentina,Right,Medium/Medium,Normal (185+),12,15,12,32,16,15,19,20,23,15,54,48,57,77,50,24,68,42,73,17,26,21,12,58,24,30,16,13,17,85,79,70,80,86
110677,Moyá,Atlético de Madrid,GK,81,81,12500000,50000,32,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),11,11,12,31,13,13,16,12,35,24,46,34,54,75,49,21,62,30,57,16,22,11,10,62,11,39,13,14,14,85,78,82,81,79
116494,C. Carrasso,FC Girondins de Bordeaux,GK,81,81,11000000,40000,34,French Ligue 1,France,Right,Medium/Medium,Normal (185+),11,13,11,24,13,14,10,12,22,22,38,42,39,73,35,24,73,31,71,14,43,23,13,53,13,60,13,13,14,78,79,81,79,82
121933,R. Adler,Hamburger SV,GK,81,81,13000000,40000,31,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),13,14,10,39,18,13,12,13,36,20,46,37,49,81,43,23,69,22,66,14,25,17,7,38,21,49,12,12,13,80,80,73,82,81
178750,Sergio Asenjo,Villarreal CF,GK,81,83,16000000,30000,27,Spain Primera Division,Spain,Right,Medium/Medium,Normal (185+),24,14,13,39,22,15,23,22,39,14,59,54,62,75,58,24,71,43,71,23,20,22,12,46,15,39,12,15,14,84,82,79,81,75
186148,R. Zieler,Leicester City,GK,81,82,15500000,60000,27,English Premier League,Germany,Right,Medium/Medium,Normal (185+),15,10,13,25,12,12,11,10,22,22,46,50,43,80,41,21,69,32,55,14,32,21,15,39,24,61,11,12,13,78,82,66,81,82
189117,R. Bürki,Borussia Dortmund,GK,81,84,17500000,50000,25,German 1. Bundesliga,Switzerland,Right,Medium/Medium,Normal (185+),15,8,17,37,13,16,13,12,24,23,49,53,51,78,52,22,74,36,74,14,35,18,10,50,20,58,14,13,16,81,80,73,78,84
193105,A. Areola,Paris Saint-Germain,GK,81,89,21500000,50000,23,French Ligue 1,France,Right,Medium/Medium,Normal (185+),20,19,14,41,16,12,16,16,32,22,54,52,53,77,58,25,59,28,80,14,26,23,17,34,25,35,19,18,12,84,80,72,76,85
199987,J. Cillessen,FC Barcelona,GK,81,83,16000000,120000,27,Spain Primera Division,Netherlands,Right,Medium/Medium,Normal (185+),17,10,12,47,19,12,10,10,33,32,54,50,48,78,50,35,71,40,67,15,25,25,11,60,21,70,18,12,11,79,83,74,81,77
49031,S. Sorrentino,Chievo Verona,GK,80,80,4400000,10000,37,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),11,10,10,36,18,12,14,11,34,20,33,41,52,71,48,21,74,28,74,13,22,25,10,34,20,66,11,10,13,80,82,65,83,80
111661,C. Kameni,Málaga CF,GK,80,80,10500000,20000,32,Spain Primera Division,Cameroon,Right,Medium/Medium,Normal (185+),12,11,13,27,13,15,11,12,29,14,44,45,65,71,57,22,76,40,79,12,34,24,14,40,24,57,13,11,12,82,82,74,76,82
164835,?. Fabia?ski,Swansea City,GK,80,80,11000000,60000,31,English Premier League,Poland,Right,Medium/Medium,Normal (185+),14,13,11,20,17,14,18,12,32,22,50,47,52,71,44,14,68,25,65,20,43,16,15,52,22,63,11,12,13,77,84,73,78,84
