Id,Name,Team,Positions,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
167495,M. Neuer,FC Bayern München,GK,92,92,69500000,225000,30,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),15,13,25,55,11,30,14,11,59,48,58,61,52,85,35,25,78,44,83,16,29,30,12,70,47,70,10,10,11,89,90,95,91,89
183907,J. Boateng,FC Bayern München,CB,90,90,56000000,200000,27,German 1. Bundesliga,Germany,Right,Medium/Medium,Stocky (185+),69,34,87,75,53,67,56,31,80,73,74,83,58,84,54,79,76,75,91,58,83,85,47,76,46,86,91,94,91,7,12,15,6,5
188350,M. Reus,Borussia Dortmund,"LM, CAM",88,88,52000000,140000,27,German 1. Bundesliga,Germany,Right,Medium/Medium,Lean (170-185),83,83,51,86,88,86,90,84,79,85,89,91,87,87,82,87,70,72,64,85,47,50,86,84,84,82,30,36,46,12,12,13,13,11
192563,B. Leno,Bayer 04 Leverkusen,GK,86,89,42500000,60000,24,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),9,9,13,37,10,16,9,8,33,22,46,52,52,81,44,23,73,43,68,14,28,22,7,53,23,62,8,15,18,85,86,80,86,83
179783,R. Fährmann,FC Schalke 04,GK,84,85,26500000,40000,27,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),14,11,14,25,11,15,18,11,26,24,38,47,39,84,36,24,72,32,79,9,36,23,11,42,21,61,12,12,10,83,86,51,85,87
179784,B. Höwedes,FC Schalke 04,"CB, RB, LB",84,84,23000000,60000,28,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),58,48,83,74,38,60,38,52,64,70,63,67,65,82,61,62,82,69,81,31,79,85,51,57,56,82,85,84,84,14,6,9,10,7
192318,M. Götze,Borussia Dortmund,"CAM, LM, CM",84,87,37000000,80000,24,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (170-185),77,75,49,85,87,90,80,73,60,90,73,67,86,83,84,68,62,65,65,56,48,53,82,82,65,83,16,29,23,14,7,12,6,10
167431,G. Castro,Borussia Dortmund,"CM, CDM, RM",82,82,18500000,70000,29,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (170-185),82,69,60,84,65,82,80,75,80,82,76,72,82,83,83,77,77,81,65,78,63,81,78,81,55,83,75,72,70,14,8,13,10,15
200316,T. Horn,1. FC Köln,GK,82,88,23500000,30000,23,German 1. Bundesliga,Germany,Left,Medium/Medium,Normal (185+),19,13,14,35,14,20,12,15,32,22,45,51,50,80,31,22,64,31,67,17,41,22,15,55,21,20,11,13,12,80,80,83,82,83
121933,R. Adler,Hamburger SV,GK,81,81,13000000,40000,31,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),13,14,10,39,18,13,12,13,36,20,46,37,49,81,43,23,69,22,66,14,25,17,7,38,21,49,12,12,13,80,80,73,82,81
