Id,Name,Team,Positions,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
234152,Sito,Valencia CF,"LM, LW",61,78,450000,4000,19,Spain Primera Division,Spain,Left,Medium/High,Normal (170-185),64,52,38,58,37,67,61,54,56,63,61,60,66,59,69,65,49,51,48,60,61,34,57,58,52,44,23,31,47,15,6,14,10,13
225507,Pol Llonch,Granada CF,"CDM, CM, RWB",63,71,425000,3000,23,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),43,38,43,63,42,49,47,51,51,51,81,77,76,47,87,68,79,86,64,45,83,63,49,49,49,65,59,71,64,16,13,14,12,6
227950,Yeray,Athletic Club de Bilbao,"CB, RB",72,78,2500000,10000,21,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),48,41,73,67,52,48,64,50,68,59,66,69,55,64,76,69,75,73,76,43,79,70,39,34,61,78,69,71,76,12,9,8,12,11
170988,Toquero,Deportivo Alavés,"ST, RW, CF",72,72,1900000,20000,31,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),70,63,77,58,70,65,62,52,57,62,69,70,42,81,64,76,86,75,81,55,87,57,81,66,66,71,46,56,47,9,7,15,12,7
110283,Duda,Málaga CF,"CAM, RM",72,72,250000,10000,36,Spain Primera Division,Portugal,Left,Medium/High,Normal (170-185),81,69,51,80,59,72,91,86,84,73,34,32,62,64,74,84,33,31,61,81,67,43,71,77,72,80,60,59,58,14,12,10,6,14
236221,D. Brasanac,Real Betis Balompié,"CM, CDM",73,78,3800000,20000,24,Spain Primera Division,Serbia,Right,Medium/High,Normal (170-185),58,61,64,74,52,63,57,59,75,71,64,61,59,79,68,79,67,73,71,62,81,64,76,72,70,77,48,71,68,6,14,9,9,9
209749,Lucas Silva,Real Madrid CF,"CDM, CM",74,76,3500000,90000,23,Spain Primera Division,Brazil,Right,Medium/High,Normal (170-185),61,52,61,75,50,73,56,51,72,75,56,62,65,72,61,77,72,77,78,73,72,71,65,70,64,72,72,75,72,11,7,10,14,7
172287,Manu García,Deportivo Alavés,"CDM, CM, LB",74,74,2400000,20000,30,Spain Primera Division,Spain,Left,Medium/High,Normal (170-185),61,57,63,72,42,54,52,54,68,66,54,64,64,74,63,74,78,90,76,46,93,77,58,55,71,72,62,78,72,8,14,9,7,11
196432,E. Pérez,Valencia CF,"CM, CDM",78,78,7500000,30000,30,Spain Primera Division,Argentina,Right,Medium/High,Normal (170-185),66,67,58,85,58,68,62,63,73,82,74,67,76,78,78,79,75,85,74,68,86,79,69,73,82,83,70,80,78,9,11,7,15,13
190584,Illarramendi,Real Sociedad,"CM, CDM",79,81,12000000,40000,26,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),65,53,51,82,58,76,78,68,80,81,65,58,70,78,73,69,53,75,66,62,69,79,79,80,50,60,64,79,74,15,7,11,14,12
146460,Javi Fuego,RCD Espanyol de Barcelona,"CDM, CM, CB",79,79,6000000,30000,32,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),59,54,60,77,53,62,70,62,75,74,61,56,64,82,60,72,70,82,77,64,85,83,58,69,60,86,71,82,80,7,13,14,10,14
194174,Keko,Málaga CF,"RM, RW",80,86,19500000,30000,24,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),83,69,34,77,70,83,73,69,76,80,82,79,78,79,76,67,65,71,66,72,54,59,73,81,66,60,24,53,43,15,12,8,9,7
188005,Camacho,Málaga CF,"CDM, CM",81,84,17000000,30000,26,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),50,58,83,81,52,64,62,59,74,75,64,59,71,84,63,76,85,84,78,54,86,85,66,79,48,72,75,82,74,9,13,15,8,10
199715,Vitolo,Sevilla FC,"RM, LM",82,83,22500000,30000,26,Spain Primera Division,Spain,Right,Medium/High,Normal (170-185),82,79,65,81,55,86,71,62,79,84,77,78,72,80,63,70,58,72,75,73,62,25,81,79,74,66,25,21,23,11,16,8,14,16
184120,Bruno,Villarreal CF,CM,83,83,17500000,40000,32,Spain Primera Division,Spain,Left,Medium/High,Normal (170-185),58,66,61,86,48,74,72,77,84,82,52,52,53,84,59,84,66,74,77,81,79,85,69,81,75,86,70,84,85,13,10,9,11,8
211037,De La Hoz,Real Betis Balompié,"CDM, CB",65,73,675000,6000,24,Spain Primera Division,Spain,Left,Low/Medium,Normal (170-185),43,29,55,68,34,45,36,32,61,54,53,65,58,58,70,43,67,79,68,40,66,61,35,51,42,37,56,72,71,8,12,12,9,12
235961,Imanol García,CA Osasuna,"CM, CDM, CAM",66,74,900000,6000,20,Spain Primera Division,Spain,Right,High/High,Normal (170-185),46,56,50,70,58,58,47,53,65,61,68,65,70,74,73,59,72,71,61,52,73,60,68,66,51,60,41,57,61,13,6,9,14,12
231640,Javi Ontiveros,Málaga CF,"LM, RM",66,80,1200000,4000,18,Spain Primera Division,Spain,Right,Medium/Low,Normal (170-185),65,65,32,66,37,74,70,61,62,71,70,62,75,61,88,42,49,34,33,60,35,23,60,62,68,49,24,25,23,6,8,6,11,12
