Id,Name,Team,Positions,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
220795,D. Vitturini,Pescara,"RB, CB",58,73,250000,2000,19,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),45,13,53,51,40,55,37,14,47,57,54,68,54,53,65,39,65,69,69,32,57,54,14,14,12,52,56,60,60,5,7,5,7,13
193267,F. Pisacane,Cagliari,"RB, CB",65,65,375000,10000,30,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),58,20,62,58,14,57,28,25,45,58,59,55,68,68,67,32,93,66,75,32,73,66,49,41,28,66,68,71,68,11,15,15,12,13
213938,D. Biraschi,Genoa,"CB, RB",68,75,1100000,10000,21,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),34,31,58,65,30,49,37,38,58,65,66,63,54,68,64,50,68,46,74,28,60,67,34,42,32,47,69,72,68,15,9,16,7,12
179973,M. Morganella,Palermo,"RM, RB",68,68,850000,15000,27,Italian Serie A,Switzerland,Right,Medium/High,Normal (170-185),71,32,59,66,52,69,71,54,66,69,75,77,65,75,68,64,70,86,72,59,69,69,61,59,56,69,69,75,70,14,13,6,9,8
159499,M. Zambelli,Empoli,"RB, CB",70,70,925000,8000,30,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),65,41,60,65,40,61,51,43,56,64,69,69,65,68,72,65,69,73,69,63,69,72,48,38,42,75,68,72,72,9,8,13,15,15
189118,Thiago Cionek,Palermo,CB,71,71,1200000,15000,30,Italian Serie A,Poland,Right,Medium/High,Normal (170-185),35,22,62,46,34,46,31,25,52,56,68,69,65,62,60,31,91,67,85,26,68,71,30,36,39,57,72,73,72,6,8,8,9,16
173147,D. Dessena,Cagliari,"CM, RB",71,71,1500000,30000,29,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),66,55,67,66,66,70,66,64,69,70,74,67,72,68,68,73,67,79,68,78,82,74,68,67,56,70,60,76,76,4,4,4,4,4
201220,L. Memushaj,Pescara,CM,72,72,2000000,15000,29,Italian Serie A,Albania,Right,Medium/High,Normal (170-185),63,52,44,74,61,72,68,67,70,74,76,73,82,72,88,65,59,76,62,72,64,68,64,71,66,74,54,62,62,15,7,6,10,15
137440,G. Migliaccio,Atalanta,"CM, CDM",72,72,725000,15000,35,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),68,52,80,76,55,64,49,42,74,72,55,55,68,74,72,76,90,65,73,72,78,78,66,66,44,73,64,74,70,9,15,6,13,11
154634,M. Pasqual,Empoli,"LM, LB",73,73,1400000,10000,34,Italian Serie A,Italy,Left,Medium/High,Normal (170-185),85,46,58,77,62,70,80,76,77,75,74,76,72,70,74,72,76,70,66,62,66,70,64,70,50,76,74,74,75,6,5,7,12,7
182860,Á. González,Lazio,"CM, CDM, RM",74,74,2800000,40000,31,Italian Serie A,Uruguay,Right,Medium/High,Normal (170-185),74,51,75,76,69,71,73,69,74,74,75,74,72,75,70,74,72,75,68,72,83,79,73,69,65,75,71,77,79,8,8,6,12,15
152922,E. Barreto,U.C. Sampdoria,"CM, CDM",74,74,2800000,30000,31,Italian Serie A,Paraguay,Right,Medium/High,Normal (170-185),67,53,61,75,69,68,73,79,75,75,68,68,66,75,62,83,52,72,76,73,75,75,69,73,61,72,65,73,71,11,6,15,14,15
137774,D. Maietta,Bologna,CB,74,74,1500000,40000,33,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),30,13,70,56,20,44,22,14,56,50,34,54,33,70,55,21,68,55,75,27,78,78,16,25,19,74,78,78,76,14,5,7,15,5
172233,P. Hetemaj,Chievo Verona,"LM, CM",76,76,4900000,20000,29,Italian Serie A,Finland,Right,Medium/High,Normal (170-185),74,56,58,78,77,75,74,69,76,76,78,78,86,75,83,76,88,89,69,73,84,69,73,77,69,77,68,72,74,13,11,8,9,6
165490,M. Izco,Chievo Verona,"CM, CDM",76,76,3200000,20000,33,Italian Serie A,Argentina,Right,Medium/High,Normal (170-185),70,58,60,78,60,78,68,50,74,78,69,75,69,76,68,82,55,78,74,70,72,75,61,77,60,77,68,74,64,5,14,15,10,8
149185,F. Magnanelli,U.S. Sassuolo Calcio,"CDM, CM",77,77,4500000,50000,31,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),61,45,61,78,60,58,62,61,76,74,68,68,64,72,64,72,55,74,74,66,79,79,53,70,57,69,72,77,74,8,12,7,11,5
139038,N. Burdisso,Genoa,CB,77,77,1200000,20000,35,Italian Serie A,Argentina,Right,Medium/High,Normal (170-185),34,34,80,54,19,40,40,21,55,52,68,55,50,71,62,24,89,55,73,23,85,77,25,38,41,69,79,79,78,8,13,11,8,12
176009,S. Kums,Udinese Calcio,"CM, CDM",79,79,10000000,40000,28,Italian Serie A,Belgium,Right,Medium/High,Normal (170-185),74,57,52,83,67,73,74,73,80,81,64,66,76,80,78,69,62,77,56,71,73,81,66,80,78,78,63,73,68,10,14,15,14,7
165109,?. Radu,Lazio,"LB, CB",79,79,7500000,60000,29,Italian Serie A,Romania,Left,Medium/High,Normal (170-185),67,55,70,71,51,66,45,48,67,69,75,75,71,78,67,79,65,74,80,74,75,85,55,60,57,76,85,86,85,9,12,12,6,13
135475,Felipe Melo,Inter,"CDM, CM",79,79,4500000,70000,33,Italian Serie A,Brazil,Right,Medium/High,Normal (170-185),64,61,81,78,67,73,55,56,76,75,69,69,69,70,66,84,84,76,84,74,92,76,65,72,74,74,73,80,78,12,8,13,12,6
201377,J. Murillo,Inter,CB,80,84,16000000,60000,24,Italian Serie A,Colombia,Right,Medium/High,Normal (170-185),56,37,80,61,44,57,38,26,61,63,76,78,78,74,69,68,86,74,78,13,83,80,45,54,46,72,82,82,86,14,13,8,11,14
199914,Allan,Napoli,CM,81,83,20000000,70000,25,Italian Serie A,Brazil,Right,Medium/High,Normal (170-185),70,62,59,82,56,77,65,49,76,78,79,76,79,84,82,70,69,94,73,62,82,84,78,79,53,77,76,84,80,13,13,5,5,8
158963,L. Biglia,Lazio,"CDM, CM",82,82,14500000,60000,30,Italian Serie A,Argentina,Right,Medium/High,Normal (170-185),74,52,54,83,78,67,71,76,82,84,74,69,76,80,78,77,62,80,72,75,83,82,55,80,72,80,70,80,77,14,12,7,12,7
52091,P. Evra,Juventus,"LB, LM",82,82,3000000,80000,35,Italian Serie A,France,Left,Medium/High,Normal (170-185),82,33,80,75,53,74,76,51,69,75,79,75,79,78,87,72,89,69,69,63,82,86,68,62,57,80,82,82,86,3,5,5,5,3
212814,João Mário,Inter,"RM, CM",83,88,31000000,70000,23,Italian Serie A,Portugal,Right,Medium/High,Normal (170-185),77,72,55,83,69,84,74,67,78,85,75,77,81,82,70,77,63,88,69,73,61,78,80,82,66,85,67,75,61,6,15,8,8,8
142780,G. Rodríguez,Fiorentina,CB,83,83,13500000,70000,32,Italian Serie A,Argentina,Right,Medium/High,Normal (170-185),38,44,86,72,22,62,50,46,76,72,68,68,64,80,60,68,86,66,80,36,80,86,32,64,74,76,84,86,82,12,4,11,12,9
53302,D. De Rossi,Roma,CDM,83,83,13500000,70000,32,Italian Serie A,Italy,Right,Medium/High,Normal (170-185),57,50,81,82,74,64,62,71,82,78,69,69,69,80,72,81,78,79,84,74,84,87,55,72,75,80,75,84,82,10,7,13,10,9
218888,Y. Bobb,Chievo Verona,RM,60,68,275000,2000,20,Italian Serie A,Gambia,Right,Low/Low,Normal (170-185),66,37,55,68,50,71,69,34,63,71,55,55,69,42,65,58,55,55,33,61,32,23,45,49,47,43,22,31,32,14,6,10,9,7
