Id,Name,Position,Overall,Potential,Value,Wage,Age,Team,league_name,Nationality,preferred_foot,Work Rate,Body type,Release cause,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
239332,T. Baller,"CAM, RM, LM",58,73,250000,3000,18,Hannover 96,German 1. Bundesliga,Germany,Right,High/Low,Lean (170-185),631000,52,51,38,54,55,66,53,48,51,62,69,65,75,50,77,48,41,47,40,47,35,23,48,56,50,49,26,32,24,13,5,11,7,6
238068,M. Richter,ST,60,73,400000,3000,19,FC Augsburg,German 1. Bundesliga,Germany,Right,Medium/Low,Normal (170-185),970000,34,62,51,56,60,62,57,37,48,59,68,65,64,63,67,64,54,50,55,57,36,15,51,54,56,50,16,19,16,12,13,7,5,10
234399,J. Eggestein,ST,66,84,1400000,5000,19,SV Werder Bremen,German 1. Bundesliga,Germany,Right,Medium/Low,Lean (170-185),3200000,48,71,65,61,54,62,58,42,57,64,69,68,73,65,67,64,63,54,52,58,34,36,64,62,65,63,23,24,20,14,10,8,7,15
205044,S. Maier,"CAM, RM, LM",68,73,1200000,20000,23,Hannover 96,German 1. Bundesliga,Germany,Right,Medium/Low,Lean (170-185),2200000,66,54,47,68,62,71,70,70,55,69,79,72,85,64,77,70,71,59,53,71,54,38,61,64,59,53,22,24,20,11,7,14,9,8
215441,S. Guirassy,ST,69,79,1700000,15000,21,1. FC Köln,German 1. Bundesliga,France,Right,Medium/Low,Normal (185+),3300000,38,75,68,66,63,69,56,67,47,65,69,74,68,56,66,69,73,57,77,56,70,29,68,57,54,59,31,29,34,11,8,12,12,8
192567,M. Zimmermann,"CDM, CM, RB",69,73,1100000,15000,25,VfB Stuttgart,German 1. Bundesliga,Germany,Right,Low/High,Lean (170-185),2100000,58,46,54,66,55,65,55,29,55,69,76,74,68,69,74,62,69,78,68,62,75,68,39,60,44,66,68,70,69,8,13,11,12,13
232097,A. Harit,"RM, CAM, RW, LW",71,83,4200000,20000,20,FC Schalke 04,German 1. Bundesliga,Morocco,Right,High/Low,Lean (170-185),8100000,64,53,46,75,63,86,70,54,74,75,83,69,82,55,81,66,57,49,31,51,42,29,63,68,52,69,29,36,29,15,13,10,13,6
234986,P. Retsos,"CB, RB",72,85,4900000,15000,18,Bayer 04 Leverkusen,German 1. Bundesliga,Greece,Right,Low/High,Normal (185+),11500000,57,26,70,64,26,44,31,29,62,62,69,74,68,66,51,60,72,79,70,33,68,70,37,42,33,73,76,75,70,14,9,11,6,7
221896,D. Avdijaj,"CAM, LM, ST",72,80,4600000,20000,20,FC Schalke 04,German 1. Bundesliga,Kosovo,Right,Medium/Low,Normal (170-185),8800000,58,68,44,64,68,77,64,49,61,76,77,75,84,64,82,76,62,67,46,76,58,26,66,73,62,68,20,23,19,14,13,9,9,8
137449,J. Callsen-Bracker,CB,72,72,1800000,15000,32,FC Augsburg,German 1. Bundesliga,Germany,Right,Low/Medium,Normal (185+),3200000,48,27,79,68,35,42,35,57,66,62,34,36,36,71,44,68,65,34,72,75,76,67,34,57,76,66,73,72,71,12,7,11,11,11
