Id,Name,Position,Overall,Potential,Value,Wage,Age,Team,league_name,Nationality,preferred_foot,Work Rate,Body type,Release cause,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
238446,Tachi,CB,60,77,400000,3000,19,Atlético de Madrid,Spain Primera Division,Spain,Right,Low/High,Normal (170-185),1100000,33,26,73,58,32,40,30,28,41,57,63,68,40,41,64,41,67,59,59,25,48,59,23,31,30,52,46,66,62,11,12,13,15,8
219730,Cristian,"CB, CDM",62,74,475000,3000,22,SD Eibar,Spain Primera Division,Spain,Right,Low/High,Lean (185+),1100000,28,18,65,57,32,38,33,26,50,55,35,42,45,61,45,53,62,63,77,24,68,54,23,30,38,62,56,65,57,15,8,15,12,8
231212,E. Rolón,CDM,64,77,775000,6000,22,Málaga CF,Spain Primera Division,Argentina,Right,Low/Medium,Normal (170-185),2100000,45,42,55,64,51,55,42,55,64,70,65,64,61,64,68,64,65,75,64,55,66,51,55,63,53,66,59,63,58,15,8,15,10,11
204992,M. Kone,ST,69,74,1400000,15000,25,CD Leganés,Spain Primera Division,Côte d'Ivoire,Right,High/Low,Lean (170-185),3100000,51,69,51,60,54,72,47,56,40,70,77,79,82,63,76,77,75,64,71,60,68,26,71,57,57,60,16,30,12,10,11,13,10,11
231640,Javi Ontiveros,"RM, LM",71,84,4400000,10000,19,Málaga CF,Spain Primera Division,Spain,Right,Medium/Low,Normal (170-185),12100000,69,68,32,76,37,75,70,61,67,74,74,71,76,63,89,72,41,56,33,71,35,23,62,64,68,66,24,25,23,6,8,6,11,12
155984,Markel Bergara,"CM, CDM",72,72,2700000,15000,31,Getafe CF,Spain Primera Division,Spain,Right,Low/High,Normal (170-185),,58,65,62,77,47,58,60,71,76,63,65,36,60,76,68,61,69,69,81,66,80,79,59,76,59,63,69,82,71,11,15,11,15,16
190094,Javi Castellano,"CDM, CM",73,73,3100000,20000,29,Unión Deportiva Las Palmas,Spain Primera Division,Spain,Right,Low/High,Normal (170-185),6500000,49,34,66,77,33,46,43,40,72,67,60,53,62,59,53,52,54,70,73,44,77,76,39,65,44,62,71,75,69,11,10,16,8,12
219145,G. Maripán,CB,74,78,6000000,20000,23,Deportivo Alavés,Spain Primera Division,Chile,Right,Low/High,Normal (185+),13100000,41,28,74,66,31,40,29,27,51,57,53,54,32,75,33,56,67,59,90,24,75,64,28,30,20,70,76,77,70,7,12,7,16,12
214639,Postigo,CB,74,75,5000000,20000,28,Levante Unión Deportiva,Spain Primera Division,Spain,Right,Low/Medium,Normal (185+),11400000,28,46,69,64,42,48,30,26,58,59,61,64,55,67,50,60,78,62,83,34,78,73,30,29,40,65,77,74,74,13,13,7,7,10
204874,A. Katai,"RM, LM",74,75,6500000,20000,26,Deportivo Alavés,Spain Primera Division,Serbia,Right,Medium/Low,Normal (170-185),14100000,71,77,61,74,65,81,81,68,70,77,69,61,67,72,73,73,66,65,68,72,51,35,74,73,72,82,24,42,36,8,10,16,12,7
192715,Juanpe,CB,74,78,6000000,20000,26,Girona FC,Spain Primera Division,Spain,Right,Low/High,Normal (185+),13700000,35,35,77,69,13,38,28,35,60,63,49,67,33,55,36,48,70,73,79,27,79,70,32,54,37,65,73,77,72,11,8,11,8,13
188554,Dani Pacheco,LM,74,75,6500000,20000,26,Getafe CF,Spain Primera Division,Spain,Right,High/Low,Normal (170-),14800000,63,69,47,74,62,80,83,80,71,82,75,74,88,70,90,59,78,74,58,68,48,33,61,72,69,61,26,28,23,12,8,10,13,12
183068,C. Beauvue,"ST, RW",74,74,5500000,30000,29,CD Leganés,Spain Primera Division,France,Right,Medium/Low,Lean (170-185),,72,71,87,71,83,72,59,71,61,73,72,69,81,63,75,81,78,48,62,64,54,43,70,64,70,61,36,45,21,16,15,8,15,13
166074,Bebé,"LM, RM",74,74,6000000,20000,26,SD Eibar,Spain Primera Division,Portugal,Right,Medium/Low,Normal (185+),12600000,73,69,57,70,69,78,67,73,64,75,76,89,70,72,59,88,65,73,85,70,72,33,70,66,65,67,18,28,20,15,7,8,7,11
164852,Bruno Gama,"RM, CAM, LM",74,74,5500000,20000,29,Deportivo de La Coruña,Spain Primera Division,Portugal,Right,Medium/Low,Normal (170-185),11600000,81,65,46,73,66,78,83,76,78,74,76,71,77,71,69,65,59,65,57,75,58,42,74,61,71,76,35,46,38,15,13,9,10,9
219808,Tana,"RM, CM, CAM, LM",75,76,8000000,20000,26,Unión Deportiva Las Palmas,Spain Primera Division,Spain,Right,High/Low,Stocky (170-),17400000,64,74,28,77,56,82,66,59,68,75,71,67,78,70,87,65,51,65,51,62,26,15,77,78,64,65,17,20,15,7,11,7,8,14
215644,Burgui,"LM, CAM, RM",75,80,9000000,20000,23,Deportivo Alavés,Spain Primera Division,Spain,Right,Medium/Low,Lean (170-185),19600000,74,69,55,74,52,77,76,64,59,77,76,80,68,72,64,65,58,81,61,66,33,38,75,69,59,69,24,28,21,6,8,10,12,10
183526,N. El Zhar,"RM, CAM, LM",75,75,6500000,20000,30,CD Leganés,Spain Primera Division,Morocco,Right,Medium/Low,Normal (170-185),13700000,74,72,49,73,59,81,75,58,60,74,78,71,84,73,76,81,62,68,60,71,58,37,72,74,72,65,23,38,36,7,10,16,8,13
178746,Miguel Torres,"LB, CB, RB",75,75,4400000,20000,31,Málaga CF,Spain Primera Division,Spain,Right,Low/High,Normal (185+),9200000,71,22,68,70,30,57,56,58,59,74,58,59,57,73,63,56,70,71,76,47,75,79,44,56,36,67,78,81,80,10,13,8,13,10
225161,Vallejo,CB,77,85,11500000,90000,20,Real Madrid CF,Spain Primera Division,Spain,Right,Low/High,Lean (170-185),25900000,41,44,74,76,36,56,29,31,75,67,69,77,69,75,69,49,77,66,69,31,74,80,32,33,45,76,80,78,80,10,13,15,13,6
202087,J. Geis,"CDM, CM",77,80,9500000,15000,23,Sevilla FC,Spain Primera Division,Germany,Right,Low/Medium,Normal (170-185),,86,51,65,77,64,64,90,80,85,75,53,43,67,76,74,90,78,79,76,75,76,74,69,78,75,74,73,75,72,15,15,14,16,8
200315,Cristian Tello,"RM, LM, RW, LW",77,78,10500000,30000,25,Real Betis Balompié,Spain Primera Division,Spain,Right,Medium/Low,Lean (170-185),22800000,74,68,47,74,66,82,72,64,60,82,90,90,83,68,75,78,72,75,54,68,48,26,72,69,56,66,20,30,26,15,12,9,7,13
198198,Jordi Amat,CB,77,83,10500000,20000,25,Real Betis Balompié,Spain Primera Division,Spain,Right,Low/High,Normal (185+),,31,34,74,68,28,50,40,36,52,65,63,72,59,70,58,75,78,66,79,65,82,71,30,59,28,69,78,77,80,9,6,7,16,8
186537,C. Stuani,"ST, RM",77,77,8500000,30000,30,Girona FC,Spain Primera Division,Uruguay,Right,Medium/Low,Normal (170-185),18700000,68,76,79,69,73,71,66,57,59,72,70,68,66,81,63,79,83,83,77,69,77,36,80,69,80,77,39,49,42,16,14,9,16,8
45595,D. Bonera,CB,77,77,1200000,20000,36,Villarreal CF,Spain Primera Division,Italy,Right,Low/High,Normal (170-185),2500000,58,23,74,56,19,41,38,29,61,51,36,33,38,69,52,60,76,34,79,53,83,81,27,41,49,79,81,81,78,3,3,3,3,3
