Id,Name,Position,Overall,Potential,Value,Wage,Age,Team,league_name,Nationality,preferred_foot,Work Rate,Body type,Release cause,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
220230,P. Bochniewicz,CB,56,69,150000,3000,21,Udinese Calcio,Italian Serie A,Poland,Right,Low/High,Lean (185+),388000,29,19,53,49,24,37,31,25,44,49,34,36,34,47,55,34,63,57,62,26,59,52,23,39,30,58,55,58,56,5,12,7,6,13
229582,G. Mancini,CB,60,68,275000,3000,21,Atalanta,Italian Serie A,Italy,Right,Low/Medium,Lean (185+),513000,35,25,56,44,36,36,38,34,36,41,50,53,34,54,54,51,71,43,57,29,47,64,33,38,47,52,61,65,67,13,12,8,6,8
240661,E. Vignato,CAM,61,80,500000,2000,16,Chievo Verona,Italian Serie A,Italy,Right,Medium/Low,Lean (170-185),1200000,60,40,40,68,57,69,67,57,62,69,69,65,69,54,69,52,53,59,33,46,13,11,49,52,58,52,28,22,30,9,12,15,14,6
240277,M. Gabbia,CB,61,76,450000,7000,17,AC Milan,Italian Serie A,Italy,Right,Low/High,Lean (185+),1000000,36,22,59,39,32,47,41,28,37,48,62,66,48,44,52,52,69,48,68,41,42,52,23,31,42,56,69,69,63,11,5,12,14,14
241014,N. Garmendia,"CAM, LW",63,76,700000,3000,19,Udinese Calcio,Italian Serie A,Spain,Right,High/Low,Normal (170-185),1700000,52,57,44,58,53,74,61,49,56,74,58,67,59,63,75,64,50,40,47,47,50,29,46,62,63,68,49,43,48,12,10,12,8,8
230740,Leandrinho,CAM,65,84,1100000,9000,18,Napoli,Italian Serie A,Brazil,Right,Medium/Low,Lean (170-185),2600000,40,62,56,49,39,75,44,33,40,70,82,75,86,72,80,57,63,66,39,53,29,11,64,60,70,69,21,15,13,13,6,10,14,15
208593,N. Jaadi,"RW, LW, LM",65,73,800000,7000,21,Udinese Calcio,Italian Serie A,Morocco,Right,High/Low,Normal (170-185),1600000,68,57,38,62,44,74,43,46,54,69,73,67,80,57,75,55,65,32,42,50,43,30,55,65,41,59,25,30,28,9,9,8,12,14
221168,D. Kownacki,ST,68,81,1700000,15000,20,U.C. Sampdoria,Italian Serie A,Poland,Right,Medium/Low,Normal (185+),4100000,54,70,63,64,55,67,52,32,59,66,79,73,73,59,62,68,67,77,67,53,59,42,68,64,72,65,17,13,17,15,13,9,9,11
219496,Simy,ST,68,71,1100000,9000,25,Crotone,Italian Serie A,Nigeria,Right,Medium/Low,Lean (185+),2100000,28,71,76,53,72,58,45,34,35,57,55,33,46,70,37,74,39,54,82,64,79,21,74,46,61,70,25,28,22,16,10,11,10,15
215433,F. Vicari,CB,68,76,1100000,8000,22,SPAL,Italian Serie A,Italy,Right,Low/High,Normal (185+),2300000,32,21,63,53,30,36,23,28,52,52,34,50,45,55,42,43,72,65,82,21,65,60,24,34,35,42,73,75,69,16,11,7,10,13
203458,A. Ajeti,CB,68,72,975000,7000,23,Crotone,Italian Serie A,Albania,Right,Low/Medium,Normal (170-185),,50,21,68,54,40,42,43,41,52,53,69,70,69,61,47,52,78,60,78,34,64,67,31,46,45,60,69,68,65,11,10,8,11,12
235874,A. Bali?,CAM,69,77,1500000,9000,19,Udinese Calcio,Italian Serie A,Croatia,Right,High/Low,Lean (170-185),3000000,68,59,44,75,62,71,61,60,72,76,64,50,68,64,67,62,52,67,52,55,45,31,64,67,45,60,42,47,51,5,6,14,11,12
216665,M. Cremonesi,CB,69,69,825000,9000,29,SPAL,Italian Serie A,Italy,Right,Low/High,Normal (170-185),1500000,24,23,68,59,34,45,28,29,61,56,55,38,34,63,62,54,75,60,70,48,62,64,11,11,26,61,71,75,72,6,7,14,9,13
203327,A. Galabinov,ST,70,70,1800000,20000,28,Genoa,Italian Serie A,Bulgaria,Right,High/Low,Stocky (185+),3100000,50,72,68,65,64,65,64,76,50,67,55,55,44,68,33,70,63,74,90,70,52,12,74,52,64,66,11,15,11,9,5,7,11,14
192071,M. D'Alessandro,"RM, RW",70,71,2100000,20000,26,Benevento,Italian Serie A,Italy,Right,High/Low,Lean (170-185),,65,58,44,66,63,71,57,50,55,73,88,90,89,60,86,68,43,79,46,63,38,21,61,60,58,74,22,22,23,14,11,11,6,9
179605,A. Taarabt,"LM, RM, CAM",70,70,1800000,20000,28,Genoa,Italian Serie A,Morocco,Right,Medium/Low,Normal (185+),,70,64,36,68,77,85,80,71,54,82,68,64,73,64,78,74,39,30,68,70,59,39,66,68,70,77,29,32,25,4,6,4,4,6
235290,K. Bonifazi,CB,71,82,3600000,20000,21,Torino F.C.,Italian Serie A,Italy,Right,Low/High,Normal (185+),6800000,34,30,61,56,36,44,29,34,36,59,62,66,49,62,65,43,72,61,68,30,70,69,33,37,44,62,74,78,74,8,8,7,14,6
185144,M. Coda,ST,71,71,2400000,20000,28,Benevento,Italian Serie A,Italy,Right,High/Low,Stocky (170-185),4400000,39,77,70,65,60,64,55,65,39,70,66,58,60,69,61,70,34,56,72,70,48,26,73,37,65,72,17,17,16,15,10,7,11,16
178430,N. Frey,RB,72,72,1200000,10000,33,Chievo Verona,Italian Serie A,France,Right,Low/Medium,Lean (170-185),2000000,60,24,72,60,40,56,54,43,60,60,60,68,60,73,62,68,78,68,77,43,73,77,49,35,41,77,77,80,81,10,12,7,10,14
159284,R. Palladino,"LW, RW, ST",72,72,1900000,20000,33,Genoa,Italian Serie A,Italy,Right,High/Low,Lean (170-185),3200000,60,62,59,70,65,80,77,65,45,80,72,75,78,69,66,59,38,60,58,63,33,19,72,73,72,70,11,15,15,13,14,9,15,15
221331,L. Mazzitelli,"CDM, CM",73,80,4800000,30000,21,U.S. Sassuolo Calcio,Italian Serie A,Italy,Right,Low/Medium,Normal (170-185),9200000,68,40,60,78,65,71,66,45,76,77,66,65,61,71,68,73,61,69,64,72,71,70,65,75,44,67,64,70,68,12,7,8,8,10
205363,M. Bianchetti,CB,73,76,4300000,20000,24,Hellas Verona,Italian Serie A,Italy,Right,Low/High,Normal (185+),8000000,32,21,69,50,19,40,31,36,52,52,46,69,65,70,48,69,70,67,79,41,74,74,21,25,39,68,74,76,72,7,10,5,5,10
202848,G. Caprari,"CF, ST, CAM",73,80,5500000,30000,23,U.C. Sampdoria,Italian Serie A,Italy,Right,Medium/Low,Normal (170-185),10500000,68,66,47,72,67,80,72,65,62,76,91,85,91,68,89,68,33,76,52,68,30,15,68,75,56,68,15,13,12,9,8,14,6,11
149571,S. Pellissier,ST,73,73,1200000,15000,38,Chievo Verona,Italian Serie A,Italy,Right,Medium/Low,Normal (170-185),2400000,64,78,60,68,75,69,74,60,44,79,34,50,58,75,78,82,66,54,53,78,45,24,83,69,76,80,24,28,24,14,12,6,5,5
212616,R. De Paul,"RW, CAM, LM",74,82,8500000,20000,23,Udinese Calcio,Italian Serie A,Argentina,Right,High/Low,Normal (170-185),17000000,76,67,43,78,47,81,80,60,71,79,70,69,76,66,69,78,58,63,66,77,56,28,64,70,56,66,38,46,43,13,12,10,7,14
193881,F. ?uri?i?,"CAM, LW",74,77,7000000,30000,25,U.C. Sampdoria,Italian Serie A,Serbia,Right,Medium/Low,Lean (170-185),12400000,65,64,50,74,69,78,76,69,67,78,76,76,78,73,78,67,73,64,61,63,45,38,67,75,69,71,24,35,43,8,8,9,15,8
138806,M. López,ST,74,74,3500000,30000,33,Udinese Calcio,Italian Serie A,Argentina,Right,Medium/Low,Stocky (185+),6400000,54,79,78,70,74,72,70,56,48,76,48,38,53,70,53,76,63,41,84,60,63,20,81,65,73,75,15,21,15,14,14,10,9,9
169386,S. Floccari,ST,75,75,3100000,15000,35,SPAL,Italian Serie A,Italy,Right,Medium/Low,Normal (170-185),5500000,56,81,76,68,66,72,66,60,48,74,64,68,67,68,70,76,83,68,75,68,48,20,79,60,72,76,16,20,16,8,11,15,10,6
