Id,Name,Team,Nationality,Position,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work Rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
243932,D. Philipp,SV Werder Bremen,Germany,"CAM, RM",58,76,250000,2000,18,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),605000,45,60,40,54,50,64,62,57,51,56,67,65,65,57,66,53,65,62,53,53,46,26,53,54,42,57,48,27,24,14,13,7,15,8
239332,T. Baller,Hannover 96,Germany,"CAM, RM, LM",58,73,275000,2000,19,German 1. Bundesliga,Right,High/Low,Lean (170-185),655000,52,51,38,54,55,66,53,48,51,62,69,65,75,50,77,48,34,47,40,47,35,23,48,56,50,49,26,32,24,13,5,11,7,6
244707,E. Celebi,1. FC Nürnberg,Germany,CB,59,74,300000,2000,18,German 1. Bundesliga,Right,Low/Medium,Normal (170-185),703000,39,26,63,49,30,41,32,24,44,43,51,55,41,46,65,39,74,54,55,28,48,57,22,31,31,44,52,67,65,9,14,9,15,12
234399,J. Eggestein,SV Werder Bremen,Germany,"ST, RW",66,80,1400000,7000,20,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),3300000,48,69,65,61,54,64,58,42,57,67,68,67,73,66,67,64,63,54,53,59,34,36,64,62,65,63,55,24,20,14,10,8,7,15
229154,J. Kliment,VfB Stuttgart,Czech Republic,ST,67,72,1000000,10000,24,German 1. Bundesliga,Right,Medium/Low,Lean (185+),1800000,64,63,65,64,62,67,59,49,51,68,68,79,69,65,68,68,77,64,67,55,39,32,63,60,55,63,25,28,21,14,10,12,10,10
220708,B. Borrello,Sport-Club Freiburg,Australia,"RM, LM",67,73,1000000,7000,22,German 1. Bundesliga,Right,High/Low,Normal (170-185),2100000,66,65,39,60,61,69,65,34,37,66,82,85,83,59,76,70,57,67,71,67,59,21,66,63,57,60,20,17,19,13,16,11,6,10
187915,E. Kujovi?,Fortuna Düsseldorf,Sweden,ST,67,67,725000,10000,30,German 1. Bundesliga,Right,Low/Low,Normal (185+),1300000,33,69,76,60,69,58,66,70,54,65,39,36,34,59,32,74,42,50,90,67,54,21,70,47,69,68,24,34,15,16,13,13,9,9
192567,M. Zimmermann,Fortuna Düsseldorf,Germany,"CDM, RB, CM",68,72,950000,10000,26,German 1. Bundesliga,Right,Low/High,Lean (170-185),1800000,58,46,54,66,55,65,55,29,55,69,74,66,68,69,75,62,69,70,69,62,75,68,39,60,44,66,68,70,69,8,13,11,12,13
233785,R. Bormuth,Fortuna Düsseldorf,Germany,CB,69,77,1300000,10000,22,German 1. Bundesliga,Right,Low/Medium,Normal (185+),2700000,20,21,66,43,22,39,60,28,51,56,68,73,55,67,61,37,81,60,83,22,62,67,26,39,31,62,70,71,66,15,10,14,8,5
221885,P. Seguin,VfL Wolfsburg,Germany,"RB, CDM",69,76,1200000,15000,23,German 1. Bundesliga,Right,Low/Medium,Lean (185+),2400000,56,44,66,73,46,64,44,43,70,67,66,65,65,72,63,62,67,76,75,51,67,68,50,60,45,67,69,72,69,14,11,6,15,8
204939,O. Petrák,1. FC Nürnberg,Czech Republic,CDM,69,73,1100000,10000,26,German 1. Bundesliga,Right,Low/Medium,Lean (185+),2100000,60,30,71,68,29,63,57,24,68,67,74,75,66,63,60,48,76,73,75,65,55,74,40,67,30,70,69,69,64,12,13,7,13,11
177129,A. Bodzek,Fortuna Düsseldorf,Poland,"CDM, CB",69,69,600000,10000,32,German 1. Bundesliga,Right,Low/High,Normal (170-185),1100000,49,48,63,65,54,57,61,59,63,62,47,38,59,68,62,66,80,75,76,59,71,71,44,59,55,70,69,74,70,11,15,15,8,10
137449,J. Callsen-Bracker,FC Augsburg,Germany,CB,71,71,950000,15000,33,German 1. Bundesliga,Right,Low/Medium,Normal (185+),1600000,48,27,78,68,35,40,35,57,66,60,34,33,35,68,42,68,64,33,72,73,76,67,31,57,76,66,72,71,71,12,7,11,11,11
211061,A. Maxim,1. FSV Mainz 05,Romania,"CAM, CM, LM",73,73,4200000,20000,27,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),7100000,70,63,40,70,72,80,81,72,70,74,75,71,87,70,78,68,52,61,49,70,48,43,67,74,72,68,27,30,23,14,8,9,9,10
201016,O. Sorg,Hannover 96,Germany,"RB, CB",73,73,3200000,20000,28,German 1. Bundesliga,Right,Low/Medium,Normal (170-185),5700000,68,40,58,72,61,68,59,50,62,72,75,74,77,70,79,79,63,74,64,65,76,73,49,60,51,68,76,75,74,11,10,7,8,13
175962,N. Bungert,1. FSV Mainz 05,Germany,CB,73,73,2700000,20000,31,German 1. Bundesliga,Right,Low/Medium,Lean (185+),4600000,42,35,76,68,36,44,30,48,60,55,42,45,53,74,57,59,68,32,68,33,60,75,35,37,42,73,78,77,74,10,8,12,16,8
191388,T. Usami,Fortuna Düsseldorf,Japan,"RM, LM",74,75,6500000,30000,26,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),,69,71,41,71,70,80,75,60,68,75,78,76,79,65,79,80,33,67,41,75,30,34,72,71,59,72,28,27,21,9,11,9,6,7
25420,C. Pizarro,SV Werder Bremen,Peru,ST,74,74,1600000,20000,39,German 1. Bundesliga,Right,Medium/Low,Normal (170-185),2800000,62,78,76,75,73,76,76,65,74,78,38,34,65,77,54,75,64,50,78,70,68,33,81,78,81,86,36,33,24,8,7,11,11,14
202087,J. Geis,FC Schalke 04,Germany,"CDM, CB, CM",75,78,7000000,20000,24,German 1. Bundesliga,Right,Low/High,Normal (170-185),12400000,86,51,65,77,64,59,90,80,79,69,44,42,67,70,73,85,79,65,76,69,75,77,69,76,69,69,70,76,71,15,15,14,16,8
228650,Francisco Geraldes,Eintracht Frankfurt,Portugal,CAM,76,83,11000000,30000,23,German 1. Bundesliga,Right,High/Low,Normal (170-185),,68,55,47,73,65,84,73,72,69,82,78,75,86,78,76,64,57,73,44,57,57,29,73,78,60,77,52,43,42,10,14,9,7,14
201533,P. Ntep,VfL Wolfsburg,France,"LM, LW, ST",77,78,10500000,40000,25,German 1. Bundesliga,Right,Medium/Low,Stocky (170-185),18600000,72,69,43,74,69,83,74,69,66,80,86,85,85,75,75,77,49,72,73,71,73,28,71,66,70,70,32,25,15,15,9,9,8,6
162369,V. Ibiševi?,Hertha BSC,Bosnia and Herzegovina,ST,77,77,5500000,30000,33,German 1. Bundesliga,Right,Medium/Low,Normal (185+),9400000,65,80,79,77,84,72,73,56,47,76,41,44,60,83,59,81,71,51,77,66,83,30,82,71,83,79,59,29,22,16,12,13,14,16
210324,J. Hofmann,Borussia Mönchengladbach,Germany,"RM, LM, CM",78,79,12500000,30000,25,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),22200000,81,69,40,79,62,79,69,71,69,77,78,78,78,75,77,67,61,71,56,63,43,47,75,76,70,68,49,33,30,6,6,10,10,10
198200,B. Stambouli,FC Schalke 04,France,"CB, CDM",78,79,10000000,30000,27,German 1. Bundesliga,Right,Low/High,Normal (170-185),17800000,45,50,72,77,40,66,42,43,76,76,65,64,71,78,65,65,73,76,76,62,78,81,60,73,50,74,81,80,75,8,13,11,15,15
158232,S. Kalou,Hertha BSC,Côte d'Ivoire,"LM, ST",79,79,10000000,30000,32,German 1. Bundesliga,Right,Medium/Low,Lean (185+),17000000,69,84,77,78,78,87,75,62,68,85,67,65,76,82,76,76,76,64,67,67,35,32,83,76,84,81,55,33,27,8,9,14,7,6
213345,K. Coman,FC Bayern München,France,"LM, RM, LW, RW",83,87,34000000,90000,22,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),58700000,81,76,52,77,77,88,84,70,63,83,95,93,87,81,84,77,75,76,61,73,36,23,79,75,70,75,29,17,15,5,3,5,3,5
212622,J. Kimmich,FC Bayern München,Germany,"RB, CM, CB, CDM",85,88,40500000,90000,23,German 1. Bundesliga,Right,High/Low,Lean (170-185),69900000,90,66,74,85,61,80,81,61,80,85,78,69,84,85,83,75,79,85,65,69,74,79,80,79,44,82,72,81,79,8,15,7,15,15
224949,J. Dilrosun,Hertha BSC,Netherlands,"LM, RM, CAM",61,77,550000,4000,20,German 1. Bundesliga,Left,Medium/Low,Normal (170-185),1300000,58,57,32,56,44,66,43,49,45,63,82,78,78,46,74,56,40,47,57,42,35,28,52,55,60,47,62,30,27,8,15,11,7,11
238271,P. Dárdai,Hertha BSC,Germany,LM,62,77,650000,3000,19,German 1. Bundesliga,Left,Medium/Low,Lean (170-185),1500000,64,62,34,54,47,70,42,35,43,67,76,68,77,56,73,62,56,53,34,57,42,21,54,53,47,51,58,45,34,11,13,8,11,11
233728,M. Doucouré,Borussia Mönchengladbach,France,CB,62,79,600000,3000,20,German 1. Bundesliga,Left,Medium/Low,Normal (170-185),1400000,32,21,56,48,31,32,30,35,41,52,65,66,64,58,67,56,74,53,68,28,63,56,29,32,44,45,62,63,61,12,7,6,9,6
223271,S. Kurt,Hertha BSC,Germany,"LM, CAM, CF",62,68,425000,4000,21,German 1. Bundesliga,Left,Medium/Low,Lean (170-185),808000,58,54,39,61,55,74,52,55,48,73,69,64,77,65,76,43,62,34,34,49,29,23,51,53,46,46,58,19,22,9,12,14,13,14
201526,U. Bech,Hannover 96,Denmark,"RM, ST, LM",69,71,1300000,15000,25,German 1. Bundesliga,Left,High/Low,Stocky (170-),2400000,67,70,54,63,58,72,61,43,57,72,77,77,79,65,84,64,77,67,63,67,40,18,65,58,48,67,30,16,14,9,14,6,12,8
231416,D. Lukebakio,Fortuna Düsseldorf,Congo DR,RM,70,80,2900000,10000,20,German 1. Bundesliga,Left,Medium/Low,Normal (185+),,67,58,26,65,61,78,67,66,63,74,79,78,77,66,70,66,69,58,63,68,28,23,61,63,45,68,27,21,23,9,7,14,11,12
212249,S. Kerk,1. FC Nürnberg,Germany,"LM, RM",70,76,2400000,10000,24,German 1. Bundesliga,Left,Medium/Low,Normal (170-185),4900000,80,62,48,70,63,73,77,76,63,73,65,67,66,64,66,80,60,53,64,70,40,31,70,69,66,54,38,27,32,14,7,7,7,12
