Id,Name,Team,Nationality,Position,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work Rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
244407,Pol Lozano,RCD Espanyol de Barcelona,Spain,CM,56,74,180000,2000,18,Spain Primera Division,Right,Medium/Low,Normal (170-185),491000,39,37,37,64,41,52,42,38,58,63,60,63,57,51,74,44,58,49,45,40,42,25,49,64,49,61,50,40,49,8,7,8,11,14
238446,Tachi,Atlético de Madrid,Spain,CB,63,80,725000,6000,20,Spain Primera Division,Right,Low/High,Normal (170-185),1900000,33,26,73,58,32,40,30,28,41,57,60,65,35,43,64,41,67,55,59,25,48,59,23,31,30,52,68,66,62,11,12,13,15,8
243995,E. Lomotey,Villarreal CF,Ghana,"CDM, CB",64,76,725000,5000,20,Spain Primera Division,Right,Low/High,Normal (185+),,45,38,67,63,41,51,48,43,59,58,61,55,58,64,49,60,62,69,75,41,72,62,37,42,48,46,61,69,63,10,14,6,6,14
240997,Kike,Rayo Vallecano,Spain,"CB, CDM",65,67,525000,5000,27,Spain Primera Division,Right,Low/High,Lean (185+),1200000,29,21,63,40,33,33,35,33,35,42,67,54,44,51,46,42,76,53,69,30,53,61,33,37,46,48,71,72,71,14,10,10,12,15
240859,Berrocal,Sevilla FC,Spain,CB,66,80,1200000,2000,18,Spain Primera Division,Right,Low/Medium,Normal (170-185),3300000,31,24,65,62,34,39,31,35,56,56,63,62,63,60,68,54,73,71,65,37,65,68,33,41,49,54,62,69,66,11,12,12,11,11
235983,Alex Pozo,Sevilla FC,Spain,"RM, LM, ST, CAM",66,75,975000,3000,19,Spain Primera Division,Right,High/Low,Normal (170-185),2200000,65,65,61,67,64,67,59,52,63,70,75,72,82,55,82,62,64,62,43,70,31,17,58,59,58,55,23,26,20,10,13,7,12,15
244622,Puado,RCD Espanyol de Barcelona,Spain,"ST, LM, CAM",67,75,1100000,8000,20,Spain Primera Division,Right,Medium/Low,Normal (170-185),2600000,34,69,66,69,55,72,36,32,51,71,63,62,60,68,73,60,65,63,61,58,39,24,63,52,57,51,32,18,20,8,9,11,8,13
242816,Riqui Puig,FC Barcelona,Spain,CM,68,88,1800000,20000,18,Spain Primera Division,Right,Medium/Low,Normal (170-),5600000,60,58,49,76,56,67,57,51,74,73,63,66,67,66,65,60,56,53,43,49,44,45,55,77,55,64,53,57,53,12,15,14,12,9
229865,Óscar Pinchi,Atlético de Madrid,Spain,"LM, ST",68,79,1500000,15000,22,Spain Primera Division,Right,Medium/Low,Normal (170-185),3400000,69,72,44,68,55,71,61,44,63,73,73,70,73,55,80,65,55,48,51,70,39,44,61,59,47,63,50,39,34,5,12,6,12,13
203528,A. Bangoura,Rayo Vallecano,Guinea,"RM, LM",68,69,1100000,8000,26,Spain Primera Division,Right,Medium/Low,Lean (170-185),2400000,65,62,46,63,58,71,41,45,60,69,87,87,89,54,76,75,72,60,60,57,63,35,64,63,50,59,40,17,21,11,7,7,8,6
216479,A. Sadiku,Levante Unión Deportiva,Albania,ST,69,70,1200000,10000,27,Spain Primera Division,Right,Medium/Low,Normal (185+),2700000,39,68,65,63,51,64,54,31,41,72,66,72,60,66,55,73,65,53,77,64,58,39,70,46,63,63,45,37,24,9,15,9,11,7
142454,Verza,Levante Unión Deportiva,Spain,"CDM, CM",71,71,1600000,15000,31,Spain Primera Division,Right,Low/Medium,Normal (170-185),3400000,71,61,49,76,62,62,83,81,79,74,36,40,57,62,67,80,50,58,68,73,71,67,59,72,83,75,68,68,62,13,10,16,16,7
