Id,Name,Team,Nationality,Position,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work Rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
240737,N. Pejovi?,Empoli,Serbia,CB,56,76,180000,1000,19,Italian Serie A,Right,Low/High,Normal (185+),504000,22,18,48,31,31,28,26,28,26,30,55,56,46,48,59,38,71,63,57,23,45,60,29,31,42,43,59,65,55,15,5,6,9,13
215924,A. Varga,U.C. Sampdoria,Slovakia,CB,57,63,120000,4000,22,Italian Serie A,Right,Low/Medium,Lean (185+),228000,30,20,52,54,23,31,26,24,45,52,51,50,52,48,57,33,70,51,67,21,53,52,27,41,40,39,53,59,58,13,6,14,16,11
240661,E. Vignato,Chievo Verona,Italy,CAM,61,80,500000,2000,17,Italian Serie A,Right,Medium/Low,Lean (170-185),1200000,60,40,40,68,57,69,67,57,62,69,68,55,69,54,69,52,53,53,33,46,13,11,49,52,58,52,43,22,30,9,12,15,14,6
239821,L. Matarese,Frosinone,Italy,LM,61,73,450000,3000,20,Italian Serie A,Right,High/Low,Normal (170-185),900000,58,57,43,60,50,68,51,40,47,67,69,67,76,54,86,64,47,34,42,49,39,25,58,55,50,57,17,28,22,15,6,5,12,11
245461,F. Colidio,Inter,Argentina,ST,63,84,850000,6000,18,Italian Serie A,Right,High/Low,Lean (170-185),2300000,40,70,69,53,42,63,49,34,43,66,68,55,58,62,72,60,67,49,41,61,34,19,62,54,66,55,21,21,16,6,9,13,12,12
238067,N. Zaniolo,Roma,Italy,CAM,64,82,925000,6000,18,Italian Serie A,Right,High/Low,Lean (185+),2200000,39,57,59,66,39,64,54,51,60,68,64,62,46,63,62,59,46,71,61,50,60,54,62,67,49,58,56,46,40,8,11,11,13,5
244684,V. Damascan,Torino F.C.,Moldova,ST,65,79,1200000,6000,19,Italian Serie A,Right,High/Low,Normal (170-185),2700000,51,68,62,57,55,58,42,67,49,63,72,71,59,62,68,61,66,61,55,65,51,12,67,62,61,62,20,16,14,8,13,8,14,11
241014,N. Garmendia,Udinese Calcio,Spain,"CAM, LW",65,76,925000,5000,20,Italian Serie A,Right,High/Low,Normal (170-185),1900000,52,57,44,62,53,74,69,49,59,74,75,69,69,63,75,64,50,33,47,47,50,29,46,62,58,68,62,43,48,12,10,12,8,8
245023,P. Micin,Udinese Calcio,Serbia,"RW, ST, LW",66,83,1400000,5000,19,Italian Serie A,Right,High/Low,Lean (185+),3300000,61,67,55,62,58,71,60,57,55,72,66,71,61,59,53,60,55,53,64,69,41,31,59,65,60,60,35,31,29,13,9,11,5,9
237594,L. Šimi?,SPAL,Croatia,CB,67,76,1000000,4000,21,Italian Serie A,Right,Low/High,Normal (185+),,38,30,72,52,34,39,35,37,43,46,52,51,38,60,52,47,70,54,77,24,58,62,33,32,40,64,66,70,70,11,10,9,7,9
