Id,Name,Team,Position,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
200389,J. Oblak,Atlético de Madrid,GK,91,93,77500000,125000,26,Spain Primera Division,Slovenia,Right,Medium/Medium,Normal (185+),164700000,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,89
192448,M. ter Stegen,FC Barcelona,GK,90,93,67500000,250000,27,Spain Primera Division,Germany,Right,Medium/Medium,Normal (185+),143400000,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90
212831,Alisson,Liverpool,GK,89,91,58000000,155000,26,English Premier League,Brazil,Right,Medium/Medium,Normal (185+),111700000,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89
162835,S. Handanovi?,Inter,GK,88,88,26000000,110000,34,Italian Serie A,Slovenia,Right,Medium/Medium,Normal (185+),44200000,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,88,85,69,89,89
167495,M. Neuer,FC Bayern München,GK,88,88,32000000,155000,33,German 1. Bundesliga,Germany,Right,Medium/Medium,Normal (185+),52800000,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,87,91,85,87
193041,K. Navas,Real Madrid CF,GK,87,87,30500000,190000,32,Spain Primera Division,Costa Rica,Right,Medium/Medium,Normal (185+),62500000,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
185122,P. Gulácsi,RB Leipzig,GK,85,86,31000000,69000,29,German 1. Bundesliga,Hungary,Right,Medium/Medium,Normal (185+),55000000,16,10,23,29,10,19,18,11,25,25,42,44,41,82,42,61,67,35,74,12,34,23,11,42,24,45,25,16,20,84,86,81,84,86
189117,R. Bürki,Borussia Dortmund,GK,85,86,32000000,90000,28,German 1. Bundesliga,Switzerland,Right,Medium/Medium,Normal (185+),55200000,15,8,17,37,13,12,13,12,24,23,44,54,49,83,52,56,74,36,74,14,35,18,10,50,20,58,11,13,16,86,80,74,83,89
230621,G. Donnarumma,AC Milan,GK,85,92,41500000,34000,20,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),78900000,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,56,72,34,72,18,30,26,14,50,24,68,20,14,16,90,80,74,80,90
168435,S. Sirigu,Torino F.C.,GK,84,84,19000000,54000,32,Italian Serie A,Italy,Right,Medium/Medium,Normal (185+),32300000,13,10,11,23,12,15,11,11,28,18,50,51,52,79,55,57,68,34,66,14,34,20,10,55,19,62,14,11,13,84,80,76,84,82
