Id,Name,Team,Position,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
240836,?. Çetin,Eintracht Frankfurt,"CDM, CM",59,79,300000,1000,18,German 1. Bundesliga,Germany,Right,High/Medium,Normal (170-185),810000,50,63,47,64,47,64,50,42,58,62,64,55,75,59,77,57,59,54,48,61,59,55,62,63,53,61,50,60,57,12,11,6,14,12
252544,M. Mercan,FC Schalke 04,"CM, CAM",60,80,425000,2000,18,German 1. Bundesliga,Germany,Right,High/Medium,Normal (170-185),1100000,49,51,53,66,50,63,58,55,65,62,68,60,67,57,74,82,51,48,46,66,44,45,51,58,60,58,47,52,52,15,14,11,8,7
251392,T. Krauß,RB Leipzig,"CM, CDM, CB",61,75,525000,3000,18,German 1. Bundesliga,Germany,Right,High/Medium,Normal (170-185),1200000,45,55,60,68,52,56,45,47,64,54,66,53,63,58,61,68,60,55,45,53,60,55,66,55,55,45,55,64,62,7,11,5,12,8
248820,Mateu Morey,Borussia Dortmund,RB,64,81,900000,7000,19,German 1. Bundesliga,Spain,Right,High/Medium,Normal (170-185),2000000,64,49,33,68,37,67,57,40,54,68,78,74,82,57,87,48,63,66,43,32,52,58,54,49,38,55,57,61,63,6,13,7,7,5
246845,K. Pröger,SC Paderborn 07,"RM, ST",69,69,1100000,11000,27,German 1. Bundesliga,Germany,Right,High/Medium,Normal (170-185),2000000,64,64,46,61,63,70,54,56,53,69,91,88,74,67,73,74,71,69,64,64,59,41,65,57,50,64,37,38,29,9,14,11,8,12
242041,M. Dräger,SC Paderborn 07,"RB, RM",70,77,2200000,11000,23,German 1. Bundesliga,Tunisia,Right,High/Medium,Normal (170-185),,65,57,62,63,58,67,52,48,54,68,86,86,80,70,76,62,49,69,56,63,70,66,59,56,63,54,63,67,66,12,9,8,9,10
229487,L. Klünter,Hertha BSC,"RB, CB",70,77,2200000,12000,23,German 1. Bundesliga,Germany,Right,High/Medium,Normal (170-185),4200000,65,60,62,66,25,66,38,29,55,68,86,88,71,66,65,49,60,72,63,25,60,67,44,43,49,59,66,69,65,10,5,12,14,6
216275,P. Mwene,1. FSV Mainz 05,"RB, RM, RWB",71,76,2800000,15000,25,German 1. Bundesliga,Austria,Right,High/Medium,Normal (170-185),4900000,70,44,37,67,34,69,53,46,53,68,83,76,83,64,91,50,72,91,52,39,59,65,57,48,42,64,65,64,74,12,9,11,9,7
235103,N. Ampomah,Fortuna Düsseldorf,"LM, ST",72,77,4200000,18000,23,German 1. Bundesliga,Ghana,Right,High/Medium,Normal (170-185),7800000,72,67,37,62,56,77,59,34,52,74,87,84,90,67,76,73,87,72,62,72,65,23,65,61,40,68,25,32,16,15,8,9,7,10
234787,B. Tekpetey,Fortuna Düsseldorf,"RM, ST, LM",72,80,4600000,16000,21,German 1. Bundesliga,Ghana,Right,High/Medium,Normal (170-185),,61,64,48,68,57,77,48,42,57,73,87,80,86,70,86,74,61,68,65,60,42,21,69,64,50,54,28,29,35,14,13,7,14,10
