Id,Name,Team,Position,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
248165,A. Ra?iu,Villarreal CF,RB,62,74,500000,3000,21,Spain Primera Division,Romania,Right,High/Medium,Normal (170-185),1200000,63,42,60,62,59,68,66,45,59,63,68,66,67,61,59,60,56,60,55,58,64,56,59,52,36,50,60,58,59,7,9,9,7,7
252324,Riquelme,Atlético de Madrid,"CF, CAM",63,81,800000,6000,19,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),2100000,49,62,46,62,57,63,49,44,55,64,68,64,66,62,76,58,55,59,47,59,58,41,65,61,55,60,37,39,38,9,10,8,9,12
246049,A. Lupu,Deportivo Alavés,ST,64,76,800000,5000,21,Spain Primera Division,Romania,Right,High/Medium,Normal (170-185),1900000,33,68,65,61,53,60,30,34,46,61,65,64,63,60,76,63,63,60,57,58,40,19,62,41,55,58,11,12,17,6,7,12,6,6
243080,Carlos Isaac,Atlético de Madrid,RB,64,76,725000,7000,21,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),1700000,58,26,62,60,22,55,30,35,31,59,60,66,41,63,63,26,44,67,66,28,49,62,45,37,34,45,67,64,63,6,8,10,12,5
240589,Miguel,Real Valladolid CF,ST,66,82,1400000,4000,19,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),3800000,40,67,62,57,54,63,46,39,43,64,75,75,73,64,68,68,73,66,70,55,53,15,65,49,65,58,38,24,22,12,11,9,13,7
243756,Fran Gámez,RCD Mallorca,RB,69,69,925000,11000,27,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),2000000,67,46,64,65,37,64,62,33,57,67,75,77,59,66,70,57,60,78,65,42,60,64,51,50,41,54,65,68,66,6,11,10,10,7
242336,Aguado,Real Valladolid CF,"CM, CAM, CDM",69,78,1600000,8000,23,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),3700000,55,61,53,74,68,68,65,49,70,72,61,56,75,65,78,58,58,64,35,65,44,55,59,73,52,63,42,62,55,12,12,8,6,11
220815,J. Narváez,Real Betis Balompié,"LM, CM, ST",69,75,1400000,9000,24,Spain Primera Division,Colombia,Right,High/Medium,Normal (170-185),3300000,62,69,67,71,60,72,44,42,69,70,72,75,66,63,70,63,66,63,70,70,38,58,65,60,59,50,65,61,52,10,12,12,11,14
209937,Quini,Granada CF,"LB, RB",69,69,875000,9000,29,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),1900000,71,62,62,69,51,69,70,52,56,71,71,75,72,66,76,59,55,68,61,59,59,65,63,42,58,62,60,67,69,14,13,7,14,9
235943,Rafa Navarro,Deportivo Alavés,"RB, RWB",70,75,2100000,11000,25,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),4500000,71,34,69,70,36,61,52,49,42,70,77,75,77,62,81,67,79,66,30,41,61,63,56,51,48,64,61,71,72,8,9,13,8,13
198631,Rodri,Granada CF,ST,71,71,2400000,15000,29,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),5200000,56,72,66,54,73,69,59,44,46,75,77,74,88,66,75,78,90,58,67,60,75,26,69,60,60,58,16,15,11,9,15,6,8,9
184990,Antoñito,Real Valladolid CF,"RB, RM",71,71,1700000,12000,31,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),3600000,72,62,54,67,62,67,63,59,49,68,84,78,82,68,80,64,76,81,62,55,72,68,65,60,49,62,65,63,69,12,15,9,8,13
239335,Óscar,CD Leganés,"CAM, CM",73,84,7000000,65000,21,Spain Primera Division,Spain,Right,High/Medium,Normal (170-185),,68,70,45,72,52,79,78,82,68,76,64,66,66,73,74,62,58,61,62,71,48,61,66,73,53,72,47,47,43,12,7,9,11,7
