Id,Name,Team,Position,Overall,Potential,Value,Wage,Age,league_name,Nationality,preferred_foot,Work rate,Body type,Release Cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
227892,R. Criscuolo,U.C. Sampdoria,CM,55,61,110000,4000,22,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),209000,40,44,41,64,45,59,48,48,65,56,62,55,58,53,71,57,51,65,54,34,43,23,44,56,46,58,45,21,33,7,13,12,16,14
225473,G. Sbrissa,U.S. Sassuolo Calcio,"CM, RM",61,71,400000,7000,22,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),800000,57,48,52,66,45,65,46,42,65,64,54,62,58,56,58,56,60,69,62,50,56,54,52,49,43,60,52,59,53,12,15,11,13,7
245977,K. Despodov,Cagliari,RW,63,71,550000,6000,22,Italian Serie A,Bulgaria,Right,High/Medium,Normal (170-185),1000000,50,65,48,59,49,66,55,38,32,65,77,70,72,60,71,79,59,60,57,60,54,18,65,46,52,69,21,26,24,10,12,10,5,13
241094,R. Rivas,Inter,"RM, RW",64,73,700000,9000,20,Italian Serie A,Honduras,Right,High/Medium,Normal (170-185),1300000,61,57,49,64,63,70,59,44,56,66,79,80,66,51,67,69,47,50,53,49,33,24,57,52,66,53,22,29,37,14,8,9,6,10
222488,N. Fazzi,Atalanta,"LM, LB",64,69,600000,9000,24,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),1100000,63,31,51,65,53,62,56,53,58,68,68,72,68,61,67,59,77,91,69,52,64,62,65,54,48,60,64,55,56,6,11,9,10,6
234984,M. Jankovi?,SPAL,"CAM, RW",66,72,875000,4000,23,Italian Serie A,Montenegro,Right,High/Medium,Normal (170-185),1800000,59,60,44,64,43,67,61,55,59,65,75,71,71,61,82,66,51,55,48,58,55,41,66,65,60,63,45,28,35,13,13,6,15,6
240282,A. Mat?j?,Brescia,"RB, LB",67,73,925000,4000,23,Italian Serie A,Czech Republic,Right,High/Medium,Normal (170-185),1900000,65,28,57,65,33,65,65,54,54,68,75,71,70,64,70,56,74,71,64,52,67,63,58,61,46,67,67,65,65,5,11,10,13,8
230817,José Machín,Parma,CM,68,77,1400000,14000,22,Italian Serie A,Equatorial Guinea,Right,High/Medium,Normal (170-185),2700000,60,50,60,71,43,70,60,58,70,71,65,64,67,65,65,63,59,70,63,55,55,52,63,69,48,61,53,55,52,6,7,13,7,10
223332,M. Sprocati,Parma,"LW, RW",68,70,1100000,16000,25,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),2100000,66,66,33,65,60,71,60,39,61,70,71,72,77,65,73,65,41,54,64,67,26,16,68,66,56,64,25,22,17,6,10,10,8,14
210880,R. Fiamozzi,Lecce,"RB, LB",69,71,1100000,8000,26,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),2100000,66,49,42,68,33,63,52,41,68,63,79,87,80,67,72,51,83,92,76,47,62,55,62,51,47,59,72,65,66,14,15,12,7,15
204616,A. Almici,Hellas Verona,"RB, RM",69,70,1100000,8000,26,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),2000000,70,17,55,69,61,60,60,71,67,68,76,85,71,70,60,65,66,86,74,65,67,58,65,46,42,60,65,60,62,9,8,7,9,8
183188,M. Gazzola,Parma,RB,69,69,375000,17000,34,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),675000,65,40,64,60,34,64,58,47,57,68,72,62,69,76,61,62,65,75,67,55,68,74,61,42,49,68,60,67,66,5,7,9,15,12
240787,H. Traorè,U.S. Sassuolo Calcio,"CAM, CM",70,86,3800000,2000,19,Italian Serie A,Côte d'Ivoire,Right,High/Medium,Normal (170-185),,66,66,62,71,64,73,65,64,67,73,65,67,78,68,65,73,71,68,58,63,55,46,62,66,61,66,59,57,60,8,10,14,12,11
238232,Han Kwang Song,Cagliari,ST,70,82,3200000,14000,20,Italian Serie A,Korea DPR,Right,High/Medium,Normal (170-185),6100000,42,73,67,58,62,74,61,49,44,70,77,74,75,68,71,68,82,58,51,64,36,17,69,59,68,63,48,31,23,13,15,11,15,5
198136,A. Ragusa,Hellas Verona,"LW, RW",72,72,3000000,14000,29,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),5500000,68,66,59,70,70,74,63,51,60,75,85,86,80,69,74,68,65,69,64,69,57,36,68,64,58,71,55,40,26,15,10,10,13,8
199763,B. Bereszy?ski,U.C. Sampdoria,RB,73,73,3700000,24000,26,Italian Serie A,Poland,Right,High/Medium,Normal (170-185),6200000,70,50,60,68,56,68,60,50,62,70,84,86,74,70,72,64,69,78,69,60,74,70,60,60,50,70,66,75,72,9,8,16,7,15
235875,Pol Lirola,Fiorentina,"RB, RM",74,80,7000000,26000,21,Italian Serie A,Spain,Right,High/Medium,Normal (170-185),,76,35,65,73,59,74,73,30,67,75,81,77,69,70,74,58,67,69,65,51,70,69,66,58,30,71,73,74,73,12,12,5,9,13
229758,R. Kruni?,AC Milan,CM,74,79,7500000,30000,25,Italian Serie A,Bosnia and Herzegovina,Right,High/Medium,Normal (170-185),13300000,70,72,70,76,68,76,70,70,74,78,69,67,74,70,68,76,75,73,70,76,64,60,69,71,70,68,64,67,67,14,9,12,10,14
236920,J. Kluivert,Roma,"LW, RW",75,86,11500000,29000,20,Italian Serie A,Netherlands,Right,High/Medium,Normal (170-185),21900000,71,70,52,68,67,81,72,58,54,78,90,87,84,67,83,77,64,67,53,76,63,25,66,69,66,74,47,32,27,5,6,14,7,12
236311,M. Rog,Cagliari,CM,75,79,8500000,43000,23,Italian Serie A,Croatia,Right,High/Medium,Normal (170-185),,75,62,47,82,65,77,64,57,78,78,76,73,63,72,67,70,43,63,68,74,74,58,62,76,60,76,64,68,66,6,15,12,13,12
220528,G. Tutino,Hellas Verona,"CF, RW, ST",75,83,10000000,47000,22,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),,70,77,65,72,72,76,72,71,68,75,77,77,76,74,73,75,73,68,69,73,52,25,75,72,75,59,34,34,34,15,7,7,13,7
211147,V. Lazaro,Inter,"RB, RM",75,79,7500000,39000,23,Italian Serie A,Austria,Right,High/Medium,Normal (170-185),13300000,80,69,49,77,72,81,77,69,72,81,86,82,82,76,77,69,56,73,66,70,65,71,76,75,67,77,72,70,69,8,13,11,8,8
191783,V. Berisha,Lazio,"LM, CM, CAM",75,76,8000000,40000,26,Italian Serie A,Kosovo,Right,High/Medium,Normal (170-185),14200000,63,66,42,73,68,77,72,66,71,78,82,76,83,73,69,76,79,86,71,73,81,56,72,76,69,78,66,56,54,6,14,15,15,13
219932,A. Sanabria,Genoa,ST,77,84,12500000,23000,23,Italian Serie A,Paraguay,Right,High/Medium,Normal (170-185),,67,78,78,75,67,78,73,64,63,79,75,76,74,74,75,75,76,67,75,65,32,21,79,73,69,76,50,20,15,8,14,9,14,13
211354,M. Benassi,Fiorentina,CM,77,82,11500000,43000,24,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),20400000,70,66,68,80,70,78,68,64,76,78,65,64,73,72,68,80,67,78,73,76,74,72,76,74,52,72,71,74,70,11,7,5,12,14
201046,R. Saponara,Genoa,CAM,77,77,9500000,49000,27,Italian Serie A,Italy,Right,High/Medium,Normal (170-185),,74,64,58,79,64,82,80,70,73,84,64,71,71,68,70,71,62,65,63,66,52,30,76,79,68,74,61,34,30,5,3,5,5,3
198949,K. Malcuit,Napoli,"RB, RM",78,78,9000000,54000,27,Italian Serie A,France,Right,High/Medium,Normal (170-185),15300000,79,66,65,77,56,80,62,47,72,76,83,86,78,74,76,66,72,77,73,56,77,73,66,68,55,69,74,77,77,12,13,12,9,11
167664,G. Higuaín,Juventus,ST,85,85,34500000,170000,31,Italian Serie A,Argentina,Right,High/Medium,Normal (170-185),56900000,68,88,77,75,88,80,74,62,60,84,62,64,72,86,69,86,78,60,84,80,50,20,90,75,70,85,35,22,18,5,12,7,5,10
237128,T. Costantini,SPAL,"RW, LW, CF",60,67,300000,2000,23,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),580000,59,57,37,50,56,60,53,48,41,63,76,73,71,57,72,72,42,53,58,47,51,23,59,48,56,66,31,28,25,14,10,11,13,13
231917,M. Seck,Roma,LB,62,69,375000,5000,23,Italian Serie A,Senegal,Left,High/Medium,Normal (170-185),713000,66,43,55,57,42,57,44,46,58,53,67,67,66,63,63,51,55,54,58,49,59,60,58,52,48,54,61,63,65,13,7,11,12,8
224997,Costa Ferreira,Lecce,"CAM, CM, RM",63,63,375000,4000,28,Italian Serie A,Portugal,Left,High/Medium,Normal (170-185),675000,53,46,39,57,50,66,64,66,52,64,67,67,73,60,61,61,59,71,56,68,51,31,70,62,55,55,38,17,17,10,9,10,11,16
226268,F. Dimarco,Inter,"LB, LM",66,75,900000,10000,21,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),1700000,65,29,58,70,33,62,60,72,68,61,64,61,52,59,71,33,53,65,55,29,62,58,54,57,66,59,62,72,72,9,8,12,7,7
223137,F. Bonazzoli,U.C. Sampdoria,ST,68,76,1300000,13000,22,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),2500000,49,67,68,57,59,63,51,53,43,69,71,73,67,64,48,67,63,57,71,58,43,26,67,48,60,58,21,22,29,8,13,10,8,7
243237,L. Pellegrini,Juventus,LB,69,83,2100000,24000,20,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),4900000,74,30,57,67,33,66,52,39,40,70,78,75,62,64,69,36,59,69,50,35,56,60,66,44,49,60,64,70,69,6,9,11,6,5
240100,T. Augello,U.C. Sampdoria,LB,69,73,1200000,2000,24,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),,69,31,56,63,36,65,55,44,53,66,76,79,73,66,77,48,68,77,52,44,62,70,61,54,38,62,67,66,65,10,15,10,5,11
201530,B. Martella,Brescia,"LB, LM",70,71,1800000,8000,26,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),3400000,77,50,55,70,35,67,70,60,72,70,79,78,60,66,57,65,77,86,67,71,62,63,67,63,52,60,60,63,66,10,8,10,9,9
193850,M. Calderoni,Lecce,LB,70,70,1400000,9000,30,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),2500000,67,41,59,62,30,59,41,37,58,58,78,85,75,67,69,70,88,85,76,61,73,68,35,41,49,63,66,65,66,12,8,13,10,11
242269,Felipe Curcio,Brescia,LB,71,74,2600000,9000,25,Italian Serie A,Brazil,Left,High/Medium,Normal (170-185),4900000,79,46,65,72,54,73,79,78,72,79,77,76,68,64,62,75,72,76,70,75,68,65,50,64,69,60,64,66,66,9,12,14,14,12
173155,A. Barillà,Parma,"CM, CDM",71,71,2000000,25000,31,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),3700000,69,58,61,73,65,63,67,65,69,74,76,86,83,66,85,77,65,85,73,71,73,62,68,63,55,71,65,74,72,13,12,10,7,8
211302,G. Lapadula,Lecce,ST,73,73,4000000,16000,29,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),,50,76,74,64,74,72,68,69,34,74,74,73,78,70,78,70,77,65,57,58,78,19,77,61,71,70,21,15,18,9,15,15,11,12
199274,I. Nestorovski,Udinese Calcio,ST,74,74,5500000,18000,29,Italian Serie A,North Macedonia,Left,High/Medium,Normal (170-185),9400000,39,80,70,66,67,71,67,65,45,73,73,69,65,71,74,68,72,85,79,69,71,27,79,42,72,68,41,27,26,14,15,10,11,16
233556,R. Orsolini,Bologna,"CAM, RW, RM",76,86,12500000,27000,22,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),23800000,77,64,52,76,72,81,80,68,64,82,79,78,79,72,70,79,60,69,62,74,44,40,67,71,56,74,52,26,24,11,11,14,6,12
232656,T. Hernández,AC Milan,LB,76,82,9500000,23000,21,Italian Serie A,France,Left,High/Medium,Normal (170-185),18100000,75,50,72,76,62,78,63,64,52,70,90,93,75,66,61,75,62,74,79,56,75,69,58,47,41,65,60,76,79,12,10,7,7,7
173208,D. Criscito,Genoa,"LB, CB",79,79,8000000,20000,32,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),13600000,80,56,69,78,62,72,72,66,79,73,75,74,67,75,65,68,78,83,70,59,79,75,68,72,70,75,82,80,81,13,10,16,9,9
222943,Jony,Lazio,LM,80,80,15500000,56000,27,Italian Serie A,Spain,Left,High/Medium,Normal (170-185),26400000,81,70,44,79,63,79,81,78,75,80,88,87,83,76,79,69,35,77,69,73,60,56,76,79,59,76,55,51,46,11,16,13,13,9
201454,F. Ghoulam,Napoli,LB,80,80,12500000,66000,28,Italian Serie A,Algeria,Left,High/Medium,Normal (170-185),21300000,85,54,70,79,52,79,77,68,74,80,69,79,71,79,62,80,71,88,66,69,74,76,69,69,76,75,79,81,80,12,7,8,8,13
196889,S. Verdi,Napoli,"LM, RW",80,80,16000000,69000,26,Italian Serie A,Italy,Left,High/Medium,Normal (170-185),27200000,82,67,42,79,74,81,84,84,76,83,87,85,92,78,90,81,51,70,46,77,48,36,76,80,68,78,55,48,60,12,10,7,15,9
