Name,Team,Position,Nationality,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Bofy type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
N. Tauer,1. FSV Mainz 05,"CDM, CB",Germany,59,75,550000,2000,19,German 1. Bundesliga,Right,Low/Medium,Lean (170-185),788000,42,42,60,67,36,54,42,45,63,61,55,55,57,53,62,60,57,40,56,40,65,55,40,46,38,47,54,64,52,12,6,11,9,11
B. Taz,1. FC Union Berlin,CAM,Germany,59,73,550000,3000,21,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),849000,49,60,43,56,44,66,53,44,52,69,65,61,75,54,75,57,49,43,34,53,41,27,44,57,48,56,37,25,25,8,6,14,6,6
Novoa,RB Leipzig,ST,Spain,60,78,625000,1000,17,German 1. Bundesliga,Right,Medium/Low,Normal (170-185),988000,36,68,63,50,47,58,42,38,42,62,55,54,77,63,75,62,65,53,42,58,38,15,60,48,60,52,17,20,18,15,9,14,7,10
Jabez Makanda,Eintracht Frankfurt,"CF, RM, ST",Angola,60,73,575000,2000,18,German 1. Bundesliga,Right,Medium/Low,Normal (185+),872000,49,61,59,56,60,61,58,40,51,61,69,67,65,56,65,63,63,53,64,60,34,18,59,58,56,53,22,21,22,10,11,6,8,6
N. Woltemade,SV Werder Bremen,ST,Germany,60,76,625000,2000,18,German 1. Bundesliga,Right,Medium/Low,Lean (185+),988000,43,65,64,57,51,55,44,42,37,62,53,64,34,60,36,54,49,55,64,55,53,25,58,51,61,58,25,24,27,11,8,13,9,8
S. Straudi,SV Werder Bremen,"RM, CM, RB",Italy,61,73,800000,3000,21,German 1. Bundesliga,Right,Medium/Low,Lean (170-185),855000,53,51,36,64,50,65,55,37,49,59,72,68,73,61,72,56,67,55,46,46,56,50,55,55,46,55,54,53,46,14,10,9,15,5
C. Herrmann,VfL Wolfsburg,ST,Germany,62,75,975000,6000,20,German 1. Bundesliga,Right,Medium/Low,Lean (185+),1400000,40,63,63,55,60,53,54,43,40,61,67,68,49,60,47,65,60,58,69,60,61,26,59,52,57,58,29,26,31,10,6,9,10,8
Famana Quizera,Borussia Mönchengladbach,CAM,Portugal,62,80,1000000,2000,18,German 1. Bundesliga,Right,Medium/Low,Lean (170-),1500000,55,55,45,64,52,72,62,54,57,71,64,64,72,53,84,60,60,54,35,48,47,35,55,60,58,52,35,40,38,12,8,8,11,12
J. Zirkzee,FC Bayern München,"ST, CAM, CF",Netherlands,68,84,3100000,15000,19,German 1. Bundesliga,Right,Medium/Low,Normal (185+),4300000,35,71,67,59,54,70,61,61,33,69,73,69,67,63,60,67,66,63,77,52,43,14,69,53,50,51,10,14,16,6,11,12,8,14
S. Becker,1. FC Union Berlin,RW,Netherlands,68,70,1500000,12000,25,German 1. Bundesliga,Right,Medium/Low,Normal (170-185),2100000,63,62,52,61,57,70,62,47,56,67,91,92,74,63,74,73,70,69,70,63,53,31,63,57,64,62,21,32,33,6,14,15,16,13
T. Kouassi,FC Bayern München,"CB, CDM",France,71,85,4100000,10000,18,German 1. Bundesliga,Right,Low/High,Lean (185+),10500000,37,32,72,69,37,62,41,31,66,65,70,68,55,65,56,57,76,71,77,25,70,69,36,50,42,65,70,73,68,6,14,9,8,7
C. Gruezo,FC Augsburg,"CDM, CM",Ecuador,72,79,4300000,17000,25,German 1. Bundesliga,Right,Low/High,Normal (170-185),7800000,43,41,58,74,37,60,48,47,69,70,64,63,72,68,85,61,69,77,69,42,85,69,55,58,49,65,67,73,70,9,10,12,12,11
L. Kübler,Sport-Club Freiburg,RB,Germany,72,72,2300000,16000,27,German 1. Bundesliga,Right,Low/Medium,Lean (170-185),5000000,67,38,51,66,50,59,46,27,53,63,67,67,65,70,68,55,72,66,63,43,74,73,46,45,60,61,74,76,75,12,14,11,8,8
M. Höger,1. FC Köln,"CDM, CM",Germany,72,72,2000000,18000,30,German 1. Bundesliga,Right,Low/Medium,Normal (170-185),4700000,67,63,67,70,68,67,72,61,69,70,48,34,61,69,63,73,77,75,78,65,73,70,68,70,70,73,71,72,70,6,14,16,10,14
M. Suchý,FC Augsburg,CB,Czech Republic,72,72,1500000,18000,32,German 1. Bundesliga,Right,Low/High,Normal (170-185),3600000,43,48,71,70,43,60,32,39,70,65,51,34,54,72,62,64,79,51,79,52,72,72,32,50,64,77,72,73,71,14,11,15,15,7
