Name,Team,Position,Nationality,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Bofy type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
M. El Ghezouani,Elche CF,ST,Morocco,59,67,500000,3000,22,Spain Primera Division,Right,Medium/Low,Stocky (185+),552000,37,69,65,52,42,50,42,37,42,59,52,51,55,63,64,53,65,61,63,58,35,16,53,54,68,51,15,23,18,12,11,9,15,14
Gerard Barri,Elche CF,RB,Spain,60,75,550000,1000,19,Spain Primera Division,Right,Low/High,Normal (170-185),1100000,61,45,58,62,39,55,46,33,60,47,61,60,60,49,68,58,62,49,49,40,54,58,37,35,39,41,49,64,65,10,12,11,6,9
A. Abqar,Deportivo Alavés,CB,Morocco,60,70,525000,2000,21,Spain Primera Division,Right,Low/Medium,Lean (185+),690000,35,27,57,50,32,40,32,31,45,51,48,53,49,54,45,38,65,61,67,28,60,62,24,36,38,46,58,65,64,9,10,11,12,9
N. Djouahra,Real Sociedad,LW,France,62,78,1000000,4000,20,Spain Primera Division,Right,Medium/Low,Normal (170-185),1800000,51,60,38,70,48,68,60,44,65,67,71,64,77,55,81,56,47,53,58,53,44,28,50,58,47,63,28,31,29,8,9,11,9,6
Zubimendi,Real Sociedad,CM,Spain,63,75,1200000,4000,21,Spain Primera Division,Right,Medium/Low,Lean (170-185),1500000,58,51,50,65,38,59,62,44,66,61,64,58,62,64,64,58,57,64,59,60,43,58,67,64,43,68,45,54,48,7,6,12,14,13
Tachi,Deportivo Alavés,CB,Spain,63,74,1000000,4000,22,Spain Primera Division,Right,Low/Medium,Normal (170-185),1300000,33,26,71,58,32,40,30,28,41,57,52,62,34,58,58,41,65,46,63,25,64,62,23,31,30,52,61,66,65,11,12,13,15,8
Carbonell,Valencia CF,"CM, CDM",Spain,65,74,1600000,7000,22,Spain Primera Division,Right,Low/Medium,Lean (170-185),1900000,59,60,57,68,49,69,59,51,67,70,64,60,75,63,78,62,56,64,57,62,66,63,57,63,49,54,62,65,62,5,5,12,12,14
Arturo Molina,Levante Unión Deportiva,"CAM, RM",Spain,65,70,1100000,5000,24,Spain Primera Division,Right,Medium/Low,Normal (170-185),1600000,62,60,52,67,57,74,49,52,58,71,65,66,65,60,66,70,49,47,57,62,55,49,59,61,59,75,47,57,54,14,14,13,10,9
R. Guerra,Villarreal CF,CDM,Uruguay,66,75,1800000,7000,23,Spain Primera Division,Right,Low/High,Normal (170-185),2100000,38,59,55,66,36,63,41,40,66,67,55,50,55,70,61,50,62,52,65,58,65,65,56,62,45,53,62,67,61,7,13,7,5,13
J. Rhyner,Cádiz CF,CB,Switzerland,66,75,1800000,7000,24,Spain Primera Division,Right,Low/Medium,Lean (185+),2200000,47,30,69,61,30,35,37,40,53,47,76,78,62,59,60,51,81,78,75,35,70,64,38,28,40,55,60,67,66,9,6,10,8,15
Guillem Molina,Valencia CF,"CB, RB",Spain,67,77,2100000,7000,20,Spain Primera Division,Right,Low/High,Lean (170-185),2500000,44,25,68,62,28,32,40,19,61,59,66,66,62,65,65,45,68,70,59,31,64,70,29,37,36,59,69,70,66,10,10,14,6,6
