Name,Team,Position,Nationality,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Bofy type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
L. Rojas,Crotone,"CAM, CM",Chile,57,79,525000,750,18,Italian Serie A,Right,Medium/Low,Normal (170-185),644000,48,51,41,62,35,57,37,40,55,60,63,64,65,46,60,45,51,65,57,53,36,25,46,61,43,48,32,38,35,6,9,5,12,8
C. Celesia,Torino F.C.,"CB, LB",Italy,58,77,475000,2000,18,Italian Serie A,Right,Low/High,Normal (170-185),581000,28,29,57,39,32,34,34,28,31,39,55,63,40,57,59,48,70,58,61,27,49,55,24,35,44,49,53,68,67,8,14,13,7,13
G. Ricci,Parma,LB,Italy,58,62,275000,4000,23,Italian Serie A,Right,Low/Medium,Lean (170-185),281000,56,26,48,29,29,52,32,30,25,54,62,63,56,51,66,30,63,59,60,29,53,46,51,45,37,50,54,66,67,8,7,12,9,13
W. Singo,Torino F.C.,CB,Côte d'Ivoire,59,76,550000,3000,19,Italian Serie A,Right,Low/High,Lean (185+),698000,37,28,63,45,34,39,28,31,41,42,55,61,58,49,46,43,64,53,58,24,54,61,25,38,46,46,52,70,68,11,6,7,13,7
E. Ferigra,Torino F.C.,CB,Ecuador,59,72,525000,4000,21,Italian Serie A,Right,Low/Medium,Normal (185+),639000,33,30,62,44,28,33,33,31,39,39,62,51,45,52,52,42,65,47,59,29,61,54,27,35,41,49,59,66,63,9,12,6,15,13
J. Illanes,Fiorentina,"CB, RB",Argentina,59,67,475000,6000,23,Italian Serie A,Right,Low/High,Lean (185+),399000,34,27,55,39,31,38,26,34,38,36,62,53,49,54,57,39,73,63,64,26,53,53,30,31,40,43,61,66,71,7,7,5,10,15
M. Frediani,Parma,LW,Italy,60,60,275000,5000,26,Italian Serie A,Right,Medium/Low,Lean (170-185),396000,57,53,39,52,60,64,58,55,44,64,64,75,73,55,73,52,48,53,44,55,35,39,54,56,57,55,31,19,33,13,14,6,5,13
M. Gabbia,AC Milan,CB,Italy,63,78,1100000,5000,20,Italian Serie A,Right,Low/High,Lean (185+),1700000,36,22,65,50,32,47,41,28,37,52,53,51,47,53,52,52,69,44,63,41,47,58,23,31,42,56,74,71,68,11,5,12,14,14
M. Erli?,Spezia,CB,Croatia,65,74,1500000,4000,22,Italian Serie A,Right,Low/Medium,Normal (185+),1500000,31,29,63,35,33,37,32,28,37,41,41,49,40,64,45,42,60,57,82,21,75,63,31,33,49,47,65,70,66,9,9,7,13,8
V. Golemi?,Crotone,CB,Serbia,65,65,600000,3000,29,Italian Serie A,Right,Low/High,Normal (185+),810000,28,26,51,32,28,30,26,23,24,49,40,45,38,63,32,36,77,60,76,21,74,69,26,29,35,58,69,69,67,12,9,10,13,10
D. Dr?gu?,Crotone,"ST, LW",Romania,66,75,1900000,4000,20,Italian Serie A,Right,Medium/Low,Normal (185+),,51,69,66,58,68,67,63,28,32,62,75,77,78,62,70,59,75,70,71,62,68,12,64,53,59,68,16,10,19,7,12,9,11,7
A. Galabinov,Spezia,ST,Bulgaria,66,66,725000,6000,31,Italian Serie A,Right,Low/Low,Stocky (185+),1000000,50,71,68,63,64,59,62,74,50,64,35,36,41,66,34,70,63,70,90,69,52,12,74,52,64,65,22,15,11,9,5,7,11,14
M. Antonucci,Roma,"LW, RW",Italy,67,77,2300000,5000,21,Italian Serie A,Right,Medium/Low,Lean (170-185),2300000,69,58,41,65,45,69,56,44,60,71,69,68,72,61,71,61,44,65,43,51,36,23,69,70,48,59,44,26,23,7,9,13,6,9
Cristo González,Udinese Calcio,"ST, LM, CAM",Spain,67,77,2300000,6000,22,Italian Serie A,Right,Medium/Low,Lean (170-185),2400000,54,70,58,69,60,69,64,50,60,68,75,69,76,67,73,65,65,66,58,63,52,29,72,71,54,70,45,39,26,11,9,13,9,13
