Id,Name,Team,Nationality,Position,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Body type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
260863,W. Suzuki,Valencia CF,Japan,ST,58,75,525000,500,18,Spain Primera Division,Right,High/Low,Normal (185+),,34,59,70,61,44,57,31,36,58,56,56,65,55,46,41,51,67,55,85,57,51,23,49,48,49,42,20,31,28,11,6,15,6,7
259424,Salazar,Real Madrid CF,Spain,ST,60,80,675000,8000,18,Spain Primera Division,Right,High/Low,Normal (170-185),2100000,30,70,59,55,44,63,37,33,42,60,51,54,52,54,67,60,67,53,49,58,34,15,61,48,63,45,17,14,13,13,9,8,13,10
245628,A. Abqar,Deportivo Alavés,Morocco,CB,61,71,700000,3000,22,Spain Primera Division,Right,Low/Medium,Lean (185+),1700000,35,27,57,50,32,40,32,31,45,55,40,51,49,54,37,38,65,59,67,28,60,62,24,36,38,46,58,65,64,9,10,11,12,9
259524,Aitor Paredes,Athletic Club de Bilbao,Spain,CB,62,73,825000,3000,21,Spain Primera Division,Right,Low/Medium,Normal (185+),1900000,21,18,62,57,24,41,22,21,45,55,60,63,42,58,56,39,74,62,67,25,59,62,27,25,38,48,62,65,60,14,7,12,12,14
259747,I. Diabate,RCD Mallorca,Côte d'Ivoire,ST,63,75,1200000,4000,21,Spain Primera Division,Right,High/Low,Normal (170-185),2900000,40,65,64,62,50,57,40,40,50,55,75,80,70,58,68,61,68,69,74,63,45,11,65,45,72,59,13,14,13,7,8,9,13,8
254787,Pepe Sánchez,Granada CF,Spain,"RB, CB, CDM",64,77,1400000,3000,21,Spain Primera Division,Right,Low/High,Lean (170-185),3800000,55,31,63,64,40,57,35,24,63,63,72,71,61,52,67,71,69,61,67,63,64,60,50,55,50,59,58,65,64,11,11,11,11,12
241462,R. Guerra,Villarreal CF,Uruguay,CDM,64,70,850000,5000,24,Spain Primera Division,Right,Low/High,Normal (170-185),2000000,38,59,55,66,36,63,41,40,66,67,52,45,52,65,58,60,62,43,65,63,62,63,56,59,45,53,62,67,61,7,13,7,5,13
235521,Carbonell,RC Celta de Vigo,Spain,"CM, CDM",64,71,1200000,5000,23,Spain Primera Division,Right,Low/Medium,Lean (170-185),2800000,59,60,57,66,49,67,59,51,65,68,59,47,75,63,78,62,56,64,57,62,66,63,57,63,49,54,62,65,62,5,5,12,12,14
263617,Beñat Prados,Athletic Club de Bilbao,Spain,CM,66,77,1900000,6000,20,Spain Primera Division,Right,Low/Low,Lean (170-185),4400000,64,66,40,69,52,63,54,44,68,73,69,63,75,61,74,72,51,60,49,68,48,63,60,66,42,71,67,64,45,15,8,13,9,8
240997,Kike Hermoso,Real Betis Balompié,Spain,CB,66,77,1800000,4000,21,Spain Primera Division,Right,Low/High,Lean (185+),4100000,29,21,64,57,33,35,35,33,49,56,68,58,41,57,49,42,79,48,71,30,56,67,33,41,46,50,68,68,69,14,10,10,12,15
