Id,Name,Team,Nationality,Position,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Body type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
236849,D. Ceter,Cagliari,Colombia,ST,60,69,550000,5000,23,Italian Serie A,Right,Medium/Low,Normal (185+),1000000,23,62,71,42,51,44,27,29,20,57,46,52,58,58,51,66,71,55,82,59,45,21,64,48,60,48,45,22,17,12,7,14,6,14
251603,K. Piscopo,Empoli,Italy,"CF, ST, CAM",61,69,725000,7000,23,Italian Serie A,Right,High/Low,Normal (170-185),1500000,48,62,59,56,50,63,50,50,45,60,72,73,52,60,62,70,68,64,68,60,60,44,62,45,56,46,41,54,50,8,10,8,11,14
238755,M. Warming,Torino F.C.,Denmark,LW,63,70,975000,7000,21,Italian Serie A,Right,High/Low,Lean (185+),1900000,53,58,48,56,46,65,52,40,45,62,86,87,80,60,72,58,45,55,45,45,52,30,59,55,40,62,30,30,30,7,9,6,12,9
245023,P. Mi?in,Udinese Calcio,Serbia,"RW, ST, LW",65,73,1600000,4000,22,Italian Serie A,Right,High/Low,Lean (185+),3200000,61,66,55,63,58,70,60,57,55,71,56,63,61,59,53,60,54,35,60,69,41,31,60,65,60,60,35,31,29,13,9,11,5,9
252802,W. Singo,Torino F.C.,Côte d'Ivoire,"RWB, RB, RM",66,81,2000000,8000,20,Italian Serie A,Right,Medium/Low,Lean (185+),4700000,67,38,63,60,44,72,55,40,55,67,72,81,67,60,54,43,64,51,65,34,54,61,50,50,46,46,52,70,68,11,6,7,13,7
245461,F. Colidio,Inter,Argentina,"ST, CAM",66,75,1900000,18000,21,Italian Serie A,Right,High/Low,Lean (170-185),3600000,57,70,69,70,65,70,54,55,52,72,70,66,69,63,73,63,66,58,39,66,34,19,66,67,66,59,21,21,16,6,9,13,12,12
235261,L. Bogdan,US Salernitana 1919,Croatia,CB,66,71,1100000,10000,25,Italian Serie A,Right,Low/High,Lean (185+),2100000,27,28,69,59,32,44,36,23,50,56,50,58,60,47,45,41,74,49,79,33,64,64,30,36,36,60,65,69,69,10,6,8,12,6
199053,R. Bocalon,Venezia FC,Italy,ST,66,66,700000,7000,32,Italian Serie A,Right,High/Low,Lean (185+),1300000,36,73,63,50,60,63,61,44,38,63,72,72,76,61,68,67,72,72,66,47,46,44,75,52,52,68,23,40,26,14,13,12,14,12
192840,M. ?uri?,US Salernitana 1919,Bosnia and Herzegovina,ST,66,66,725000,12000,31,Italian Serie A,Right,High/Low,Normal (185+),1300000,55,66,79,59,64,54,54,53,43,65,49,50,33,69,30,67,66,64,92,60,59,30,68,46,66,65,28,24,20,7,5,13,10,8
254692,E. Colley,Spezia,Gambia,CF,67,76,2300000,12000,21,Italian Serie A,Right,High/Low,Normal (170-185),,41,68,63,62,46,72,43,37,45,71,82,79,63,61,65,64,63,53,54,65,37,18,63,54,70,57,18,14,17,6,7,6,12,5
220491,E. Gyasi,Spezia,Ghana,"RW, LW, ST",67,67,1100000,7000,27,Italian Serie A,Right,High/Low,Lean (170-185),2000000,64,60,49,67,50,73,59,39,49,73,80,75,75,59,76,63,58,66,69,58,51,17,57,61,61,62,25,11,11,8,13,14,12,6
198903,R. Aya,US Salernitana 1919,Italy,CB,67,67,825000,12000,30,Italian Serie A,Right,Low/High,Normal (170-185),1500000,51,37,68,59,40,48,47,44,52,57,70,68,63,64,63,67,71,70,72,39,72,64,44,50,58,65,66,68,66,8,12,6,11,10
240277,M. Gabbia,AC Milan,Italy,CB,68,81,2800000,9000,21,Italian Serie A,Right,Low/High,Lean (185+),6500000,36,22,65,52,32,48,41,28,42,54,54,51,55,64,51,52,70,80,67,41,70,70,23,35,42,56,74,74,70,11,5,12,14,14
247076,C. Oliva,Cagliari,Uruguay,"CM, CDM",69,73,1900000,14000,25,Italian Serie A,Right,Low/High,Normal (170-185),3400000,59,51,59,76,43,65,60,47,69,72,60,56,70,72,59,74,53,60,67,69,75,70,58,68,51,64,68,72,68,9,13,5,15,12
226108,F. Romagna,U.S. Sassuolo Calcio,Italy,CB,69,76,2600000,11000,24,Italian Serie A,Right,Low/High,Normal (185+),4900000,38,23,65,66,34,51,32,32,65,60,54,51,62,67,60,48,67,48,65,30,69,69,36,36,43,63,75,73,70,12,12,6,7,13
201243,A. La Mantia,Empoli,Italy,ST,69,69,1400000,22000,30,Italian Serie A,Right,High/Low,Normal (185+),2500000,30,75,80,49,66,63,32,30,22,67,53,54,48,69,33,73,85,71,86,45,72,29,73,28,62,62,19,28,18,15,8,7,9,7
246431,R. Sottil,Fiorentina,Italy,"LW, LM, RW",70,82,3900000,24000,22,Italian Serie A,Right,Medium/Low,Normal (170-185),7400000,67,65,42,67,52,72,55,45,61,73,84,82,76,62,75,66,45,53,52,51,40,25,68,62,69,60,32,35,39,12,13,6,5,14
237502,D. Johnsen,Venezia FC,Norway,LW,70,74,2300000,11000,23,Italian Serie A,Right,Medium/Low,Lean (185+),4300000,69,60,40,67,60,73,69,50,64,70,84,76,78,70,70,68,32,67,63,54,48,32,66,70,46,68,27,35,33,8,7,12,13,6
219852,A. Ferrari,U.C. Sampdoria,Italy,"CB, RB",70,73,1800000,10000,27,Italian Serie A,Right,Low/High,Lean (185+),3200000,58,12,70,58,49,60,50,30,56,65,64,67,63,70,67,59,68,75,67,48,74,72,32,32,27,68,72,73,72,9,11,12,12,6
244456,M. Erli?,Spezia,Croatia,CB,71,75,2400000,15000,23,Italian Serie A,Right,Low/Medium,Normal (185+),,31,29,72,67,33,48,32,28,62,54,55,56,42,68,45,48,60,57,82,21,75,69,31,33,49,60,70,74,72,9,9,7,13,8
240661,E. Vignato,Bologna,Italy,CAM,71,82,4100000,14000,20,Italian Serie A,Right,Medium/Low,Lean (170-185),7800000,65,61,51,74,59,77,69,61,73,76,77,69,78,61,75,61,53,65,42,63,39,30,63,69,55,66,43,37,35,9,12,15,14,6
238196,A. Sigurðsson,Venezia FC,Iceland,"CF, CAM, LM",71,80,4200000,24000,22,Italian Serie A,Right,High/Low,Lean (170-185),,67,71,39,72,68,73,56,39,69,73,75,77,76,68,71,67,69,71,59,67,57,42,70,68,40,64,45,39,32,8,7,10,7,11
203884,K. Djidji,Torino F.C.,Côte d'Ivoire,CB,71,72,1800000,24000,28,Italian Serie A,Right,Low/High,Normal (170-185),3200000,46,26,69,66,26,62,28,32,64,64,62,61,61,68,63,48,75,63,70,28,73,71,35,42,41,71,72,72,73,15,7,7,8,9
198857,S. Romagnoli,Empoli,Italy,CB,71,71,1300000,25000,31,Italian Serie A,Right,Low/Medium,Lean (185+),2300000,33,39,75,54,30,52,38,27,51,52,57,55,56,67,37,43,72,71,87,44,65,70,32,45,40,70,70,76,72,13,8,6,13,15
224508,L. Mancuso,Empoli,Italy,"ST, LW",72,72,2300000,35000,29,Italian Serie A,Right,High/Low,Normal (170-185),4100000,62,75,64,64,70,72,63,41,57,73,72,80,81,72,80,71,70,85,67,64,50,36,76,66,70,71,40,22,20,5,12,10,13,11
208144,D. Bessa,Hellas Verona,Italy,"CAM, CM, CF",73,73,3100000,22000,28,Italian Serie A,Right,Medium/Low,Lean (170-185),5300000,69,64,50,75,64,76,70,69,76,76,68,54,80,72,78,76,52,53,47,76,45,52,71,76,59,73,55,57,55,6,14,12,12,14
201049,L. Tonelli,Empoli,Italy,CB,73,73,2100000,32000,31,Italian Serie A,Right,Low/High,Normal (170-185),3800000,40,25,74,54,33,54,38,17,54,58,57,55,67,71,76,52,76,49,68,25,85,74,23,30,35,70,76,77,77,13,11,13,11,6
253002,G. Raspadori,U.S. Sassuolo Calcio,Italy,ST,74,88,10500000,22000,21,Italian Serie A,Right,High/Low,Normal (170-185),24400000,43,76,69,77,65,77,62,60,52,79,82,73,77,74,85,71,60,62,51,71,45,18,77,67,76,69,21,23,21,13,14,7,7,9
238621,Rodrigo Becão,Udinese Calcio,Brazil,CB,74,78,5500000,14000,25,Italian Serie A,Right,Low/Medium,Normal (185+),10300000,48,30,77,68,24,36,49,27,64,58,46,52,48,72,47,44,71,57,75,32,76,75,28,39,31,69,77,78,73,5,9,6,6,12
219496,Simy,US Salernitana 1919,Nigeria,ST,74,74,4200000,14000,29,Italian Serie A,Right,Medium/Low,Lean (185+),,29,81,82,57,78,60,45,36,39,60,53,63,69,79,36,75,32,63,90,66,79,22,82,46,77,71,20,28,22,16,10,11,10,15
193338,M. Destro,Genoa,Italy,ST,74,74,4100000,17000,30,Italian Serie A,Right,Medium/Low,Normal (170-185),7400000,56,78,78,70,77,72,68,51,42,74,68,70,69,65,75,77,82,45,65,68,60,20,77,58,69,70,28,22,20,6,14,15,9,11
242392,G. Magnani,Hellas Verona,Italy,CB,75,80,7500000,22000,25,Italian Serie A,Right,Low/High,Normal (185+),13300000,40,33,73,60,35,40,30,30,55,64,70,79,54,76,52,52,73,61,81,25,74,73,21,34,38,60,81,75,75,13,10,10,5,7
205850,L. Pavoletti,Cagliari,Italy,ST,75,75,4600000,32000,32,Italian Serie A,Right,High/Low,Normal (185+),7800000,33,77,93,68,78,66,49,28,36,74,59,54,62,74,57,78,90,53,81,56,69,24,80,56,67,73,44,21,17,15,6,12,14,9
202848,G. Caprari,Hellas Verona,Italy,"CF, ST",75,75,6000000,21000,27,Italian Serie A,Right,Medium/Low,Normal (170-185),,66,70,47,74,66,81,74,75,62,79,89,80,91,69,89,73,34,65,51,71,30,16,70,72,54,69,22,13,12,9,8,14,6,11
189485,Diego Farías,Cagliari,Brazil,"LW, CF, ST",75,75,4700000,32000,31,Italian Serie A,Right,High/Low,Lean (170-185),8000000,66,70,64,72,69,78,65,65,59,77,83,81,87,73,85,70,70,58,45,68,40,25,72,72,69,72,55,27,20,6,7,6,5,14
185431,N. Kalini?,Hellas Verona,Croatia,ST,75,75,3600000,27000,33,Italian Serie A,Right,High/Low,Lean (185+),6100000,60,79,77,74,74,73,64,50,48,76,59,67,69,78,55,77,65,55,73,60,68,42,81,66,70,78,44,32,28,9,11,9,11,7
179847,F. Fazio,Roma,Argentina,CB,75,75,1800000,39000,34,Italian Serie A,Right,Low/Medium,Normal (185+),3100000,44,41,85,64,35,44,40,37,60,75,33,36,31,70,35,58,41,63,83,26,76,75,32,47,26,79,77,78,73,8,9,12,11,14
234711,J. Brekalo,Torino F.C.,Croatia,"LM, CF",76,80,11000000,44000,23,Italian Serie A,Right,Medium/Low,Lean (170-185),,74,74,45,74,62,84,77,70,62,80,84,69,87,73,83,75,63,65,49,75,38,30,75,69,59,68,33,39,29,9,7,5,6,14
227236,A. Zambo Anguissa,Napoli,Cameroon,"CM, CDM",76,80,10500000,49000,25,Italian Serie A,Right,Medium/Low,Lean (170-185),,58,58,73,78,50,84,59,46,73,78,76,78,77,74,78,75,76,79,84,66,84,78,73,74,62,79,70,79,68,11,11,9,8,11
224158,S. Amrabat,Fiorentina,Morocco,"CDM, CM",76,79,9500000,36000,24,Italian Serie A,Right,Low/High,Normal (185+),16900000,59,70,61,80,68,71,69,58,71,82,69,69,64,74,82,72,69,78,80,75,75,74,68,68,57,82,77,73,67,13,13,6,16,12
193881,F. ?uri?i?,U.S. Sassuolo Calcio,Serbia,"CAM, LW",76,76,7500000,32000,29,Italian Serie A,Right,High/Low,Lean (170-185),12800000,65,67,48,79,69,79,76,69,76,78,74,72,77,75,77,71,73,55,67,71,45,42,70,77,69,71,45,35,43,8,8,9,15,8
241721,Rafael Leão,AC Milan,Portugal,"LW, ST, LM",77,82,16000000,36000,22,Italian Serie A,Right,Medium/Low,Lean (185+),28400000,70,74,58,72,65,84,72,58,60,80,86,90,74,70,59,78,62,68,76,69,60,24,74,68,63,76,22,24,21,10,12,15,11,9
241508,M. Damsgaard,U.C. Sampdoria,Denmark,"LM, LW",77,87,23000000,16000,20,Italian Serie A,Right,High/Low,Lean (170-185),43700000,63,71,51,74,48,83,66,82,70,80,90,81,91,70,86,71,72,74,57,72,64,45,74,77,47,74,52,46,40,6,10,14,11,7
211320,D. Rugani,Juventus,Italy,CB,77,79,11500000,60000,26,Italian Serie A,Right,Low/Medium,Lean (185+),19800000,40,33,79,69,35,61,45,25,65,64,55,63,60,78,55,61,79,62,76,39,72,82,28,50,36,70,79,78,77,5,10,5,5,5
189053,F. Caputo,U.C. Sampdoria,Italy,ST,78,78,9000000,38000,33,Italian Serie A,Right,High/Low,Lean (170-185),,50,83,74,70,80,76,58,54,58,78,81,82,85,80,79,76,84,70,70,70,50,14,84,65,78,72,40,20,15,14,7,10,11,11
202477,Deulofeu,Udinese Calcio,Spain,"LM, CF",79,79,18500000,22000,27,Italian Serie A,Right,High/Low,Normal (170-185),33300000,74,72,40,74,71,84,80,77,62,81,89,87,90,75,83,75,35,69,67,70,59,25,77,74,77,75,34,30,22,12,16,14,11,11
156616,F. Ribéry,US Salernitana 1919,France,"CF, LW",79,79,6000000,41000,38,Italian Serie A,Right,High/Low,Normal (170-),10800000,74,71,41,85,79,87,83,81,82,89,69,69,74,69,87,79,33,54,55,68,51,33,79,81,78,81,31,25,26,15,6,9,7,10
221992,H. Lozano,Napoli,Mexico,"RW, LW",81,82,31000000,77000,25,Italian Serie A,Right,High/Low,Lean (170-185),55000000,73,77,62,74,74,83,72,65,65,80,92,93,89,81,82,76,67,76,54,75,64,45,82,74,73,75,42,35,29,11,10,14,14,10
184200,M. Arnautovi?,Bologna,Austria,ST,81,81,21000000,48000,32,Italian Serie A,Right,Medium/Low,Normal (185+),35700000,77,80,79,81,79,77,79,72,74,82,78,80,70,78,80,84,78,77,87,82,77,38,79,81,79,79,40,42,39,14,15,10,10,15
176266,Lucas Leiva,Lazio,Brazil,CDM,81,81,9000000,64000,34,Italian Serie A,Right,Low/High,Normal (170-185),15300000,63,62,72,78,59,74,74,47,77,77,57,55,71,80,80,75,81,66,65,63,82,86,66,77,61,86,82,82,79,10,8,8,5,6
190460,C. Eriksen,Inter,Denmark,"CM, CAM",82,82,29500000,120000,29,Italian Serie A,Right,Medium/Low,Unique,50200000,86,73,52,89,80,77,89,87,90,90,63,62,72,79,81,84,49,59,52,85,46,56,74,86,67,87,59,57,22,9,14,7,7,6
192774,K. Manolas,Napoli,Greece,CB,83,83,30000000,80000,30,Italian Serie A,Right,Low/Medium,Normal (185+),51000000,27,25,80,65,16,54,30,10,61,66,77,84,70,81,60,40,91,69,83,12,86,86,25,22,26,83,85,85,87,8,6,8,15,12
179645,S. Kjær,AC Milan,Denmark,CB,83,83,23500000,54000,32,Italian Serie A,Right,Low/High,Normal (185+),40000000,50,55,81,76,37,50,52,69,72,70,63,71,57,79,53,78,81,65,82,41,82,85,31,55,61,69,87,85,81,6,10,13,10,15
175943,D. Mertens,Napoli,Belgium,"CF, ST, CAM",84,84,20500000,105000,34,Italian Serie A,Right,High/Low,Unique,34900000,73,84,40,84,70,88,82,82,72,88,90,80,93,80,92,80,58,66,37,81,59,36,82,84,79,81,23,40,40,7,10,8,10,4
41236,Z. Ibrahimovi?,AC Milan,Sweden,ST,84,84,14500000,51000,39,Italian Serie A,Right,Medium/Low,Unique,24700000,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90,28,37,24,13,15,10,9,12
253120,B. Kone,Torino F.C.,Côte d'Ivoire,"LW, CM",58,70,500000,5000,21,Italian Serie A,Left,High/Low,Lean (170-185),950000,56,67,48,50,63,56,60,50,46,64,73,66,53,39,65,75,41,40,57,53,33,27,57,51,62,49,26,35,35,5,5,11,7,13
247388,A. Buksa,Genoa,Poland,ST,61,80,825000,1000,18,Italian Serie A,Left,Medium/Low,Lean (185+),2000000,42,61,56,52,54,59,57,29,38,61,73,71,58,64,56,64,71,66,60,57,26,21,58,52,51,52,19,19,13,10,14,5,15,8
262333,Y. Kallon,Genoa,Sierra Leone,"RW, CF, CAM",65,82,1900000,4000,20,Italian Serie A,Left,High/Low,Lean (170-185),4600000,50,66,58,60,60,76,68,47,42,70,69,65,66,57,71,70,59,67,60,64,51,12,60,62,70,63,18,20,19,7,7,6,10,15
233794,S. Edera,Torino F.C.,Italy,"CAM, CF",66,71,1300000,10000,24,Italian Serie A,Left,High/Low,Lean (170-185),2300000,64,64,52,65,62,74,69,55,58,72,63,61,67,60,74,69,45,37,32,70,39,18,62,65,60,56,56,32,34,10,11,14,9,14
237040,D. Nikolaou,Spezia,Greece,CB,68,76,2500000,6000,22,Italian Serie A,Left,Low/Medium,Normal (185+),5000000,40,25,69,58,25,30,24,29,60,54,53,59,43,58,50,53,77,66,75,50,72,66,29,26,49,59,71,70,69,8,15,9,5,15
245900,L. Binks,Bologna,England,CB,69,81,3100000,7000,19,Italian Serie A,Left,Low/High,Normal (185+),5900000,35,23,66,63,28,48,30,33,59,63,54,47,47,62,45,43,73,71,86,26,77,71,24,40,48,53,68,65,65,5,6,10,10,6
243253,K. Agudelo,Spezia,Colombia,"RW, CAM",69,77,3100000,8000,22,Italian Serie A,Left,High/Low,Normal (170-185),,62,62,48,71,50,73,56,42,67,73,76,64,79,68,81,66,59,68,59,60,58,55,67,70,43,65,53,54,48,15,10,13,14,10
193077,D. Falcinelli,Bologna,Italy,ST,70,70,1600000,18000,30,Italian Serie A,Left,High/Low,Lean (185+),2700000,32,71,70,64,65,70,45,33,54,72,67,64,70,68,63,70,69,62,72,64,45,20,72,58,65,69,20,15,15,6,12,7,5,14
220534,S. Luperto,Empoli,Italy,CB,71,77,2700000,26000,24,Italian Serie A,Left,Low/Medium,Lean (185+),,65,45,71,67,45,56,47,42,58,63,50,48,56,70,61,72,69,64,70,68,69,72,52,51,44,62,73,76,74,12,6,12,11,6
240017,A. Olsen,Bologna,Denmark,"CAM, RW",72,81,5500000,16000,21,Italian Serie A,Left,Medium/Low,Normal (185+),10500000,68,68,64,68,59,77,70,62,63,76,80,82,70,64,74,74,69,65,67,71,62,24,74,68,68,68,36,34,24,13,8,7,7,11
229636,G. Pereiro,Cagliari,Uruguay,"CAM, RW",73,75,3800000,25000,26,Italian Serie A,Left,Medium/Low,Normal (185+),6700000,69,70,74,69,69,78,76,75,68,81,67,72,72,71,56,81,69,64,73,75,57,36,72,72,72,71,38,36,32,7,15,10,10,12
