Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,Release clause,prefer_foot,Work rate,Body type,league,Best overall,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
275943,E. Kohler,Werder Bremen,United States,CDM,18,58,75,500000,1000,1200000,Right,Low/ Medium,Lean (170-185),Germany,60,57,37,45,57,50,49,44,40,59,58,61,65,72,60,68,51,49,64,52,39,55,54,46,48,45,60,60,62,51,9,11,13,6,13
263150,J. Meyer,VfB Stuttgart,Germany,CDM,21,59,70,475000,2000,950000,Right,Low/ Medium,Normal (170-185),Germany,62,45,39,58,63,37,58,45,37,54,63,54,55,55,59,61,58,60,36,60,42,57,56,50,43,41,54,57,64,62,8,6,14,13,9
276358,G. Ranos,Borussia Mönchengladbach,Armenia,ST,19,63,80,1300000,4000,3000000,Right,Medium/ Low,Lean (170-185),Germany,65,49,67,55,57,61,65,70,52,44,65,65,63,71,57,64,64,65,57,64,66,30,22,64,53,60,53,25,25,25,12,6,14,15,7
255570,U. Llanez Jr.,VfL Wolfsburg,United States,RW,22,64,71,1200000,9000,2300000,Right,High/ Low,Normal (170-185),Germany,66,58,55,51,64,55,66,60,56,54,67,80,78,81,58,77,65,66,64,57,56,57,39,59,62,63,65,28,39,36,6,10,6,11,5
243960,M. Broschinski,VfL Bochum 1848,Germany,ST,22,67,76,2300000,8000,4600000,Right,Medium/ Low,Lean (185+),Germany,69,57,68,64,62,58,64,52,39,58,69,72,76,64,62,66,66,74,55,68,64,50,30,67,53,51,55,26,28,20,5,9,13,8,8
228243,N. Loosli,VfL Bochum 1848,Switzerland,CB,26,67,72,1300000,8000,2400000,Right,Low/ Medium,Normal (185+),Germany,69,37,45,72,58,31,52,31,27,60,56,68,72,65,56,62,50,84,75,81,43,64,67,26,35,36,55,62,67,66,11,8,10,7,13
254022,N. Woltemade,Werder Bremen,Germany,ST,21,67,78,2300000,7000,4600000,Right,Medium/ Low,Lean (185+),Germany,69,46,72,68,66,54,71,51,42,50,72,63,70,42,67,38,65,71,71,69,58,60,33,62,66,65,65,32,36,30,11,8,13,9,8
266183,J. Njinmah,Werder Bremen,Germany,ST,22,68,78,2700000,9000,5400000,Right,Medium/ Low,Lean (170-185),Germany,70,43,70,58,59,65,72,62,37,56,68,90,89,78,69,78,64,74,61,58,61,28,23,69,66,66,54,23,20,17,12,9,10,7,6
238692,K. Gjasula,Darmstadt 98,Albania,CDM,33,69,69,700000,10000,1300000,Right,Low/ High,Normal (185+),Germany,72,40,46,68,66,35,50,38,57,54,58,34,39,49,67,40,67,70,77,86,48,95,70,48,59,65,67,73,73,61,11,11,13,15,5
258715,B. Hollerbach,FC Union Berlin,Germany,ST,22,69,76,2900000,14000,5500000,Right,High/ Low,Normal (170-185),Germany,71,55,72,57,64,54,71,43,40,59,69,86,84,75,64,77,71,77,80,69,64,65,25,71,65,65,65,24,24,22,10,14,6,13,9
193631,C. Groß,Werder Bremen,Germany,CDM,34,69,69,475000,10000,855000,Right,Low/ Medium,Normal (170-185),Germany,69,52,53,64,69,33,62,37,53,61,65,53,61,55,69,62,55,66,68,69,54,79,67,57,63,63,73,65,72,69,7,8,6,16,12
259559,T. Breithaupt,FC Augsburg,Germany,CDM,21,70,78,3400000,10000,6800000,Right,Low/ Medium,Lean (185+),Germany,71,40,32,59,73,44,57,39,34,68,64,47,51,45,64,41,47,64,82,71,58,58,66,29,65,40,58,75,69,65,11,10,12,8,10
260942,D. Fofana,FC Union Berlin,Côte d'Ivoire,ST,20,70,83,3900000,37000,1400000,Right,Medium/ Low,Normal (170-185),Germany,72,55,67,60,63,60,75,60,52,44,72,86,85,79,66,81,67,84,65,76,61,55,15,72,53,56,62,20,18,14,14,6,10,14,10
247360,L. Stergiou,VfB Stuttgart,Switzerland,CB,21,70,82,3700000,5000,2700000,Right,Low/ Medium,Normal (170-185),Germany,72,36,27,64,66,28,38,33,29,65,56,84,84,77,70,72,49,85,80,77,25,69,72,39,52,39,60,70,72,68,7,8,11,6,9
233848,J. Hauge,Eintracht Frankfurt,Norway,LM,23,71,77,3000000,19000,5700000,Right,High/ Low,Normal (170-185),Germany,72,66,68,49,65,56,75,66,54,60,73,83,74,80,66,76,69,69,69,64,66,42,39,69,68,65,62,43,37,32,9,7,14,9,8
256118,Y. Keitel,SC Freiburg,Germany,CDM,23,71,76,2600000,13000,4600000,Right,Low/ Medium,Normal (185+),Germany,73,49,44,75,72,41,62,42,49,70,71,63,67,66,70,64,58,79,65,73,49,79,68,49,65,48,64,64,74,67,13,8,11,10,7
190520,T. Jantschke,Borussia Mönchengladbach,Germany,CB,33,71,71,900000,16000,1500000,Right,Low/ Medium,Normal (170-185),Germany,71,63,35,66,70,37,58,43,40,69,67,56,44,66,75,68,48,76,55,69,44,68,77,45,53,51,78,74,73,73,11,6,7,6,13
242386,C. Klarer,Darmstadt 98,Austria,CB,23,72,78,3400000,14000,6800000,Right,Low/ Medium,Lean (185+),Germany,74,32,34,68,70,35,48,29,33,60,65,59,66,49,69,40,44,75,62,78,29,71,71,32,35,47,59,75,75,70,8,8,14,6,10
232270,T. Fosu-Mensah,Bayer 04 Leverkusen,Netherlands,RWB,25,72,76,3000000,27000,5300000,Right,Low/ Medium,Stocky (185+),Germany,76,63,57,72,72,55,63,60,35,63,67,68,78,67,71,62,69,82,68,79,60,78,73,59,61,48,67,73,74,73,11,8,8,7,11
239367,R. Hack,Borussia Mönchengladbach,Germany,LM,24,72,75,3200000,17000,5700000,Right,High/ Low,Lean (170-185),Germany,73,68,69,49,70,67,74,63,73,54,73,84,78,87,72,86,70,60,76,45,53,38,29,68,66,58,68,33,31,29,8,9,9,10,9
266032,J. Bynoe-Gittens,Borussia Dortmund,England,LM,18,72,86,5500000,10000,12800000,Right,Medium/ Low,Lean (170-185),Germany,73,62,68,42,64,59,83,71,42,43,78,87,89,89,68,83,56,60,63,52,45,38,24,63,58,53,60,20,22,24,6,5,12,7,8
239322,C. Zimmermann,Darmstadt 98,Germany,CB,30,73,73,2500000,18000,4500000,Right,Low/ High,Normal (185+),Germany,73,20,25,73,60,33,41,26,20,66,51,31,68,33,68,36,50,73,65,85,22,75,73,22,33,37,70,77,73,74,11,9,9,12,14
238473,E. Mašovi?,VfL Bochum 1848,Serbia,CB,24,73,77,3900000,16000,7300000,Right,Low/ Medium,Normal (185+),Germany,75,22,35,73,68,28,49,27,24,60,62,64,74,58,67,55,42,78,66,73,26,70,73,23,48,31,67,76,77,75,5,5,8,13,5
216452,Gonçalo Paciência,VfL Bochum 1848,Portugal,ST,28,73,73,3100000,21000,7500000,Right,Medium/ Low,Normal (170-185),Germany,73,42,75,84,64,78,76,67,47,51,75,49,36,71,75,73,76,84,67,81,72,79,37,77,74,80,78,21,30,23,9,8,14,12,7
221354,M. Veljkovi?,Werder Bremen,Serbia,CB,27,73,74,3100000,18000,5800000,Right,Low/ Medium,Normal (185+),Germany,74,43,27,76,66,30,50,31,24,64,66,38,34,58,74,63,45,75,68,78,31,69,72,37,44,37,74,74,75,73,15,7,15,11,11
239096,A. Karazor,VfB Stuttgart,Germany,CDM,26,73,74,3200000,18000,6000000,Right,Low/ Medium,Lean (185+),Germany,75,39,35,78,75,27,59,42,31,67,68,47,55,62,64,43,47,73,78,69,29,74,75,34,64,38,67,78,77,71,12,10,6,11,5
216199,P. Mainka,Heidenheim,Germany,CB,28,74,75,4000000,25000,7500000,Right,Low/ Medium,Normal (185+),Germany,75,39,33,75,64,33,45,36,37,58,59,48,58,52,70,56,64,71,80,84,37,75,76,35,44,40,73,75,77,75,11,9,9,14,6
235424,D. Samassékou,TSG Hoffenheim,Mali,CDM,27,74,75,4300000,26000,7600000,Right,Low/ High,Lean (170-185),Germany,74,57,42,60,70,37,68,55,34,69,71,70,60,79,73,80,60,70,80,66,54,80,83,55,63,56,71,73,72,71,5,11,11,14,8
