Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,Release clause,prefer_foot,Work rate,Body type,league,Best overall,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
278927,Facu Esnáider,Getafe,Spain,CM,21,56,67,325000,3000,748000,Right,Low/ High,Lean (170-185),Spain,58,40,40,44,65,35,52,36,38,60,56,58,62,53,63,58,45,48,50,57,35,57,54,38,63,37,37,42,55,48,12,12,9,6,13
270698,Yellu Santiago,Valencia,Spain,CDM,19,60,75,550000,2000,1500000,Right,Low/ High,Lean (185+),Spain,62,46,40,64,64,35,42,35,37,60,57,58,60,60,56,51,55,63,55,58,49,60,60,41,55,41,55,60,61,58,8,8,11,13,8
242532,M. Gómez,Atlético Madrid,Argentina,CB,24,60,69,500000,6000,1100000,Right,Low/ High,Lean (185+),Spain,62,32,24,60,43,32,35,30,34,34,40,54,57,48,51,35,52,72,53,79,26,53,61,24,31,40,48,54,63,62,13,13,8,7,14
260863,W. Suzuki,Girona,Japan,ST,20,61,74,800000,4000,2200000,Right,High/ Low,Normal (185+),Spain,63,38,62,72,65,51,61,35,41,58,60,55,65,55,51,41,57,83,55,85,60,51,23,55,48,53,45,20,31,28,11,6,15,6,7
265772,Ibra Cámara,Real Sociedad,Spain,CB,20,62,79,975000,3000,2700000,Right,Low/ Medium,Normal (170-185),Spain,64,28,20,58,57,24,37,26,23,39,49,48,65,50,55,58,60,65,52,75,28,62,58,23,26,35,42,60,67,64,7,12,9,11,14
262407,Andrés Caro,Real Betis,Spain,CB,19,62,76,875000,2000,2400000,Right,Low/ High,Lean (185+),Spain,64,39,30,62,61,36,34,36,27,60,53,69,70,49,63,61,50,70,56,64,28,58,64,27,51,41,49,63,62,63,12,14,9,11,14
272718,Joel Roca,Girona,Spain,LM,18,63,81,1200000,2000,3300000,Right,Medium/ Low,Lean (170-185),Spain,64,54,60,46,59,42,69,46,40,48,67,79,79,76,58,76,56,51,51,42,52,52,19,57,55,56,56,28,27,25,8,14,9,11,8
266031,Rubén Iranzo,Valencia,Spain,CB,20,63,76,1100000,4000,3000000,Right,Low/ High,Lean (170-185),Spain,65,54,39,67,63,29,42,41,29,59,57,54,53,57,54,65,62,66,60,65,44,66,65,39,50,46,55,63,62,64,8,6,7,9,12
258747,Guillem Molina,Osasuna,Spain,CB,23,64,73,1200000,5000,2800000,Right,Low/ High,Lean (170-185),Spain,66,44,25,64,60,28,32,40,19,61,59,65,64,62,65,63,45,66,68,59,31,64,70,29,37,36,59,69,63,62,10,10,14,6,6
278839,Pau Ferrer,Las Palmas,Spain,ST,19,64,78,1400000,3000,4000000,Right,Medium/ Low,Lean (185+),Spain,66,47,67,61,60,59,60,54,52,49,64,76,76,65,59,73,64,74,59,63,60,52,14,65,59,61,56,15,15,20,6,13,6,13,8
