Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,Release clause,prefer_foot,Work rate,Body type,league,Best overall,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
273536,T. Saettel,Strasbourg,France,LM,18,57,79,525000,1000,1600000,Right,High/ Low,Lean (170-185),France,58,54,59,41,59,49,61,53,40,51,64,61,59,55,39,80,59,36,41,40,43,31,20,53,48,66,47,31,34,29,14,7,6,11,8
275372,P. Diallo,Metz,Senegal,ST,19,60,78,650000,2000,1700000,Right,High/ Low,Lean (170-185),France,62,34,65,61,54,43,54,44,36,35,56,71,66,64,58,68,62,61,58,48,57,34,12,61,55,70,54,16,17,15,9,13,8,14,8
251915,A. Lô,Metz,Senegal,CB,23,60,70,500000,2000,1100000,Right,Low/ Medium,Lean (170-185),France,62,34,31,61,40,34,28,32,30,27,44,57,55,32,52,68,46,65,54,63,21,54,58,33,31,40,55,58,68,67,6,10,14,15,14
266367,J. Flemmings,Toulouse,Jamaica,LM,27,62,62,425000,4000,850000,Right,Medium/ Low,Normal (170-185),France,63,60,67,47,64,58,65,52,42,50,64,66,66,60,47,60,74,61,36,70,61,32,28,65,58,53,55,26,30,28,14,11,10,11,6
275288,M. Mbaye,Metz,Senegal,RM,19,63,78,1100000,2000,2900000,Right,High/ Low,Normal (170-185),France,64,55,67,52,54,57,61,55,42,51,67,83,81,64,46,79,68,65,59,53,51,47,22,62,57,59,56,28,26,27,9,7,6,9,15
263110,I. Baldé,Lens,France,RW,20,63,72,1100000,6000,2300000,Right,Medium/ Low,Lean (185+),France,65,53,64,57,58,56,66,53,42,47,66,66,68,65,63,45,63,62,32,56,56,37,11,64,56,43,55,16,18,16,10,6,10,10,9
264449,É. Kinkoué,Le Havre,France,CB,21,66,76,1800000,4000,4000000,Right,Low/ Medium,Normal (185+),France,68,29,29,64,63,34,36,50,27,56,52,59,65,57,61,47,43,78,63,87,22,75,60,28,46,38,62,59,66,61,9,8,10,6,15
241002,E. Sabbi,Le Havre,United States,RW,25,67,70,1300000,7000,2700000,Right,High/ Low,Lean (170-185),France,68,54,60,57,60,59,68,61,48,50,67,90,91,89,61,88,66,73,67,56,59,53,40,64,57,54,63,36,35,29,14,13,8,10,7
212035,J. Bela,Clermont,Angola,LW,30,68,68,1200000,9000,2400000,Right,Medium/ Low,Stocky (170-185),France,68,66,65,64,62,65,67,67,72,61,70,87,86,90,64,78,70,76,71,58,66,55,46,63,53,62,64,48,39,40,8,15,11,11,15
243169,Y. Begraoui,Toulouse,France,ST,21,68,79,2700000,8000,5900000,Right,Medium/ Low,Lean (170-185),France,70,51,70,63,66,57,70,45,53,48,71,75,75,71,68,80,62,74,72,65,54,34,17,69,65,68,64,13,18,20,9,9,14,12,5
