Id,Name,Team,Nationality,Position,Age,Overall,Potential,Value,Wage,Release clause,prefer_foot,Work rate,Body type,league,Best overall,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
277862,F. Alessio,Roma,Italy,ST,18,61,79,825000,4000,1900000,Right,Medium/ Low,Lean (185+),Italy,63,36,67,68,58,44,54,43,44,41,60,60,61,49,57,47,61,73,54,71,63,34,16,55,51,49,58,20,15,23,6,14,12,13,8
268804,Mario Gila,Lazio,Spain,CB,22,64,72,1200000,8000,2300000,Right,Low/ Medium,Normal (185+),Italy,66,47,28,69,65,41,59,42,36,63,62,69,64,60,58,67,54,72,64,64,49,60,61,24,36,38,63,62,67,65,14,10,10,6,14
233809,A. Rossi,Lazio,Italy,ST,26,64,66,725000,11000,1300000,Right,High/ Low,Normal (170-185),Italy,66,52,66,64,65,61,63,53,50,49,65,68,63,59,62,46,67,75,59,74,59,43,32,60,48,53,55,28,26,24,7,5,14,10,6
265595,S. Vignato,Monza,Italy,CF,19,65,81,1900000,7000,4400000,Right,Medium/ Low,Lean (170-185),Italy,69,51,62,36,64,57,73,51,49,61,72,70,69,87,66,89,56,38,65,33,56,37,33,60,64,49,54,38,30,34,14,12,5,9,8
248171,D. Bettella,Monza,Italy,CB,23,65,76,1500000,9000,2900000,Right,Low/ Medium,Lean (185+),Italy,67,35,28,67,58,30,48,35,33,50,50,58,61,51,62,57,54,68,42,66,30,65,65,38,42,40,56,65,69,67,8,10,11,6,10
246871,E. Barrenechea,Frosinone,Argentina,CDM,22,66,78,2000000,18000,4900000,Right,Low/ Medium,Normal (185+),Italy,69,49,58,45,72,59,71,57,49,71,69,65,60,64,63,65,71,59,69,66,67,59,62,59,66,62,64,59,63,60,7,9,14,9,6
219496,Simy,Salernitana,Nigeria,ST,31,66,66,725000,10000,1300000,Right,Medium/ Low,Lean (185+),Italy,66,28,69,69,57,70,56,45,44,39,60,50,52,69,72,32,70,75,64,84,66,70,22,71,46,76,71,20,28,22,16,10,11,10,15
255453,J. Cruz,Hellas Verona,Argentina,ST,23,66,72,1400000,7000,2800000,Right,Medium/ Low,Lean (185+),Italy,68,29,72,72,57,65,61,37,48,51,61,59,64,55,59,63,67,78,55,75,59,53,19,68,45,66,57,20,29,25,14,10,9,8,11
245537,E. Ceïde,Sassuolo,Norway,LW,21,67,76,2300000,5000,4400000,Right,High/ Low,Lean (170-185),Italy,68,61,59,37,59,51,74,58,40,46,73,81,75,82,56,77,56,53,61,49,55,34,27,62,64,38,60,32,35,33,6,7,10,9,13
205850,L. Pavoletti,Cagliari,Italy,ST,34,69,69,675000,13000,1200000,Right,Medium/ Low,Normal (185+),Italy,69,34,72,83,65,77,59,49,40,48,64,48,67,56,59,60,72,84,53,81,49,76,27,76,56,65,66,44,29,27,15,6,12,14,9
201049,L. Tonelli,Empoli,Italy,CB,33,69,69,675000,5000,1200000,Right,Low/ High,Normal (170-185),Italy,69,40,25,71,54,33,51,38,17,52,55,48,47,62,70,72,52,69,34,67,25,80,69,23,30,35,68,72,72,72,13,11,13,11,6
263785,Ruan,Sassuolo,Brazil,CB,24,70,74,2100000,8000,3700000,Right,Low/ High,Normal (185+),Italy,72,35,26,70,62,29,58,33,27,39,63,59,67,48,69,57,35,70,55,69,24,68,72,28,33,45,51,70,73,73,9,6,10,12,15
220912,F. Jagie??o,Genoa,Poland,CM,25,70,72,2000000,13000,3800000,Right,Low/ Medium,Normal (170-185),Italy,73,62,70,55,73,66,72,71,67,70,73,73,73,73,64,68,72,68,73,60,74,55,55,70,70,58,64,45,59,57,11,9,13,6,15
220477,M. Caldara,Milan,Italy,CB,29,70,70,1300000,27000,2200000,Right,Low/ Medium,Normal (185+),Italy,70,34,36,72,63,51,62,20,24,58,61,49,49,58,65,59,38,74,61,75,20,75,69,34,32,30,66,67,73,72,14,9,6,9,5
197786,G. Donati,Monza,Italy,CB,33,71,71,900000,25000,1500000,Right,Low/ High,Normal (170-185),Italy,71,70,30,68,66,47,59,55,46,68,63,64,61,62,71,69,65,71,52,68,43,82,73,49,51,51,66,70,73,73,16,15,8,9,8
